,1995-1999,ticker,company,1996-2000,ticker,company,1997-2001,ticker,company,1998-2002,ticker,company,1999-2003,ticker,company,2000-2004,ticker,company,2001-2005,ticker,company,2002-2006,ticker,company,2003-2007,ticker,company,2004-2008,ticker,company,2005-2009,ticker,company,2006-2010,ticker,company,2007-2011,ticker,company,2008-2012,ticker,company,2009-2013,ticker,company,2010-2014,ticker,company,2011-2015,ticker,company,2012-2016,ticker,company,2013-2017,ticker,company,2014-2018,ticker,company
82,306.39%,PBCT,People's United Financial,238.39%,CTL,CenturyLink Inc,209.83%,CI,CIGNA Corp.,128.63%,JBL,Jabil Circuit,80.76%,HCP,HCP Inc.,146.77%,LLL,L-3 Communications Holdings,179.60%,PCLN,Priceline.com Inc,171.89%,MUR,Murphy Oil,252.67%,ANF,Abercrombie & Fitch,136.64%,NFX,Newfield Exploration Co,35.55%,BCR,Bard (C.R.) Inc.,54.17%,OI,Owens-Illinois,54.13%,MNST,Monster Beverage,38.62%,HAS,Hasbro Inc.,224.70%,V,Visa Inc.,182.09%,ITT,ITT Corp.,160.29%,BMY,Bristol-Myers Squibb,136.39%,NCLH,Norwegian Cruise Line,56.16%,ED,Consolidated Edison,106.72%,DRI,Darden Restaurants
83,306.15%,EXPD,Expeditors International,230.14%,ALXN,Alexion Pharmaceuticals,209.17%,SBUX,Starbucks Corp.,126.49%,CMCSA,Comcast Corp.,78.52%,MET,MetLife Inc.,146.75%,MUR,Murphy Oil,179.28%,NSC,Norfolk Southern Corp.,169.96%,BLK,BlackRock,252.54%,ADS,Alliance Data Systems,136.36%,FE,FirstEnergy Corp,33.18%,EW,Edwards Lifesciences,53.58%,VRTX,Vertex Pharmaceuticals Inc,53.71%,VTR,Ventas Inc,38.17%,AME,AMETEK Inc,223.84%,PKG,Packaging Corporation of America,179.76%,TMK,Torchmark Corp.,156.57%,LYB,LyondellBasell,135.64%,MAR,Marriott Int'l.,55.82%,DF,Dean Foods,105.78%,XEL,Xcel Energy Inc
84,303.46%,CI,CIGNA Corp.,230.10%,AFL,AFLAC Inc,207.27%,NBR,Nabors Industries,122.67%,SLM,SLM Corporation,77.55%,CHD,Church & Dwight,146.72%,LMT,Lockheed Martin Corp.,179.14%,PSA,Public Storage,169.09%,PXD,Pioneer Natural Resources,251.06%,HAL,Halliburton Co.,131.25%,PRGO,Perrigo,32.96%,SLB,Schlumberger Ltd.,53.52%,EL,Estee Lauder Cos.,53.06%,TROW,T. Rowe Price Group,38.16%,ANSS,ANSYS,220.12%,MSI,Motorola Solutions Inc.,179.07%,FMC,FMC Corporation,155.73%,SWKS,Skyworks Solutions,135.06%,APH,Amphenol Corp,55.44%,TER,Teradyne,104.04%,XYL,Xylem Inc.
85,302.13%,ORLY,O'Reilly Automotive,229.40%,AIG,"American International Group, Inc.",207.27%,GE,General Electric,121.10%,BCR,Bard (C.R.) Inc.,77.35%,EA,Electronic Arts,146.40%,AET,Aetna Inc,177.23%,SBR,Sabre Holdings,167.14%,XEC,Cimarex Energy,250.31%,KIM,Kimco Realty,131.03%,GLW,Corning Inc.,32.19%,IDXX,IDEXX Laboratories,52.68%,FOSL,Fossil Group,52.51%,KO,Coca-Cola Company,37.47%,ADP,Automatic Data Processing,216.40%,SLG,SL Green Realty,176.56%,BA,Boeing Company,154.00%,KLAC,KLA-Tencor Corp.,134.98%,DFS,Discover Financial Services,52.36%,CNP,CenterPoint Energy,103.80%,LNT,Alliant Energy Corp
86,302.12%,CTAS,Cintas Corporation,227.11%,PFE,Pfizer Inc.,205.64%,TER,Teradyne,120.82%,EXC,Exelon Corp.,75.85%,MCO,Moody's Corp,145.88%,SYK,Stryker Corp.,173.24%,OXY,Occidental Petroleum,166.80%,CHRW,C. H. Robinson Worldwide,248.66%,RIG,Transocean,127.25%,FFIV,F5 Networks,32.00%,SO,Southern Co.,52.26%,ABT,Abbott Laboratories,48.67%,BF.B,Brown-Forman Corp.,37.37%,WMT,Wal-Mart Stores,215.18%,MNST,Monster Beverage,175.34%,AAPL,Apple Inc.,153.64%,IT,Gartner Inc,133.79%,RF,Regions Financial Corp.,52.31%,C,Citigroup Inc.,102.82%,PLD,Prologis
87,301.72%,WMT,Wal-Mart Stores,226.09%,BMY,Bristol-Myers Squibb,204.72%,ADP,Automatic Data Processing,118.90%,LEN,Lennar Corp.,75.83%,PHM,Pulte Homes Inc.,144.27%,CNC,Centene Corporation,172.81%,JWN,Nordstrom,165.51%,FFIV,F5 Networks,247.89%,MGM,MGM Resorts International,126.59%,AES,AES Corp,31.63%,APH,Amphenol Corp,52.08%,REGN,Regeneron,48.60%,SBAC,SBA Communications,35.27%,LSI,LSI Corporation,210.47%,AMG,Affiliated Managers Group Inc,174.90%,ROK,Rockwell Automation Inc.,153.26%,VLO,Valero Energy,133.74%,CAH,Cardinal Health,52.12%,FRT,Federal Realty Investment Trust,102.78%,ACN,Accenture plc
88,296.17%,XRX,Xerox Corp.,224.18%,ARNC,Arconic Inc,201.47%,AXP,American Express Co,118.87%,HRB,Block H&R,75.27%,GGP,General Growth Properties Inc.,142.88%,VLO,Valero Energy,170.67%,O,Realty Income Corporation,164.63%,REG,Regency Centers Corporation,247.60%,SBUX,Starbucks Corp.,126.51%,AVB,"AvalonBay Communities, Inc.",31.61%,CNP,CenterPoint Energy,52.02%,CNX,Consol Energy,47.27%,SWK,Stanley Black & Decker,34.13%,BWA,BorgWarner,210.38%,JBL,Jabil Circuit,173.31%,MAT,Mattel Inc.,152.95%,AAPL,Apple Inc.,133.61%,GOOGL,Alphabet Inc Class A,51.78%,BF.B,Brown-Forman Corp.,102.57%,ALL,Allstate Corp
89,293.67%,MTB,M&T Bank Corp.,221.67%,TROW,T. Rowe Price Group,198.39%,CERN,Cerner,118.81%,PHM,Pulte Homes Inc.,74.72%,JEC,Jacobs Engineering Group,137.90%,PSA,Public Storage,169.22%,ZBH,Zimmer Biomet Holdings,163.93%,HP,Helmerich & Payne,246.30%,PSA,Public Storage,123.93%,JWN,Nordstrom,31.36%,MTD,Mettler Toledo,51.71%,O,Realty Income Corporation,46.97%,ATVI,Activision Blizzard,33.64%,MDLZ,Mondelez International,209.84%,S,Sprint Nextel Corp.,171.05%,ROP,Roper Technologies,150.71%,AMP,Ameriprise Financial,132.77%,HRB,Block H&R,51.68%,CTSH,Cognizant Technology Solutions,101.92%,PKG,Packaging Corporation of America
90,292.80%,BBY,Best Buy Co. Inc.,220.04%,AAPL,Apple Inc.,197.35%,BLK,BlackRock,118.77%,OMC,Omnicom Group,73.88%,UHS,"Universal Health Services, Inc.",136.56%,ZBH,Zimmer Biomet Holdings,169.05%,MGM,MGM Resorts International,162.07%,AAP,Advance Auto Parts,245.85%,DVA,DaVita,123.85%,FOSL,Fossil Group,30.74%,COP,ConocoPhillips,51.42%,VFC,V.F. Corp.,46.76%,CVX,Chevron Corp.,33.63%,M,Macy's Inc.,209.77%,NFLX,Netflix Inc.,170.45%,CERN,Cerner,150.17%,AYI,Acuity Brands Inc,132.69%,TJX,TJX Companies Inc.,49.71%,DOV,Dover Corp.,101.74%,PNC,PNC Financial Services
91,289.45%,IPG,Interpublic Group,219.50%,F,Ford Motor,197.21%,CVS,CVS Health,118.69%,WBA,Walgreens Boots Alliance,73.42%,PX,Praxair Inc.,136.21%,MYL,Mylan N.V.,167.94%,SLM,SLM Corporation,160.91%,FTI,TechnipFMC,242.19%,MAC,Macerich,121.62%,ESV,Ensco plc,30.11%,AME,AMETEK Inc,51.40%,MAT,Mattel Inc.,45.45%,HRL,Hormel Foods Corp.,32.54%,ALB,Albemarle Corp,209.14%,VFC,V.F. Corp.,169.10%,SPGI,"S&P Global, Inc.",149.87%,DF,Dean Foods,132.24%,LLY,Lilly (Eli) & Co.,48.97%,XRAY,Dentsply Sirona,101.07%,MCO,Moody's Corp
92,282.53%,S,Sprint Nextel Corp.,215.99%,ZION,Zions Bancorp,195.43%,CL,Colgate-Palmolive,118.30%,ABC,AmerisourceBergen Corp,72.71%,WLTW,Willis Towers Watson,135.50%,ESS,"Essex Property Trust, Inc.",167.41%,ANF,Abercrombie & Fitch,159.30%,ENDP,Endo International plc,241.24%,FLS,Flowserve Corporation,121.41%,MO,Altria Group Inc,29.43%,NRG,NRG Energy,51.30%,ROST,Ross Stores,44.69%,SHW,Sherwin-Williams,31.82%,TER,Teradyne,202.90%,HD,Home Depot,168.93%,DG,Dollar General,148.21%,ITT,ITT Corp.,132.22%,RE,Everest Re,48.58%,PFE,Pfizer Inc.,99.77%,SCHW,Charles Schwab Corporation
93,280.99%,CAH,Cardinal Health,214.73%,SBR,Sabre Holdings,194.99%,DHR,Danaher Corp.,118.27%,ATVI,Activision Blizzard,72.69%,NFX,Newfield Exploration Co,135.39%,SYMC,Symantec Corp.,164.88%,SLG,SL Green Realty,158.54%,CMI,Cummins Inc.,241.06%,TROW,T. Rowe Price Group,120.90%,BA,Boeing Company,29.23%,ORCL,Oracle Corp.,51.10%,HCP,HCP Inc.,44.03%,PCAR,PACCAR Inc.,31.26%,IDXX,IDEXX Laboratories,197.35%,IR,Ingersoll-Rand PLC,167.85%,MCK,McKesson Corp.,147.76%,MMI,Motorola Mobility,132.00%,AZO,AutoZone Inc,48.08%,AVB,"AvalonBay Communities, Inc.",98.75%,JPM,JPMorgan Chase & Co.
94,280.71%,WFC,Wells Fargo,212.16%,DHR,Danaher Corp.,190.43%,FISV,Fiserv Inc,117.84%,EQT,EQT Corporation,72.63%,DRI,Darden Restaurants,134.77%,SLG,SL Green Realty,163.90%,VLO,Valero Energy,158.42%,EBAY,eBay,240.99%,BEN,Franklin Resources,119.69%,PFG,Principal Financial Group,28.53%,PEG,Public Serv. Enterprise Inc.,50.22%,JBHT,J. B. Hunt Transport Services,43.66%,HAL,Halliburton Co.,31.22%,OXY,Occidental Petroleum,194.63%,ALK,Alaska Air Group Inc,163.00%,SBAC,SBA Communications,146.88%,SLM,SLM Corporation,131.75%,IR,Ingersoll-Rand PLC,47.52%,VZ,Verizon Communications,96.20%,MAA,Mid-America Apartments
95,279.82%,CMCSA,Comcast Corp.,210.11%,SPGI,"S&P Global, Inc.",190.22%,GPS,Gap Inc.,115.50%,AMZN,Amazon.com Inc,72.30%,MMC,Marsh & McLennan,133.87%,ITT,ITT Corp.,162.97%,PDCO,Patterson Companies,158.27%,NSC,Norfolk Southern Corp.,239.94%,MCO,Moody's Corp,119.60%,RTN,Raytheon Co.,28.49%,MO,Altria Group Inc,49.76%,APA,Apache Corporation,43.26%,COST,Costco Wholesale Corp.,31.18%,SRCL,Stericycle Inc,193.86%,FOXA,Twenty-First Century Fox Class A,160.28%,NSM,National Semiconductor Corp.,146.58%,MO,Altria Group Inc,131.71%,MSFT,Microsoft Corp.,46.76%,UTX,United Technologies,94.80%,AEE,Ameren Corp
96,275.51%,MLM,Martin Marietta Materials,209.68%,EA,Electronic Arts,189.20%,LLL,L-3 Communications Holdings,114.94%,ARNC,Arconic Inc,70.96%,FAST,Fastenal Co,127.05%,EA,Electronic Arts,160.65%,VNO,Vornado Realty Trust,154.75%,VNO,Vornado Realty Trust,232.68%,ADBE,Adobe Systems Inc,119.53%,SPG,Simon Property Group Inc,26.94%,SNA,Snap-On Inc.,49.24%,SHW,Sherwin-Williams,42.78%,DNR,Denbury Resources,30.89%,CL,Colgate-Palmolive,193.48%,NOV,National Oilwell Varco Inc.,157.89%,MGM,MGM Resorts International,144.57%,LEN,Lennar Corp.,130.87%,CME,CME Group Inc.,41.35%,GGP,General Growth Properties Inc.,94.52%,DTE,DTE Energy
97,274.75%,F,Ford Motor,209.22%,AVY,Avery Dennison Corp,188.09%,BMY,Bristol-Myers Squibb,112.26%,BLL,Ball Corp,70.63%,PVH,PVH Corp.,126.86%,OXY,Occidental Petroleum,160.60%,HRB,Block H&R,154.39%,EXC,Exelon Corp.,231.65%,CI,CIGNA Corp.,119.03%,ADBE,Adobe Systems Inc,26.34%,ABT,Abbott Laboratories,48.79%,ES,Eversource Energy,42.06%,DPS,Dr Pepper Snapple Group,30.51%,CVX,Chevron Corp.,192.25%,VIAB,Viacom Inc.,157.85%,NOC,Northrop Grumman Corp.,143.84%,GT,Goodyear Tire & Rubber,130.49%,GHC,Graham Holdings,40.85%,SUN,Sunoco Inc.,93.98%,WAT,Waters Corporation
98,274.50%,ECL,Ecolab,207.80%,CHD,Church & Dwight,184.76%,EA,Electronic Arts,107.40%,MET,MetLife Inc.,70.58%,COG,Cabot Oil & Gas,126.35%,FII,Federated Investors,160.58%,PGR,Progressive Corp.,154.04%,MGM,MGM Resorts International,228.37%,APH,Amphenol Corp,118.46%,LMT,Lockheed Martin Corp.,25.99%,MCK,McKesson Corp.,48.55%,APD,Air Products & Chemicals Inc,41.41%,MCK,McKesson Corp.,29.07%,WIN,Windstream Holdings Inc,191.78%,AMP,Ameriprise Financial,157.79%,HON,Honeywell Int'l Inc.,143.59%,AAP,Advance Auto Parts,130.49%,ICE,Intercontinental Exchange,40.10%,EXC,Exelon Corp.,93.65%,HAS,Hasbro Inc.
99,273.57%,UTX,United Technologies,204.72%,ADP,Automatic Data Processing,184.72%,CHRW,C. H. Robinson Worldwide,107.06%,AIG,"American International Group, Inc.",70.48%,MAC,Macerich,125.26%,PVH,PVH Corp.,160.31%,FDX,FedEx Corporation,152.47%,IDXX,IDEXX Laboratories,228.20%,COP,ConocoPhillips,115.83%,AON,Aon plc,25.56%,HUM,Humana Inc.,48.02%,CVX,Chevron Corp.,41.04%,MON,Monsanto Co.,28.98%,CAG,Conagra Brands,191.71%,IPG,Interpublic Group,157.01%,KEY,KeyCorp,142.38%,FISV,Fiserv Inc,128.79%,GT,Goodyear Tire & Rubber,38.98%,MYL,Mylan N.V.,92.98%,AMT,American Tower Corp A
100,272.54%,AXP,American Express Co,202.58%,CLX,The Clorox Company,184.25%,SBR,Sabre Holdings,106.03%,CNX,Consol Energy,69.62%,ETR,Entergy Corp.,123.96%,MET,MetLife Inc.,159.80%,LOW,Lowe's Cos.,151.97%,CCI,Crown Castle International Corp.,227.53%,SLB,Schlumberger Ltd.,113.24%,LLL,L-3 Communications Holdings,25.41%,IVZ,Invesco Ltd.,47.71%,IDXX,IDEXX Laboratories,40.62%,QCOM,QUALCOMM Inc.,28.84%,KO,Coca-Cola Company,190.89%,ORLY,O'Reilly Automotive,156.57%,IPG,Interpublic Group,142.26%,TSN,Tyson Foods,127.59%,TXT,Textron Inc.,38.74%,HRB,Block H&R,92.58%,CSCO,Cisco Systems
101,270.80%,BDX,Becton Dickinson,199.13%,ORLY,O'Reilly Automotive,181.66%,PHM,Pulte Homes Inc.,105.73%,PWR,Quanta Services Inc.,69.18%,SJM,JM Smucker,123.70%,FAST,Fastenal Co,158.35%,DNR,Denbury Resources,151.82%,ANF,Abercrombie & Fitch,222.02%,RMD,ResMed,110.66%,IRM,Iron Mountain Incorporated,25.40%,DVA,DaVita,47.17%,RL,Polo Ralph Lauren Corp.,38.88%,CCI,Crown Castle International Corp.,28.38%,NEM,Newmont Mining Corporation,188.63%,ROK,Rockwell Automation Inc.,156.26%,PH,Parker-Hannifin,142.19%,ALL,Allstate Corp,126.63%,AMP,Ameriprise Financial,38.32%,EBAY,eBay,92.34%,AIV,Apartment Investment & Management
102,270.34%,ESRX,Express Scripts,198.41%,CVS,CVS Health,179.45%,IPG,Interpublic Group,105.03%,MSFT,Microsoft Corp.,68.67%,EBAY,eBay,121.46%,TJX,TJX Companies Inc.,157.06%,SRCL,Stericycle Inc,151.40%,COL,Rockwell Collins,221.61%,DHI,D. R. Horton,108.28%,MCK,McKesson Corp.,23.18%,ENDP,Endo International plc,46.62%,NVDA,Nvidia Corporation,38.83%,GIS,General Mills,28.28%,FRT,Federal Realty Investment Trust,186.91%,AME,AMETEK Inc,154.51%,FOX,Twenty-First Century Fox Class B,142.06%,TGNA,"Tegna, Inc.",125.99%,CINF,Cincinnati Financial,37.35%,ANSS,ANSYS,92.32%,ESS,"Essex Property Trust, Inc."
103,268.12%,TAP,Molson Coors Brewing Company,196.81%,MDT,Medtronic plc,177.80%,WFC,Wells Fargo,100.22%,CHD,Church & Dwight,68.37%,AMG,Affiliated Managers Group Inc,121.36%,BWA,BorgWarner,156.84%,MAA,Mid-America Apartments,151.16%,LUK,Leucadia National Corp.,220.19%,WDC,Western Digital,106.91%,ROK,Rockwell Automation Inc.,22.57%,APC,Anadarko Petroleum Corp,45.13%,CCI,Crown Castle International Corp.,38.37%,RMD,ResMed,28.16%,CLF,Cliffs Natural Resources,186.80%,MTD,Mettler Toledo,153.57%,HRL,Hormel Foods Corp.,141.80%,EFX,Equifax Inc.,125.90%,FII,Federated Investors,36.77%,CL,Colgate-Palmolive,91.92%,UDR,UDR Inc
104,262.33%,RJF,Raymond James Financial Inc.,195.43%,EL,Estee Lauder Cos.,176.78%,CTAS,Cintas Corporation,99.90%,TPR,"Tapestry, Inc.",68.25%,ARE,Alexandria Real Estate Equities Inc,121.13%,PPL,PPL Corp.,156.20%,HCP,HCP Inc.,149.15%,MAA,Mid-America Apartments,217.99%,ROK,Rockwell Automation Inc.,105.64%,CNP,CenterPoint Energy,22.02%,EXPD,Expeditors International,44.88%,GWW,Grainger (W.W.) Inc.,38.23%,ALK,Alaska Air Group Inc,27.30%,ADI,"Analog Devices, Inc.",185.69%,FOX,Twenty-First Century Fox Class B,152.64%,SLM,SLM Corporation,139.47%,WHR,Whirlpool Corp.,125.29%,BCR,Bard (C.R.) Inc.,34.64%,ALLE,Allegion,91.83%,VRTX,Vertex Pharmaceuticals Inc
105,259.01%,AMGN,Amgen Inc,195.06%,UTX,United Technologies,176.57%,USB,U.S. Bancorp,99.83%,MDT,Medtronic plc,67.43%,ABC,AmerisourceBergen Corp,120.72%,SUN,Sunoco Inc.,155.10%,AYI,Acuity Brands Inc,148.74%,BXP,Boston Properties,217.56%,EOG,EOG Resources,103.32%,RJF,Raymond James Financial Inc.,21.66%,IRM,Iron Mountain Incorporated,42.45%,GOOG,Alphabet Inc Class C,37.93%,AON,Aon plc,26.95%,SBAC,SBA Communications,181.44%,TPR,"Tapestry, Inc.",152.24%,NKE,Nike,137.86%,NKE,Nike,124.26%,RMD,ResMed,33.66%,CCI,Crown Castle International Corp.,91.58%,COL,Rockwell Collins
106,257.21%,HOG,Harley-Davidson,192.44%,JPM,JPMorgan Chase & Co.,175.84%,SPGI,"S&P Global, Inc.",98.90%,COST,Costco Wholesale Corp.,67.02%,FRT,Federal Realty Investment Trust,119.99%,AN,AutoNation Inc,153.17%,NEM,Newmont Mining Corporation,147.13%,MON,Monsanto Co.,217.35%,DLR,Digital Realty,102.98%,XRAY,Dentsply Sirona,21.57%,AFL,AFLAC Inc,42.45%,GOOGL,Alphabet Inc Class A,37.57%,NTAP,NetApp,25.47%,COST,Costco Wholesale Corp.,180.94%,HBI,Hanesbrands Inc,152.20%,DOV,Dover Corp.,136.80%,ANTM,Anthem Inc.,124.08%,BMY,Bristol-Myers Squibb,31.61%,RHT,Red Hat Inc.,90.93%,VRSN,Verisign Inc.
107,253.51%,CTL,CenturyLink Inc,191.90%,LB,L Brands Inc.,173.53%,RJF,Raymond James Financial Inc.,98.61%,MS,Morgan Stanley,64.92%,LSI,LSI Corporation,119.92%,ARE,Alexandria Real Estate Equities Inc,151.64%,WLTW,Willis Towers Watson,144.85%,STZ,Constellation Brands,216.14%,LH,Laboratory Corp. of America Holding,101.80%,BAX,Baxter International Inc.,21.26%,TROW,T. Rowe Price Group,42.37%,DIS,The Walt Disney Company,37.08%,UTX,United Technologies,25.34%,BMS,Bemis Company,177.94%,SHW,Sherwin-Williams,150.30%,DIS,The Walt Disney Company,136.19%,ADBE,Adobe Systems Inc,123.31%,GD,General Dynamics,30.82%,TROW,T. Rowe Price Group,90.66%,ILMN,Illumina Inc
108,250.71%,FISV,Fiserv Inc,188.55%,FISV,Fiserv Inc,173.26%,UNH,United Health Group Inc.,98.57%,SBUX,Starbucks Corp.,64.05%,STZ,Constellation Brands,119.73%,LM,Legg Mason,150.23%,CMI,Cummins Inc.,144.78%,NRG,NRG Energy,215.02%,AMD,Advanced Micro Devices,100.32%,HON,Honeywell Int'l Inc.,21.09%,KO,Coca-Cola Company,42.31%,CTXS,Citrix Systems,36.07%,LB,L Brands Inc.,25.17%,KMB,Kimberly-Clark,177.55%,MYL,Mylan N.V.,148.90%,CTAS,Cintas Corporation,135.62%,AWK,American Water Works Company Inc,122.89%,TEL,TE Connectivity Ltd.,30.72%,PM,Philip Morris International,89.82%,STI,SunTrust Banks
109,247.33%,XLNX,Xilinx Inc,183.19%,MCHP,Microchip Technology,171.27%,VAR,Varian Medical Systems,98.11%,ADP,Automatic Data Processing,63.09%,KLAC,KLA-Tencor Corp.,119.00%,MKC,McCormick & Co.,149.45%,KIM,Kimco Realty,144.14%,ATI,Allegheny Technologies,214.59%,BBY,Best Buy Co. Inc.,99.63%,PH,Parker-Hannifin,20.66%,OI,Owens-Illinois,42.04%,AYI,Acuity Brands Inc,35.89%,AMT,American Tower Corp A,24.10%,R,Ryder Systems Inc.,176.55%,WHR,Whirlpool Corp.,147.88%,BMY,Bristol-Myers Squibb,134.99%,TSS,Total System Services,122.54%,MTD,Mettler Toledo,30.66%,JBL,Jabil Circuit,89.68%,ALLE,Allegion
110,240.97%,STI,SunTrust Banks,182.44%,HPQ,HP Inc.,171.17%,SLM,SLM Corporation,97.35%,AFL,AFLAC Inc,62.75%,NEM,Newmont Mining Corporation,118.85%,ROK,Rockwell Automation Inc.,145.35%,IDXX,IDEXX Laboratories,142.98%,DO,Diamond Offshore Drilling,213.51%,AMG,Affiliated Managers Group Inc,99.36%,GPN,Global Payments Inc,20.37%,EQT,EQT Corporation,41.94%,SRE,Sempra Energy,35.40%,EXPD,Expeditors International,23.61%,MCK,McKesson Corp.,175.45%,SPGI,"S&P Global, Inc.",146.03%,CB,Chubb Corp,133.76%,GPC,Genuine Parts,121.51%,ANTM,Anthem Inc.,29.29%,KO,Coca-Cola Company,89.55%,LLY,Lilly (Eli) & Co.
111,239.96%,ALL,Allstate Corp,182.10%,TGNA,"Tegna, Inc.",168.60%,LLY,Lilly (Eli) & Co.,96.87%,SO,Southern Co.,61.80%,ITT,ITT Corp.,118.61%,AVP,Avon Products,145.33%,ISRG,Intuitive Surgical Inc.,142.72%,CAT,Caterpillar Inc.,208.22%,GT,Goodyear Tire & Rubber,94.55%,COST,Costco Wholesale Corp.,19.14%,RSG,Republic Services Inc,40.72%,MO,Altria Group Inc,34.73%,PM,Philip Morris International,23.61%,NBL,Noble Energy Inc,172.94%,APH,Amphenol Corp,145.54%,MO,Altria Group Inc,133.18%,LLY,Lilly (Eli) & Co.,120.74%,COST,Costco Wholesale Corp.,29.10%,FOXA,Twenty-First Century Fox Class A,89.42%,IGT,International Game Technology
112,239.84%,SPGI,"S&P Global, Inc.",181.25%,NBR,Nabors Industries,167.54%,CTL,CenturyLink Inc,96.34%,GD,General Dynamics,61.54%,FL,Foot Locker Inc,118.28%,AJG,Arthur J. Gallagher & Co.,144.01%,PVH,PVH Corp.,142.57%,BWA,BorgWarner,207.90%,NDAQ,"Nasdaq, Inc.",94.49%,RSG,Republic Services Inc,17.24%,NKE,Nike,40.30%,RTN,Raytheon Co.,34.30%,MKC,McCormick & Co.,23.16%,VZ,Verizon Communications,172.59%,SNI,Scripps Networks Interactive Inc.,145.19%,TEL,TE Connectivity Ltd.,131.15%,TMO,Thermo Fisher Scientific,120.15%,ROP,Roper Technologies,27.39%,ESRX,Express Scripts,88.92%,IFF,Intl Flavors & Fragrances
113,239.47%,ORCL,Oracle Corp.,180.97%,CA,"CA, Inc.",166.92%,DRI,Darden Restaurants,95.99%,C,Citigroup Inc.,61.46%,SPG,Simon Property Group Inc,118.07%,VNO,Vornado Realty Trust,143.13%,ARE,Alexandria Real Estate Equities Inc,141.96%,KIM,Kimco Realty,207.29%,FLR,Fluor Corp.,93.64%,NKE,Nike,16.77%,GD,General Dynamics,40.18%,URBN,Urban Outfitters,34.30%,CL,Colgate-Palmolive,22.60%,DIS,The Walt Disney Company,172.39%,LYB,LyondellBasell,143.62%,HUM,Humana Inc.,130.76%,DPS,Dr Pepper Snapple Group,119.39%,EW,Edwards Lifesciences,24.35%,WY,Weyerhaeuser Corp.,88.87%,CRM,Salesforce.com
114,236.63%,NYT,The New York Times Co.,179.81%,PG,Procter & Gamble,166.48%,IGT,International Game Technology,95.52%,ALXN,Alexion Pharmaceuticals,60.77%,FCX,Freeport-McMoRan Inc.,115.92%,MAA,Mid-America Apartments,142.38%,CHD,Church & Dwight,141.40%,FAST,Fastenal Co,203.77%,GS,Goldman Sachs Group,91.24%,MET,MetLife Inc.,15.81%,AKAM,Akamai Technologies Inc,39.42%,LH,Laboratory Corp. of America Holding,34.25%,CTL,CenturyLink Inc,22.44%,ESRX,Express Scripts,171.11%,AKAM,Akamai Technologies Inc,143.61%,FISV,Fiserv Inc,130.52%,DG,Dollar General,117.55%,MDT,Medtronic plc,19.96%,AES,AES Corp,88.86%,AEP,American Electric Power
115,236.45%,AIG,"American International Group, Inc.",178.32%,ECL,Ecolab,158.79%,EQT,EQT Corporation,94.91%,CSCO,Cisco Systems,60.68%,MTB,M&T Bank Corp.,115.38%,EXC,Exelon Corp.,140.18%,FAST,Fastenal Co,141.34%,EXPD,Expeditors International,202.80%,LM,Legg Mason,90.85%,VNO,Vornado Realty Trust,15.78%,AMZN,Amazon.com Inc,38.73%,BDX,Becton Dickinson,33.78%,PKG,Packaging Corporation of America,22.14%,CTL,CenturyLink Inc,170.22%,FMC,FMC Corporation,143.51%,AIZ,Assurant Inc,129.66%,CDNS,Cadence Design Systems,117.36%,BK,The Bank of New York Mellon Corp.,17.98%,XOM,Exxon Mobil Corp.,88.60%,CMA,Comerica Inc.
116,235.47%,IRM,Iron Mountain Incorporated,177.34%,APH,Amphenol Corp,158.59%,XL,XL Capital,94.86%,CAH,Cardinal Health,60.03%,C,Citigroup Inc.,115.30%,WYNN,Wynn Resorts,139.44%,SUN,Sunoco Inc.,139.61%,PSA,Public Storage,201.66%,FTI,TechnipFMC,90.57%,REG,Regency Centers Corporation,14.01%,PEP,PepsiCo Inc.,38.68%,VZ,Verizon Communications,33.59%,AFL,AFLAC Inc,20.69%,LOW,Lowe's Cos.,168.55%,AMT,American Tower Corp A,143.26%,GGP,General Growth Properties Inc.,129.33%,CAH,Cardinal Health,117.14%,MMI,Motorola Mobility,17.25%,QCOM,QUALCOMM Inc.,88.53%,GOOGL,Alphabet Inc Class A
117,234.02%,DF,Dean Foods,169.89%,DXC,DXC Technology,158.18%,CAH,Cardinal Health,92.09%,DHR,Danaher Corp.,59.97%,SWN,Southwestern Energy,115.24%,ADS,Alliance Data Systems,138.78%,ITT,ITT Corp.,139.18%,ADBE,Adobe Systems Inc,201.29%,MAA,Mid-America Apartments,89.50%,PSA,Public Storage,13.21%,AEP,American Electric Power,38.66%,IT,Gartner Inc,33.36%,BIG,Big Lots Inc.,19.86%,IFF,Intl Flavors & Fragrances,168.11%,MO,Altria Group Inc,142.63%,DAL,Delta Air Lines,128.47%,ADP,Automatic Data Processing,116.87%,HOLX,Hologic,14.59%,BWA,BorgWarner,88.45%,GOOG,Alphabet Inc Class C
