,1995-1999,ticker,company,1996-2000,ticker,company,1997-2001,ticker,company,1998-2002,ticker,company,1999-2003,ticker,company,2000-2004,ticker,company,2001-2005,ticker,company,2002-2006,ticker,company,2003-2007,ticker,company,2004-2008,ticker,company,2005-2009,ticker,company,2006-2010,ticker,company,2007-2011,ticker,company,2008-2012,ticker,company,2009-2013,ticker,company,2010-2014,ticker,company,2011-2015,ticker,company,2012-2016,ticker,company,2013-2017,ticker,company,2014-2018,ticker,company
10,803.14%,LVLT,Level 3 Communications,1127.48%,BBY,Best Buy Co. Inc.,727.27%,DISH,Dish Network,666.86%,RMD,ResMed,272.51%,SYMC,Symantec Corp.,396.48%,SRCL,Stericycle Inc,514.02%,SYMC,Symantec Corp.,584.25%,TPR,"Tapestry, Inc.",1019.53%,SHLD,Sears Holding Corporation,713.71%,CLF,Cliffs Natural Resources,187.70%,ESRX,Express Scripts,182.72%,AMZN,Amazon.com Inc,276.99%,CMG,Chipotle Mexican Grill,171.01%,AZO,AutoZone Inc,563.02%,PXD,Pioneer Natural Resources,422.56%,BIIB,Biogen Inc.,343.21%,STZ,Constellation Brands,389.23%,GILD,Gilead Sciences,179.81%,CME,CME Group Inc.,251.12%,LRCX,Lam Research
11,775.00%,NTAP,NetApp,993.13%,CTSH,Cognizant Technology Solutions,694.68%,AMZN,Amazon.com Inc,496.71%,VRSN,Verisign Inc.,268.12%,DISH,Dish Network,378.43%,DGX,Quest Diagnostics,507.40%,ADSK,Autodesk Inc,556.53%,AAPL,Apple Inc.,971.82%,CELG,Celgene Corp.,712.28%,MON,Monsanto Co.,187.42%,VRTX,Vertex Pharmaceuticals Inc,181.91%,AAPL,Apple Inc.,269.57%,PRGO,Perrigo,160.29%,NFLX,Netflix Inc.,529.05%,AAPL,Apple Inc.,421.69%,AAL,American Airlines Group,341.49%,INCY,Incyte,365.20%,ANDV,Andeavor,174.54%,SEE,Sealed Air,249.72%,LUV,Southwest Airlines
12,763.26%,GPS,Gap Inc.,940.67%,MSFT,Microsoft Corp.,664.98%,JNPR,Juniper Networks,467.51%,TWX,Time Warner Inc.,237.64%,TPR,"Tapestry, Inc.",363.56%,VAR,Varian Medical Systems,480.15%,JBHT,J. B. Hunt Transport Services,523.26%,DNR,Denbury Resources,956.09%,AMT,American Tower Corp A,706.10%,GME,GameStop,187.22%,ALXN,Alexion Pharmaceuticals,172.36%,SWKS,Skyworks Solutions,265.96%,CRM,Salesforce.com,150.39%,TDG,TransDigm Group,523.58%,SIG,Signet Jewelers,376.97%,CBS,CBS Corp.,336.53%,MU,Micron Technology,364.19%,SWKS,Skyworks Solutions,165.17%,TDG,TransDigm Group,235.95%,CNC,Centene Corporation
13,744.19%,RMD,ResMed,927.45%,BIIB,Biogen Inc.,647.48%,ALXN,Alexion Pharmaceuticals,392.85%,NTAP,NetApp,232.65%,KMX,Carmax Inc,349.23%,FLIR,FLIR Systems,449.40%,HOLX,Hologic,521.36%,TSCO,Tractor Supply Company,910.20%,GRA,W.R. Grace,695.83%,HOLX,Hologic,186.31%,DLR,Digital Realty,171.65%,PRGO,Perrigo,265.65%,MOS,The Mosaic Company,146.53%,ORLY,O'Reilly Automotive,491.97%,SBUX,Starbucks Corp.,366.88%,LB,L Brands Inc.,328.71%,ALK,Alaska Air Group Inc,351.18%,AYI,Acuity Brands Inc,163.12%,TXN,Texas Instruments,225.41%,STZ,Constellation Brands
14,730.68%,DLTR,Dollar Tree,828.89%,ETFC,E*Trade,626.25%,CTSH,Cognizant Technology Solutions,345.49%,XLNX,Xilinx Inc,231.20%,GILD,Gilead Sciences,338.86%,UNH,United Health Group Inc.,445.70%,ANSS,ANSYS,506.45%,GRA,W.R. Grace,905.85%,WMB,Williams Cos.,589.14%,GOOGL,Alphabet Inc Class A,165.06%,AAPL,Apple Inc.,169.31%,AKS,AK Steel Holding Corp.,253.12%,FFIV,F5 Networks,137.69%,TJX,TJX Companies Inc.,476.06%,F,Ford Motor,341.97%,ANDV,Andeavor,321.99%,V,Visa Inc.,347.78%,ALK,Alaska Air Group Inc,156.13%,ICE,Intercontinental Exchange,213.48%,UNH,United Health Group Inc.
15,719.80%,JCI,Johnson Controls Inc,774.48%,ORCL,Oracle Corp.,625.00%,RMD,ResMed,343.11%,AJG,Arthur J. Gallagher & Co.,215.22%,EXPD,Expeditors International,330.71%,GILD,Gilead Sciences,442.94%,CME,CME Group Inc.,484.60%,ISRG,Intuitive Surgical Inc.,896.11%,CLF,Cliffs Natural Resources,589.14%,GOOG,Alphabet Inc Class C,162.80%,MON,Monsanto Co.,165.25%,FTI,TechnipFMC,237.25%,EW,Edwards Lifesciences,135.63%,DISCK,Discovery Communications,467.29%,COO,The Cooper Companies,341.81%,STZ,Constellation Brands,317.97%,ANDV,Andeavor,346.72%,UAA,Under Armour,147.88%,PKG,Packaging Corporation of America,209.84%,AMAT,Applied Materials Inc
16,686.03%,TJX,TJX Companies Inc.,749.61%,SCHW,Charles Schwab Corporation,587.17%,LVLT,Level 3 Communications,317.11%,AMGN,Amgen Inc,213.33%,TSCO,Tractor Supply Company,323.34%,PHM,Pulte Homes Inc.,426.67%,BSX,Boston Scientific,473.19%,AET,Aetna Inc,761.33%,CCI,Crown Castle International Corp.,584.67%,CF,CF Industries Holdings Inc,155.46%,RRC,Range Resources Corp.,162.03%,ISRG,Intuitive Surgical Inc.,236.78%,CLF,Cliffs Natural Resources,131.29%,SBUX,Starbucks Corp.,458.20%,PVH,PVH Corp.,334.38%,WYNN,Wynn Resorts,314.50%,MNST,Monster Beverage,310.68%,EXR,Extra Space Storage,147.68%,MGM,MGM Resorts International,208.06%,CDNS,Cadence Design Systems
17,678.02%,ROST,Ross Stores,718.50%,TXN,Texas Instruments,530.94%,ADBE,Adobe Systems Inc,316.27%,SRCL,Stericycle Inc,212.72%,IGT,International Game Technology,300.81%,LH,Laboratory Corp. of America Holding,414.37%,WYNN,Wynn Resorts,460.51%,VLO,Valero Energy,681.67%,URBN,Urban Outfitters,565.91%,ANDV,Andeavor,147.50%,PWR,Quanta Services Inc.,156.59%,SWN,Southwestern Energy,234.99%,TDG,TransDigm Group,129.52%,REGN,Regeneron,457.48%,FOSL,Fossil Group,330.32%,TDG,TransDigm Group,313.39%,DISH,Dish Network,305.81%,VLO,Valero Energy,143.88%,LVLT,Level 3 Communications,199.27%,EQIX,Equinix
18,649.93%,INTC,Intel Corp.,692.74%,EBAY,eBay,526.50%,ORCL,Oracle Corp.,313.59%,KSS,Kohl's,209.74%,SBR,Sabre Holdings,291.77%,JBHT,J. B. Hunt Transport Services,413.31%,SWN,Southwestern Energy,410.70%,HAL,Halliburton Co.,678.41%,ISRG,Intuitive Surgical Inc.,557.07%,NOV,National Oilwell Varco Inc.,142.42%,NFLX,Netflix Inc.,156.22%,EQIX,Equinix,229.81%,ILMN,Illumina Inc,127.53%,RL,Polo Ralph Lauren Corp.,428.34%,EXPE,Expedia Inc.,329.38%,AGN,"Allergan, Inc",309.83%,CNC,Centene Corporation,301.60%,APTV,Aptiv Plc,143.28%,EXR,Extra Space Storage,194.46%,AMZN,Amazon.com Inc
19,643.01%,COF,Capital One Financial,666.39%,FFIV,F5 Networks,521.66%,KSS,Kohl's,306.56%,WAT,Waters Corporation,191.08%,AJG,Arthur J. Gallagher & Co.,287.35%,RE,Everest Re,394.48%,CNC,Centene Corporation,399.85%,CHK,Chesapeake Energy,674.45%,HOLX,Hologic,541.68%,PCLN,Priceline.com Inc,142.25%,NDAQ,"Nasdaq, Inc.",154.37%,DLR,Digital Realty,217.22%,FTI,TechnipFMC,117.20%,CERN,Cerner,426.01%,TDG,TransDigm Group,327.08%,ALK,Alaska Air Group Inc,296.88%,TDG,TransDigm Group,277.53%,AMZN,Amazon.com Inc,142.60%,GHC,Graham Holdings,187.35%,NOC,Northrop Grumman Corp.
20,637.85%,ZION,Zions Bancorp,638.68%,TIF,Tiffany & Co.,512.17%,LH,Laboratory Corp. of America Holding,305.58%,SWKS,Skyworks Solutions,188.57%,PXD,Pioneer Natural Resources,278.83%,ABC,AmerisourceBergen Corp,386.48%,ATVI,Activision Blizzard,371.35%,ANDV,Andeavor,670.43%,RRC,Range Resources Corp.,520.63%,VLO,Valero Energy,132.39%,LKQ,LKQ Corporation,153.50%,GRA,W.R. Grace,207.67%,ESRX,Express Scripts,110.11%,VFC,V.F. Corp.,425.15%,CRM,Salesforce.com,319.41%,FL,Foot Locker Inc,295.61%,DAL,Delta Air Lines,265.55%,KR,Kroger Co.,141.92%,WBA,Walgreens Boots Alliance,181.63%,ISRG,Intuitive Surgical Inc.
21,597.63%,PFE,Pfizer Inc.,611.49%,GPS,Gap Inc.,507.32%,IVZ,Invesco Ltd.,303.66%,HOG,Harley-Davidson,180.43%,ESV,Ensco plc,277.23%,GGP,General Growth Properties Inc.,385.35%,CLF,Cliffs Natural Resources,370.16%,ADSK,Autodesk Inc,664.60%,WYNN,Wynn Resorts,450.48%,CMI,Cummins Inc.,126.68%,SRCL,Stericycle Inc,139.05%,FLS,Flowserve Corporation,206.84%,FOSL,Fossil Group,109.79%,FL,Foot Locker Inc,418.04%,ALXN,Alexion Pharmaceuticals,309.57%,EXR,Extra Space Storage,289.87%,MA,Mastercard Inc.,257.98%,SNA,Snap-On Inc.,141.09%,HAS,Hasbro Inc.,180.24%,DLR,Digital Realty
22,582.17%,CDNS,Cadence Design Systems,595.83%,RMD,ResMed,505.58%,SCHW,Charles Schwab Corporation,295.71%,LOW,Lowe's Cos.,178.94%,BLK,BlackRock,270.42%,SWN,Southwestern Energy,378.47%,FCX,Freeport-McMoRan Inc.,360.81%,HUM,Humana Inc.,629.80%,AES,AES Corp,423.70%,NDAQ,"Nasdaq, Inc.",119.88%,OXY,Occidental Petroleum,137.93%,BIG,Big Lots Inc.,175.08%,INCY,Incyte,108.83%,PSA,Public Storage,412.27%,FL,Foot Locker Inc,307.08%,ADS,Alliance Data Systems,280.99%,EXR,Extra Space Storage,256.45%,NOC,Northrop Grumman Corp.,139.48%,TSS,Total System Services,179.86%,CTAS,Cintas Corporation
