,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
230,675.30%,JCI,Johnson Controls Inc,338.54%,FBHS,Fortune Brands Home & Security,560.54%,CCE,Coca-Cola Enterprises
231,668.58%,SLM,SLM Corporation,336.85%,MYL,Mylan N.V.,548.88%,CSCO,Cisco Systems
232,659.94%,ED,Consolidated Edison,334.94%,DPS,Dr Pepper Snapple Group,546.80%,AIV,Apartment Investment & Management
233,645.93%,JWN,Nordstrom,332.69%,DVN,Devon Energy,546.68%,GIS,General Mills
234,642.99%,KSU,Kansas City Southern,332.54%,FII,Federated Investors,545.84%,EMN,Eastman Chemical
235,639.04%,COP,ConocoPhillips,330.81%,VZ,Verizon Communications,538.88%,KSS,Kohl's
236,638.58%,MMC,Marsh & McLennan,328.17%,AEP,American Electric Power,538.72%,JPM,JPMorgan Chase & Co.
237,629.68%,GPC,Genuine Parts,309.86%,IFF,Intl Flavors & Fragrances,535.17%,KMX,Carmax Inc
238,619.84%,CXO,Concho Resources,307.57%,GHC,Graham Holdings,527.88%,CCL,Carnival Corp.
239,616.56%,GPS,Gap Inc.,306.96%,GS,Goldman Sachs Group,523.29%,GPC,Genuine Parts
240,615.38%,WM,Waste Management Inc.,302.10%,HRB,Block H&R,521.24%,EIX,Edison Int'l
241,609.86%,CCI,Crown Castle International Corp.,293.70%,CNP,CenterPoint Energy,516.20%,MYL,Mylan N.V.
242,602.27%,PHM,Pulte Homes Inc.,293.32%,BIG,Big Lots Inc.,500.31%,RHI,Robert Half International
243,599.98%,ADSK,Autodesk Inc,284.88%,TXT,Textron Inc.,497.99%,COP,ConocoPhillips
244,596.27%,ICE,Intercontinental Exchange,282.16%,FOXA,Twenty-First Century Fox Class A,496.97%,LYB,LyondellBasell
245,591.60%,WMB,Williams Cos.,281.51%,MRK,Merck & Co.,485.03%,LUK,Leucadia National Corp.
246,580.01%,DF,Dean Foods,270.26%,CNX,Consol Energy,484.36%,XEL,Xcel Energy Inc
247,578.47%,CSX,CSX Corp.,264.85%,T,AT&T Inc,478.28%,TSS,Total System Services
248,573.83%,FTI,TechnipFMC,261.31%,CPB,Campbell Soup,477.76%,AWK,American Water Works Company Inc
249,573.28%,V,Visa Inc.,250.60%,DISCA,Discovery Communications,477.67%,ALL,Allstate Corp
250,566.84%,LRCX,Lam Research,245.93%,EXPE,Expedia Inc.,476.06%,STX,Seagate Technology
251,560.19%,HRB,Block H&R,244.37%,AEE,Ameren Corp,473.28%,XOM,Exxon Mobil Corp.
252,559.44%,NFX,Newfield Exploration Co,243.61%,CTL,CenturyLink Inc,473.27%,HOG,Harley-Davidson
253,556.75%,GE,General Electric,240.08%,WY,Weyerhaeuser Corp.,467.42%,DUK,Duke Energy
254,547.78%,SRE,Sempra Energy,234.87%,APTV,Aptiv Plc,465.32%,IBM,International Business Machines
255,547.51%,RTN,Raytheon Co.,234.75%,DISCK,Discovery Communications,465.06%,PG,Procter & Gamble
256,541.93%,BMS,Bemis Company,233.94%,DG,Dollar General,453.99%,PRU,Prudential Financial
257,532.71%,VTR,Ventas Inc,220.20%,FOX,Twenty-First Century Fox Class B,453.71%,AVY,Avery Dennison Corp
258,527.33%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,219.88%,RL,Polo Ralph Lauren Corp.,453.54%,FBHS,Fortune Brands Home & Security
259,524.13%,MS,Morgan Stanley,214.97%,SNPS,Synopsys Inc.,452.76%,IFF,Intl Flavors & Fragrances
260,519.48%,NBL,Noble Energy Inc,213.04%,MPC,Marathon Petroleum,451.62%,FII,Federated Investors
261,507.75%,SEE,Sealed Air,208.07%,CBS,CBS Corp.,448.64%,TMO,Thermo Fisher Scientific
262,499.17%,FL,Foot Locker Inc,206.21%,FITB,Fifth Third Bancorp,447.22%,FLS,Flowserve Corporation
263,484.78%,HBI,Hanesbrands Inc,194.83%,PCLN,Priceline.com Inc,443.23%,NOV,National Oilwell Varco Inc.
264,478.97%,HAL,Halliburton Co.,193.21%,SAIC,SAIC,442.84%,LM,Legg Mason
265,475.99%,APC,Anadarko Petroleum Corp,184.79%,PSX,Phillips 66,438.73%,BBT,BB&T Corporation
266,471.46%,MRK,Merck & Co.,182.88%,WYN,Wyndham Worldwide,436.17%,FOXA,Twenty-First Century Fox Class A
267,469.14%,BRK.B,Berkshire Hathaway,172.29%,CMS,CMS Energy,433.21%,RSG,Republic Services Inc
268,465.34%,CBG,CBRE Group,169.95%,PM,Philip Morris International,431.88%,MS,Morgan Stanley
269,464.32%,FMC,FMC Corporation,169.58%,BHGE,"Baker Hughes, a GE Company",422.70%,GRA,W.R. Grace
270,461.35%,CAG,Conagra Brands,155.78%,RHT,Red Hat Inc.,420.26%,LEG,Leggett & Platt
271,453.32%,GRMN,Garmin Ltd.,153.54%,CBOE,CBOE Holdings,408.59%,AEP,American Electric Power
272,447.35%,PVH,PVH Corp.,152.25%,IP,International Paper,399.33%,APTV,Aptiv Plc
273,436.18%,EMR,Emerson Electric Company,150.52%,DWDP,DowDuPont,399.20%,PWR,Quanta Services Inc.
274,430.34%,EMN,Eastman Chemical,147.80%,DNR,Denbury Resources,393.24%,PFE,Pfizer Inc.
275,428.81%,EXC,Exelon Corp.,146.93%,DAL,Delta Air Lines,392.14%,BMY,Bristol-Myers Squibb
276,427.04%,KO,Coca-Cola Company,134.96%,FHN,First Horizon,388.88%,EMR,Emerson Electric Company
277,426.26%,FOXA,Twenty-First Century Fox Class A,129.90%,UAL,United Continental Holdings,386.79%,DRE,Duke Realty Corp
278,423.14%,CHTR,Charter Communications,124.09%,AES,AES Corp,386.75%,PCG,PG&E Corp.
279,410.96%,KMX,Carmax Inc,121.46%,XYL,Xylem Inc.,384.96%,CNP,CenterPoint Energy
280,405.02%,VZ,Verizon Communications,119.92%,TEL,TE Connectivity Ltd.,383.43%,KMB,Kimberly-Clark
281,390.88%,NUE,Nucor Corp.,105.34%,ABBV,AbbVie Inc.,366.48%,BK,The Bank of New York Mellon Corp.
282,385.39%,APA,Apache Corporation,104.90%,F,Ford Motor,362.86%,RHT,Red Hat Inc.
283,384.40%,WHR,Whirlpool Corp.,103.18%,IPG,Interpublic Group,361.54%,LNC,Lincoln National
284,383.60%,URI,"United Rentals, Inc.",100.54%,NE,Noble Corp,358.92%,FLR,Fluor Corp.
285,383.06%,COL,Rockwell Collins,99.11%,MMI,Motorola Mobility,357.32%,DPS,Dr Pepper Snapple Group
286,377.17%,CDNS,Cadence Design Systems,93.58%,TER,Teradyne,346.41%,SLB,Schlumberger Ltd.
287,375.31%,LUK,Leucadia National Corp.,92.15%,CDNS,Cadence Design Systems,344.95%,MUR,Murphy Oil
288,375.18%,ES,Eversource Energy,81.19%,BSX,Boston Scientific,342.99%,VZ,Verizon Communications
289,374.25%,TSN,Tyson Foods,80.65%,NLSN,Nielsen Holdings,342.24%,TSN,Tyson Foods
290,364.37%,PCG,PG&E Corp.,80.60%,Q,Qwest Communications,341.56%,BMS,Bemis Company
291,361.14%,M,Macy's Inc.,78.53%,JNPR,Juniper Networks,339.68%,GS,Goldman Sachs Group
292,357.49%,MRO,Marathon Oil Corp.,77.99%,ZTS,Zoetis,339.35%,LLY,Lilly (Eli) & Co.
293,354.45%,MAS,Masco Corp.,61.70%,A,Agilent Technologies Inc,337.35%,CBOE,CBOE Holdings
294,353.94%,LYB,LyondellBasell,61.33%,FCX,Freeport-McMoRan Inc.,337.00%,UAA,Under Armour
295,352.22%,GHC,Graham Holdings,60.71%,CFG,Citizens Financial Group,329.14%,CMA,Comerica Inc.
296,340.80%,STX,Seagate Technology,59.16%,SYF,Synchrony Financial,325.24%,FOX,Twenty-First Century Fox Class B
297,340.36%,BSX,Boston Scientific,50.89%,RF,Regions Financial Corp.,322.86%,SUN,Sunoco Inc.
298,336.78%,DPS,Dr Pepper Snapple Group,50.15%,MSI,Motorola Solutions Inc.,320.38%,WYN,Wyndham Worldwide
299,334.65%,IFF,Intl Flavors & Fragrances,48.12%,CCK,Crown Holdings,315.78%,WM,Waste Management Inc.
300,326.88%,PLD,Prologis,46.86%,TGNA,"Tegna, Inc.",313.70%,DG,Dollar General
301,323.46%,CPB,Campbell Soup,41.97%,HPE,Hewlett Packard Enterprise,313.48%,MPC,Marathon Petroleum
302,319.72%,FLR,Fluor Corp.,34.64%,ALLE,Allegion,311.67%,AEE,Ameren Corp
303,318.54%,T,AT&T Inc,34.45%,ENDP,Endo International plc,311.49%,SCG,SCANA Corp
304,314.72%,CNP,CenterPoint Energy,33.65%,ANF,Abercrombie & Fitch,310.96%,WLTW,Willis Towers Watson
305,310.98%,NDAQ,"Nasdaq, Inc.",31.48%,AMD,Advanced Micro Devices,307.41%,CAH,Cardinal Health
306,306.55%,SNPS,Synopsys Inc.,29.71%,FSLR,First Solar,296.47%,HAL,Halliburton Co.
307,303.03%,MET,MetLife Inc.,10.71%,MNK,Mallinckrodt,292.43%,INTC,Intel Corp.
308,297.56%,R,Ryder Systems Inc.,10.64%,FTV,Fortive Corp,288.70%,CAG,Conagra Brands
309,293.26%,SUN,Sunoco Inc.,3.02%,FTR,Frontier Communications,286.67%,WY,Weyerhaeuser Corp.
310,292.88%,WY,Weyerhaeuser Corp.,-3.65%,EQIX,Equinix,284.10%,MGM,MGM Resorts International
311,291.62%,AIZ,Assurant Inc,-5.03%,VIAB,Viacom Inc.,281.32%,WMB,Williams Cos.
312,287.89%,LH,Laboratory Corp. of America Holding,-7.42%,WIN,Windstream Holdings Inc,280.71%,BBBY,Bed Bath & Beyond
313,278.83%,NWL,Newell Brands,-10.34%,MOS,The Mosaic Company,280.45%,SNPS,Synopsys Inc.
314,276.21%,EXPE,Expedia Inc.,-11.71%,NEM,Newmont Mining Corporation,278.83%,JCI,Johnson Controls Inc
315,275.07%,XL,XL Capital,-12.83%,C,Citigroup Inc.,277.16%,L,Loews Corp.
316,271.32%,CTL,CenturyLink Inc,-14.15%,ARNC,Arconic Inc,272.08%,GHC,Graham Holdings
317,269.27%,MGM,MGM Resorts International,-15.95%,EVHC,Envision Healthcare,270.06%,T,AT&T Inc
318,268.40%,ADM,Archer-Daniels-Midland Co,-17.94%,SHLD,Sears Holding Corporation,269.38%,EXPE,Expedia Inc.
319,266.98%,AWK,American Water Works Company Inc,-18.45%,CHK,Chesapeake Energy,267.89%,MRO,Marathon Oil Corp.
320,260.80%,HST,Host Hotels & Resorts,-21.31%,LVLT,Level 3 Communications,261.94%,K,Kellogg Co.
321,258.03%,ZBH,Zimmer Biomet Holdings,-24.31%,WPX,"WPX Energy, Inc.",254.13%,PCLN,Priceline.com Inc
322,253.84%,PXD,Pioneer Natural Resources,-25.10%,QRVO,Qorvo,252.08%,DF,Dean Foods
323,247.68%,RSG,Republic Services Inc,-25.68%,NWSA,News Corp. Class A,250.66%,TER,Teradyne
324,247.33%,AMP,Ameriprise Financial,-28.89%,RIG,Transocean,249.47%,RL,Polo Ralph Lauren Corp.
325,241.26%,DISCA,Discovery Communications,-45.94%,QEP,QEP Resources,248.77%,CNX,Consol Energy
326,233.08%,ESV,Ensco plc,-54.07%,AKAM,Akamai Technologies Inc,246.54%,HCA,HCA Holdings
327,230.50%,BIG,Big Lots Inc.,nan%,TEG,Integrys Energy Group Inc.,246.32%,ADM,Archer-Daniels-Midland Co
328,217.33%,MDLZ,Mondelez International,309472.02%,MNST,Monster Beverage,241.67%,APC,Anadarko Petroleum Corp
329,211.54%,CMS,CMS Energy,7730.76%,TJX,TJX Companies Inc.,238.99%,PSX,Phillips 66
330,210.79%,MPC,Marathon Petroleum,2918.84%,PCAR,PACCAR Inc.,230.00%,WDC,Western Digital
331,210.56%,TRIP,TripAdvisor,nan%,APOL,Apollo Group Inc.,229.88%,HPQ,HP Inc.
332,205.13%,PBI,Pitney Bowes Inc,10982.87%,AAPL,Apple Inc.,227.31%,ABBV,AbbVie Inc.
333,203.89%,RHT,Red Hat Inc.,8936.39%,RMD,ResMed,227.16%,IT,Gartner Inc
334,201.62%,GS,Goldman Sachs Group,7172.05%,GILD,Gilead Sciences,226.49%,PM,Philip Morris International
335,195.78%,MAT,Mattel Inc.,5263.29%,ALXN,Alexion Pharmaceuticals,214.07%,TXT,Textron Inc.
336,193.51%,RDC,Rowan Companies Plc,3700.27%,EXPD,Expeditors International,212.80%,APA,Apache Corporation
337,193.10%,FE,FirstEnergy Corp,3231.46%,SRCL,Stericycle Inc,209.14%,TEL,TE Connectivity Ltd.
338,188.55%,ANF,Abercrombie & Fitch,2966.96%,DGX,Quest Diagnostics,207.39%,SWN,Southwestern Energy
339,182.44%,VRSK,Verisk Analytics,2681.81%,MO,Altria Group Inc,202.15%,XYL,Xylem Inc.
340,182.13%,PFG,Principal Financial Group,2670.49%,REGN,Regeneron,195.52%,MRK,Merck & Co.
341,181.69%,GLW,Corning Inc.,2667.61%,DISH,Dish Network,194.41%,FL,Foot Locker Inc
342,174.01%,AEE,Ameren Corp,2635.20%,AZO,AutoZone Inc,190.81%,SEE,Sealed Air
343,173.76%,FB,"Facebook, Inc.",2356.78%,VLO,Valero Energy,189.14%,KO,Coca-Cola Company
344,170.00%,PWR,Quanta Services Inc.,2226.45%,ANDV,Andeavor,186.98%,DWDP,DowDuPont
345,167.77%,NBR,Nabors Industries,2199.63%,ALK,Alaska Air Group Inc,186.00%,HES,Hess Corporation
346,166.73%,FSLR,First Solar,2179.72%,RJF,Raymond James Financial Inc.,185.26%,CMS,CMS Energy
347,164.95%,BAC,Bank of America Corp,2171.52%,EW,Edwards Lifesciences,184.79%,CBS,CBS Corp.
348,158.84%,UNM,Unum Group,2131.71%,SPG,Simon Property Group Inc,183.16%,DAL,Delta Air Lines
349,157.89%,BHGE,"Baker Hughes, a GE Company",2006.00%,SYK,Stryker Corp.,181.11%,ANF,Abercrombie & Fitch
350,156.97%,TER,Teradyne,1992.97%,AME,AMETEK Inc,176.49%,CTL,CenturyLink Inc
351,156.40%,PCLN,Priceline.com Inc,1845.82%,FFIV,F5 Networks,174.41%,FSLR,First Solar
352,156.28%,FHN,First Horizon,1821.75%,GPN,Global Payments Inc,167.78%,SAIC,SAIC
353,153.14%,CA,"CA, Inc.",1765.53%,EOG,EOG Resources,163.21%,DVN,Devon Energy
354,148.67%,PM,Philip Morris International,1598.25%,SWKS,Skyworks Solutions,158.31%,FITB,Fifth Third Bancorp
355,137.53%,DWDP,DowDuPont,1585.16%,USB,U.S. Bancorp,156.33%,DISCA,Discovery Communications
356,136.39%,NCLH,Norwegian Cruise Line,1580.18%,IRM,Iron Mountain Incorporated,156.24%,IP,International Paper
357,125.46%,CBS,CBS Corp.,1561.18%,VNO,Vornado Realty Trust,151.29%,ZION,Zions Bancorp
358,122.43%,AAL,American Airlines Group,1544.13%,HRL,Hormel Foods Corp.,151.14%,HIG,Hartford Financial Svc.Gp.
359,117.50%,AES,AES Corp,1536.45%,FOSL,Fossil Group,145.74%,Q,Qwest Communications
360,111.59%,HBAN,Huntington Bancshares,1531.49%,MSFT,Microsoft Corp.,140.33%,ZTS,Zoetis
361,108.43%,KEY,KeyCorp,1456.94%,PAYX,Paychex Inc.,137.65%,A,Agilent Technologies Inc
362,108.12%,DFS,Discover Financial Services,1410.39%,LLL,L-3 Communications Holdings,137.32%,GME,GameStop
363,101.44%,TGNA,"Tegna, Inc.",1403.15%,ROK,Rockwell Automation Inc.,133.12%,DISCK,Discovery Communications
364,100.34%,TEL,TE Connectivity Ltd.,1326.06%,INCY,Incyte,130.33%,MMI,Motorola Mobility
365,95.86%,NLSN,Nielsen Holdings,1314.90%,WBA,Walgreens Boots Alliance,121.22%,BIG,Big Lots Inc.
366,87.03%,ABBV,AbbVie Inc.,1298.72%,BF.B,Brown-Forman Corp.,120.23%,NFX,Newfield Exploration Co
367,83.11%,IP,International Paper,1294.42%,UTX,United Technologies,118.68%,CDNS,Cadence Design Systems
368,80.75%,UAL,United Continental Holdings,1294.32%,MCHP,Microchip Technology,117.70%,CPB,Campbell Soup
369,71.51%,JNPR,Juniper Networks,1257.97%,VFC,V.F. Corp.,113.03%,NCLH,Norwegian Cruise Line
370,65.84%,MNK,Mallinckrodt,1224.09%,AFL,AFLAC Inc,111.13%,STI,SunTrust Banks
371,65.75%,CHK,Chesapeake Energy,1217.10%,ADBE,Adobe Systems Inc,99.14%,UAL,United Continental Holdings
372,65.65%,NYT,The New York Times Co.,1190.09%,PH,Parker-Hannifin,93.30%,F,Ford Motor
373,65.54%,KORS,Michael Kors Holdings,1178.94%,OMC,Omnicom Group,87.61%,CFG,Citizens Financial Group
374,63.05%,IQV,IQVIA,1156.60%,MON,Monsanto Co.,86.19%,AN,AutoNation Inc
375,63.05%,Q,Qwest Communications,1129.35%,ITW,Illinois Tool Works,84.50%,JNPR,Juniper Networks
376,61.75%,MOS,The Mosaic Company,1106.11%,BWA,BorgWarner,82.56%,FHN,First Horizon
377,60.23%,CNX,Consol Energy,1094.49%,LSI,LSI Corporation,79.48%,FCX,Freeport-McMoRan Inc.
378,58.36%,OI,Owens-Illinois,1063.49%,SBAC,SBA Communications,72.90%,ALLE,Allegion
379,58.01%,ZTS,Zoetis,1056.18%,WFC,Wells Fargo,70.80%,BSX,Boston Scientific
380,55.79%,CCK,Crown Holdings,1048.82%,SYMC,Symantec Corp.,68.45%,ETFC,E*Trade
381,54.73%,SAIC,SAIC,993.54%,FDX,FedEx Corporation,65.22%,SYF,Synchrony Financial
382,52.96%,RIG,Transocean,966.76%,GGP,General Growth Properties Inc.,63.15%,MSI,Motorola Solutions Inc.
383,52.77%,COTY,"Coty, Inc",949.32%,ADP,Automatic Data Processing,63.03%,NLSN,Nielsen Holdings
384,50.44%,FTR,Frontier Communications,933.94%,LMT,Lockheed Martin Corp.,62.96%,CLF,Cliffs Natural Resources
385,43.92%,C,Citigroup Inc.,896.72%,IDXX,IDEXX Laboratories,61.46%,IPG,Interpublic Group
386,43.03%,RF,Regions Financial Corp.,884.92%,CTAS,Cintas Corporation,58.73%,ALTR,Altera Corp
387,39.78%,SNI,Scripps Networks Interactive Inc.,855.90%,SNA,Snap-On Inc.,53.60%,RRC,Range Resources Corp.
388,37.68%,ALLE,Allegion,809.04%,ADSK,Autodesk Inc,53.36%,HPE,Hewlett Packard Enterprise
389,31.95%,ARNC,Arconic Inc,808.20%,SO,Southern Co.,52.25%,RF,Regions Financial Corp.
390,31.50%,NRG,NRG Energy,803.22%,CVX,Chevron Corp.,47.94%,FTV,Fortive Corp
391,30.31%,MU,Micron Technology,785.54%,UDR,UDR Inc,36.47%,ATI,Allegheny Technologies
392,26.24%,MSI,Motorola Solutions Inc.,785.43%,FTI,TechnipFMC,32.25%,CA,"CA, Inc."
393,25.94%,DNR,Denbury Resources,783.97%,RHI,Robert Half International,31.51%,BHGE,"Baker Hughes, a GE Company"
394,25.31%,GT,Goodyear Tire & Rubber,780.72%,DF,Dean Foods,26.44%,EQIX,Equinix
395,15.78%,CFG,Citizens Financial Group,770.72%,KR,Kroger Co.,25.65%,TRIP,TripAdvisor
396,13.00%,INFO,IHS Markit Ltd.,764.50%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,22.65%,CCK,Crown Holdings
397,7.32%,GM,General Motors,762.63%,SLG,SL Green Realty,21.69%,WU,Western Union Co
398,3.26%,EVHC,Envision Healthcare,733.01%,MCD,McDonald's Corp.,18.12%,TGNA,"Tegna, Inc."
399,0.10%,HLT,Hilton Worldwide,722.45%,AMG,Affiliated Managers Group Inc,17.25%,KHC,Kraft Heinz
400,-1.39%,PYPL,PayPal,712.56%,HOLX,Hologic,13.90%,DO,Diamond Offshore Drilling
401,-4.34%,SVU,Supervalu Inc.,697.97%,PPL,PPL Corp.,6.84%,NWSA,News Corp. Class A
402,-4.94%,FCX,Freeport-McMoRan Inc.,697.91%,KIM,Kimco Realty,5.87%,AES,AES Corp
403,-5.85%,NSM,National Semiconductor Corp.,687.76%,PEG,Public Serv. Enterprise Inc.,-0.95%,NEM,Newmont Mining Corporation
404,-9.42%,NWS,News Corp. Class B,687.70%,SWK,Stanley Black & Decker,-2.03%,ARNC,Arconic Inc
405,-11.99%,AVP,Avon Products,665.64%,GRMN,Garmin Ltd.,-4.24%,CSRA,CSRA Inc.
406,-14.79%,NWSA,News Corp. Class A,658.65%,XOM,Exxon Mobil Corp.,-7.34%,QRVO,Qorvo
407,-20.17%,EQIX,Equinix,649.98%,PRGO,Perrigo,-17.24%,MOS,The Mosaic Company
408,-22.93%,THC,Tenet Healthcare,643.83%,HON,Honeywell Int'l Inc.,-17.65%,VIAB,Viacom Inc.
409,-24.10%,LVLT,Level 3 Communications,641.85%,MDT,Medtronic plc,-21.32%,AMD,Advanced Micro Devices
410,-24.39%,WIN,Windstream Holdings Inc,624.11%,JWN,Nordstrom,-24.62%,RRD,R.R. Donnelley
411,-27.02%,WRK,WestRock Company,612.18%,DOV,Dover Corp.,-25.12%,LVLT,Level 3 Communications
412,-27.70%,QRVO,Qorvo,608.34%,FMC,FMC Corporation,-26.15%,C,Citigroup Inc.
413,-27.88%,NAVI,Navient,603.87%,URI,"United Rentals, Inc.",-27.61%,SE,Spectra Energy Corp
414,-34.25%,LIFE,Life Technologies,602.50%,BRK.B,Berkshire Hathaway,-35.12%,WPX,"WPX Energy, Inc."
415,-36.33%,NEM,Newmont Mining Corporation,578.72%,BAX,Baxter International Inc.,-36.24%,ENDP,Endo International plc
416,-40.89%,KMI,Kinder Morgan,575.55%,MCK,McKesson Corp.,-40.02%,NE,Noble Corp
417,-47.07%,CLF,Cliffs Natural Resources,575.45%,PNW,Pinnacle West Capital,-42.99%,XRX,Xerox Corp.
418,-56.47%,KG,King Pharmaceuticals Inc.,573.35%,ABT,Abbott Laboratories,-48.64%,MNK,Mallinckrodt
419,-57.14%,S,Sprint Nextel Corp.,563.99%,DIS,The Walt Disney Company,-53.38%,DNR,Denbury Resources
420,-60.65%,QEP,QEP Resources,540.99%,SLM,SLM Corporation,-56.23%,EVHC,Envision Healthcare
421,-62.81%,ODP,Office Depot Inc.,538.36%,PEP,PepsiCo Inc.,-60.91%,AKAM,Akamai Technologies Inc
422,-63.75%,AKAM,Akamai Technologies Inc,509.61%,KMX,Carmax Inc,-65.82%,SHLD,Sears Holding Corporation
423,-67.15%,X,United States Steel Corporation,503.82%,NBL,Noble Energy Inc,-66.91%,RIG,Transocean
424,-70.18%,WPX,"WPX Energy, Inc.",500.10%,APC,Anadarko Petroleum Corp,-71.06%,WIN,Windstream Holdings Inc
425,-73.22%,AIG,"American International Group, Inc.",488.35%,BA,Boeing Company,-74.63%,QEP,QEP Resources
426,-74.09%,JCP,J.C. Penney,478.91%,WM,Waste Management Inc.,-79.87%,FTR,Frontier Communications
427,-77.04%,AMD,Advanced Micro Devices,473.28%,PFE,Pfizer Inc.,-81.53%,GNW,Genworth Financial
428,-79.56%,GNW,Genworth Financial,466.84%,LUK,Leucadia National Corp.,-83.53%,CHK,Chesapeake Energy
429,nan%,BHF,Brighthouse Financial Inc,457.01%,WHR,Whirlpool Corp.,-85.22%,UA,Under Armour
430,3459.14%,WAT,Waters Corporation,455.16%,LH,Laboratory Corp. of America Holding,-96.12%,CPWR,Compuware
431,2929.27%,DHR,Danaher Corp.,408.44%,PXD,Pioneer Natural Resources,nan%,TEG,Integrys Energy Group Inc.
432,2892.66%,ISRG,Intuitive Surgical Inc.,401.23%,RTN,Raytheon Co.,5107.02%,ALXN,Alexion Pharmaceuticals
433,2812.64%,ECL,Ecolab,396.97%,PHM,Pulte Homes Inc.,2968.24%,TJX,TJX Companies Inc.
434,2706.16%,FISV,Fiserv Inc,382.85%,NDAQ,"Nasdaq, Inc.",2671.15%,EW,Edwards Lifesciences
435,2600.28%,DHI,D. R. Horton,369.00%,MET,MetLife Inc.,2449.93%,AZO,AutoZone Inc
436,2447.65%,AYI,Acuity Brands Inc,364.38%,R,Ryder Systems Inc.,2275.94%,REGN,Regeneron
437,2446.09%,CI,CIGNA Corp.,363.74%,GE,General Electric,2257.29%,SYK,Stryker Corp.
438,2403.20%,SCHW,Charles Schwab Corporation,362.87%,AIZ,Assurant Inc,2068.21%,LH,Laboratory Corp. of America Holding
439,2331.66%,AMGN,Amgen Inc,357.20%,GPS,Gap Inc.,2019.48%,PCAR,PACCAR Inc.
440,2216.74%,BLL,Ball Corp,335.97%,HBI,Hanesbrands Inc,nan%,APOL,Apollo Group Inc.
441,2179.87%,MTD,Mettler Toledo,300.62%,SEE,Sealed Air,285104.43%,MNST,Monster Beverage
442,2151.98%,CERN,Cerner,286.68%,MAS,Masco Corp.,25668.98%,AAPL,Apple Inc.
443,2119.32%,AET,Aetna Inc,275.60%,PFG,Principal Financial Group,10038.91%,GILD,Gilead Sciences
444,2050.62%,ADS,Alliance Data Systems,274.25%,AMP,Ameriprise Financial,6692.55%,RMD,ResMed
445,2045.47%,AOS,A.O. Smith,263.26%,ZBH,Zimmer Biomet Holdings,3719.80%,ADBE,Adobe Systems Inc
446,1875.31%,TIF,Tiffany & Co.,258.62%,GLW,Corning Inc.,3646.91%,SWKS,Skyworks Solutions
447,1841.92%,GD,General Dynamics,257.34%,KO,Coca-Cola Company,2955.64%,DGX,Quest Diagnostics
448,1750.19%,ORCL,Oracle Corp.,244.47%,HST,Host Hotels & Resorts,2698.04%,VLO,Valero Energy
449,1716.17%,BCR,Bard (C.R.) Inc.,222.47%,M,Macy's Inc.,2657.26%,GPN,Global Payments Inc
450,1710.41%,INTU,Intuit,219.12%,MDLZ,Mondelez International,2552.02%,EXPD,Expeditors International
451,1708.58%,CVS,CVS Health,217.59%,NBR,Nabors Industries,2441.93%,AME,AMETEK Inc
452,1610.67%,DVA,DaVita,210.14%,SUN,Sunoco Inc.,2376.10%,DISH,Dish Network
453,1594.33%,TAP,Molson Coors Brewing Company,200.94%,FB,"Facebook, Inc.",2263.01%,MO,Altria Group Inc
454,1548.04%,HCN,Welltower Inc.,199.32%,NWL,Newell Brands,2190.78%,SRCL,Stericycle Inc
455,1525.06%,EQR,Equity Residential,198.80%,FE,FirstEnergy Corp,2079.83%,SYMC,Symantec Corp.
456,1516.82%,COF,Capital One Financial,198.20%,VRSK,Verisk Analytics,1843.90%,LLL,L-3 Communications Holdings
457,1516.59%,PGR,Progressive Corp.,185.97%,DFS,Discover Financial Services,1824.36%,RJF,Raymond James Financial Inc.
458,1513.79%,VRSN,Verisign Inc.,150.00%,UPS,United Parcel Service,1768.77%,ROK,Rockwell Automation Inc.
459,1401.20%,LKQ,LKQ Corporation,147.97%,AAL,American Airlines Group,1768.17%,SBAC,SBA Communications
460,1391.27%,MAC,Macerich,145.25%,CLF,Cliffs Natural Resources,1756.73%,ANDV,Andeavor
461,1360.12%,HP,Helmerich & Payne,133.63%,UNM,Unum Group,1679.12%,EOG,EOG Resources
462,1333.11%,CHRW,C. H. Robinson Worldwide,125.00%,BAC,Bank of America Corp,1650.99%,FFIV,F5 Networks
463,1332.66%,PX,Praxair Inc.,123.56%,XL,XL Capital,1625.00%,IDXX,IDEXX Laboratories
464,1308.30%,OKE,ONEOK,109.68%,RDC,Rowan Companies Plc,1519.11%,HRL,Hormel Foods Corp.
465,1244.69%,MAA,Mid-America Apartments,98.55%,MAT,Mattel Inc.,1506.48%,ADSK,Autodesk Inc
466,1233.06%,IR,Ingersoll-Rand PLC,96.82%,KEY,KeyCorp,1444.35%,SPG,Simon Property Group Inc
467,1203.16%,LUV,Southwest Airlines,83.57%,SNI,Scripps Networks Interactive Inc.,1366.57%,VFC,V.F. Corp.
468,1185.18%,XLNX,Xilinx Inc,80.60%,IQV,IQVIA,1334.49%,MON,Monsanto Co.
469,1180.03%,NEE,NextEra Energy,77.60%,KORS,Michael Kors Holdings,1301.78%,ALK,Alaska Air Group Inc
470,1174.47%,UAA,Under Armour,77.06%,HBAN,Huntington Bancshares,1247.59%,MCHP,Microchip Technology
