,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
52,2501.51%,AME,AMETEK Inc,1812.51%,TROW,T. Rowe Price Group,2064.45%,WYNN,Wynn Resorts
53,2482.14%,ANDV,Andeavor,1772.00%,MHK,Mohawk Industries,2014.41%,COG,Cabot Oil & Gas
54,2477.51%,ETN,Eaton Corporation,1736.28%,BCR,Bard (C.R.) Inc.,2008.50%,VRSN,Verisign Inc.
55,2414.22%,O,Realty Income Corporation,1686.81%,HD,Home Depot,2005.67%,GOOGL,Alphabet Inc Class A
56,2364.01%,USB,U.S. Bancorp,1649.56%,PBCT,People's United Financial,2004.79%,GOOG,Alphabet Inc Class C
57,2354.37%,SPG,Simon Property Group Inc,1645.37%,GD,General Dynamics,1968.59%,CHRW,C. H. Robinson Worldwide
58,2349.32%,PAYX,Paychex Inc.,1634.92%,FRT,Federal Realty Investment Trust,1968.19%,SHW,Sherwin-Williams
59,2302.42%,UNH,United Health Group Inc.,1633.86%,CHRW,C. H. Robinson Worldwide,1960.06%,ESS,"Essex Property Trust, Inc."
60,2287.22%,PCAR,PACCAR Inc.,1628.06%,TPR,"Tapestry, Inc.",1955.16%,AET,Aetna Inc
61,2258.34%,PBCT,People's United Financial,1603.19%,CERN,Cerner,1953.24%,ALB,Albemarle Corp
62,2225.17%,DGX,Quest Diagnostics,1597.47%,HCN,Welltower Inc.,1939.28%,LRCX,Lam Research
63,2222.82%,SYK,Stryker Corp.,1566.98%,AVB,"AvalonBay Communities, Inc.",1928.09%,YUM,Yum! Brands Inc
64,2201.13%,SHW,Sherwin-Williams,1562.54%,AET,Aetna Inc,1903.36%,MCO,Moody's Corp
65,2196.83%,SBR,Sabre Holdings,1494.62%,NTAP,NetApp,1899.35%,VAR,Varian Medical Systems
66,2195.70%,CNC,Centene Corporation,1492.09%,CRM,Salesforce.com,1891.64%,LKQ,LKQ Corporation
67,2186.87%,JBHT,J. B. Hunt Transport Services,1477.95%,GOOGL,Alphabet Inc Class A,1891.30%,COST,Costco Wholesale Corp.
68,2107.58%,ALK,Alaska Air Group Inc,1472.34%,TXN,Texas Instruments,1888.31%,URBN,Urban Outfitters
69,2093.22%,MA,Mastercard Inc.,1461.67%,SPGI,"S&P Global, Inc.",1875.65%,NTAP,NetApp
70,2085.27%,MHK,Mohawk Industries,1448.42%,GOOG,Alphabet Inc Class C,1765.18%,MHK,Mohawk Industries
