,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
77,848.03%,FRT,Federal Realty Investment Trust,871.33%,MO,Altria Group Inc,888.60%,O,Realty Income Corporation,988.16%,ABC,AmerisourceBergen Corp,1170.18%,VLO,Valero Energy,1061.72%,CHD,Church & Dwight,744.28%,PVH,PVH Corp.,915.69%,DLTR,Dollar Tree
78,838.67%,NVDA,Nvidia Corporation,867.80%,FRT,Federal Realty Investment Trust,882.84%,DHR,Danaher Corp.,982.11%,LB,L Brands Inc.,1167.26%,ABC,AmerisourceBergen Corp,1050.49%,MON,Monsanto Co.,744.13%,MCO,Moody's Corp,905.57%,BLL,Ball Corp
79,786.46%,CERN,Cerner,866.40%,DNR,Denbury Resources,877.33%,CRM,Salesforce.com,981.21%,PVH,PVH Corp.,1156.03%,SBUX,Starbucks Corp.,1032.17%,AAP,Advance Auto Parts,735.23%,SIG,Signet Jewelers,896.85%,V,Visa Inc.
80,781.70%,OMC,Omnicom Group,862.67%,IBM,International Business Machines,860.71%,FAST,Fastenal Co,974.93%,ORCL,Oracle Corp.,1155.81%,ADBE,Adobe Systems Inc,1027.95%,TMO,Thermo Fisher Scientific,722.63%,CHTR,Charter Communications,869.16%,NOC,Northrop Grumman Corp.
81,771.98%,RHI,Robert Half International,862.46%,LB,L Brands Inc.,855.71%,DRI,Darden Restaurants,968.74%,ROK,Rockwell Automation Inc.,1148.40%,SBR,Sabre Holdings,1024.46%,NOC,Northrop Grumman Corp.,717.84%,EFX,Equifax Inc.,869.15%,WEC,Wec Energy Group Inc
82,766.28%,APC,Anadarko Petroleum Corp,855.84%,ECL,Ecolab,835.42%,ECL,Ecolab,949.18%,WAT,Waters Corporation,1148.00%,SBAC,SBA Communications,1016.81%,ROP,Roper Technologies,707.94%,ICE,Intercontinental Exchange,866.65%,NEE,NextEra Energy
83,758.98%,COG,Cabot Oil & Gas,852.92%,TGT,Target Corp.,833.98%,LEN,Lennar Corp.,944.89%,KMX,Carmax Inc,1125.89%,FRT,Federal Realty Investment Trust,1000.50%,RMD,ResMed,707.35%,IFF,Intl Flavors & Fragrances,866.03%,RCL,Royal Caribbean Cruises Ltd
84,757.96%,ADBE,Adobe Systems Inc,852.00%,RJF,Raymond James Financial Inc.,833.03%,NOV,National Oilwell Varco Inc.,939.93%,ITT,ITT Corp.,1121.79%,FLS,Flowserve Corporation,990.57%,CMG,Chipotle Mexican Grill,703.75%,ESS,"Essex Property Trust, Inc.",864.46%,EL,Estee Lauder Cos.
85,757.28%,FTI,TechnipFMC,851.44%,FAST,Fastenal Co,827.55%,COST,Costco Wholesale Corp.,930.20%,SPG,Simon Property Group Inc,1118.96%,SHW,Sherwin-Williams,984.11%,VAR,Varian Medical Systems,687.30%,FLS,Flowserve Corporation,856.84%,DE,Deere & Co.
86,743.31%,CHK,Chesapeake Energy,847.78%,O,Realty Income Corporation,822.23%,BBBY,Bed Bath & Beyond,928.20%,CNC,Centene Corporation,1096.33%,AAP,Advance Auto Parts,965.11%,DGX,Quest Diagnostics,675.16%,SRE,Sempra Energy,855.56%,AKAM,Akamai Technologies Inc
87,741.54%,MCHP,Microchip Technology,836.71%,BWA,BorgWarner,821.21%,ALB,Albemarle Corp,928.10%,EXPD,Expeditors International,1093.38%,FL,Foot Locker Inc,964.49%,AVB,"AvalonBay Communities, Inc.",672.78%,ITT,ITT Corp.,839.09%,CHTR,Charter Communications
88,734.11%,PH,Parker-Hannifin,835.98%,VNO,Vornado Realty Trust,817.70%,LOW,Lowe's Cos.,923.11%,BCR,Bard (C.R.) Inc.,1064.80%,FLIR,FLIR Systems,956.24%,MCO,Moody's Corp,665.72%,DRI,Darden Restaurants,838.76%,O,Realty Income Corporation
89,726.59%,CME,CME Group Inc.,820.51%,CF,CF Industries Holdings Inc,817.23%,CLF,Cliffs Natural Resources,916.78%,STZ,Constellation Brands,1025.90%,NKE,Nike,951.43%,HRL,Hormel Foods Corp.,665.00%,LOW,Lowe's Cos.,833.00%,LB,L Brands Inc.
90,711.47%,WFC,Wells Fargo,820.31%,PBCT,People's United Financial,802.65%,FRT,Federal Realty Investment Trust,915.42%,OXY,Occidental Petroleum,1021.06%,OKE,ONEOK,950.81%,MAC,Macerich,662.94%,LRCX,Lam Research,831.53%,GRMN,Garmin Ltd.
91,704.41%,TXN,Texas Instruments,819.16%,YUM,Yum! Brands Inc,786.74%,FTI,TechnipFMC,913.17%,DNB,Dun & Bradstreet,1015.63%,GPN,Global Payments Inc,933.12%,DLR,Digital Realty,636.03%,ABC,AmerisourceBergen Corp,815.13%,COO,The Cooper Companies
92,703.56%,BF.B,Brown-Forman Corp.,800.09%,CAT,Caterpillar Inc.,783.25%,PVH,PVH Corp.,912.28%,SBAC,SBA Communications,1011.36%,HP,Helmerich & Payne,932.74%,RE,Everest Re,632.77%,MHK,Mohawk Industries,812.79%,ESS,"Essex Property Trust, Inc."
93,700.96%,WBA,Walgreens Boots Alliance,784.85%,EQR,Equity Residential,779.58%,BXP,Boston Properties,904.23%,NVDA,Nvidia Corporation,1009.23%,TJX,TJX Companies Inc.,919.59%,CMI,Cummins Inc.,611.20%,RSG,Republic Services Inc,801.93%,NVDA,Nvidia Corporation
94,697.52%,IRM,Iron Mountain Incorporated,778.89%,EOG,EOG Resources,767.80%,PSA,Public Storage,902.34%,TDG,TransDigm Group,1002.13%,IDXX,IDEXX Laboratories,902.12%,UDR,UDR Inc,610.76%,MKC,McCormick & Co.,796.64%,MAA,Mid-America Apartments
95,696.78%,IDXX,IDEXX Laboratories,761.22%,PVH,PVH Corp.,763.69%,HCN,Welltower Inc.,902.16%,DHR,Danaher Corp.,982.45%,ROK,Rockwell Automation Inc.,893.90%,OXY,Occidental Petroleum,606.82%,CCK,Crown Holdings,791.77%,MCO,Moody's Corp
96,685.80%,ADI,"Analog Devices, Inc.",758.71%,PRGO,Perrigo,763.07%,BWA,BorgWarner,896.19%,LLL,L-3 Communications Holdings,977.81%,MTD,Mettler Toledo,888.76%,MCK,McKesson Corp.,600.56%,AVB,"AvalonBay Communities, Inc.",782.11%,ETN,Eaton Corporation
97,667.57%,LEN,Lennar Corp.,756.97%,EW,Edwards Lifesciences,759.95%,DNB,Dun & Bradstreet,892.95%,JEC,Jacobs Engineering Group,973.52%,UAA,Under Armour,888.33%,SNA,Snap-On Inc.,596.28%,SBR,Sabre Holdings,776.05%,COL,Rockwell Collins
98,648.76%,MON,Monsanto Co.,744.80%,NVDA,Nvidia Corporation,759.38%,VLO,Valero Energy,890.01%,BWA,BorgWarner,970.85%,O,Realty Income Corporation,885.99%,AGN,"Allergan, Inc",583.91%,V,Visa Inc.,759.71%,BDX,Becton Dickinson
99,636.45%,LUK,Leucadia National Corp.,727.34%,NFLX,Netflix Inc.,746.71%,BCR,Bard (C.R.) Inc.,886.89%,PCAR,PACCAR Inc.,965.64%,AMG,Affiliated Managers Group Inc,880.04%,ILMN,Illumina Inc,582.64%,FL,Foot Locker Inc,755.76%,HAS,Hasbro Inc.
100,618.62%,XOM,Exxon Mobil Corp.,725.39%,PX,Praxair Inc.,745.45%,MO,Altria Group Inc,872.82%,AJG,Arthur J. Gallagher & Co.,957.36%,FAST,Fastenal Co,878.47%,ETN,Eaton Corporation,547.46%,DE,Deere & Co.,752.78%,CAT,Caterpillar Inc.
101,614.38%,XRAY,Dentsply Sirona,725.14%,UTX,United Technologies,722.46%,ADBE,Adobe Systems Inc,867.96%,FLS,Flowserve Corporation,956.67%,GOOGL,Alphabet Inc Class A,878.03%,BWA,BorgWarner,528.38%,BDX,Becton Dickinson,752.16%,HAL,Halliburton Co.
102,612.78%,REG,Regency Centers Corporation,724.06%,MA,Mastercard Inc.,722.03%,DHI,D. R. Horton,866.43%,LOW,Lowe's Cos.,950.28%,GOOG,Alphabet Inc Class C,874.01%,PVH,PVH Corp.,523.44%,TSN,Tyson Foods,751.08%,OXY,Occidental Petroleum
103,608.99%,CCE,Coca-Cola Enterprises,718.87%,ORCL,Oracle Corp.,704.73%,RJF,Raymond James Financial Inc.,853.08%,PSA,Public Storage,936.44%,RL,Polo Ralph Lauren Corp.,865.00%,LB,L Brands Inc.,520.68%,REG,Regency Centers Corporation,750.86%,TROW,T. Rowe Price Group
104,608.23%,NBR,Nabors Industries,716.10%,MUR,Murphy Oil,704.40%,CB,Chubb Corp,850.21%,NKE,Nike,936.28%,RMD,ResMed,858.85%,SRE,Sempra Energy,514.46%,GPC,Genuine Parts,746.99%,DVA,DaVita
105,603.66%,SO,Southern Co.,711.33%,DNB,Dun & Bradstreet,700.37%,AJG,Arthur J. Gallagher & Co.,834.19%,NTAP,NetApp,934.95%,FTI,TechnipFMC,852.35%,UNP,Union Pacific,509.36%,CAT,Caterpillar Inc.,737.86%,FAST,Fastenal Co
106,597.95%,SHW,Sherwin-Williams,710.15%,BXP,Boston Properties,699.77%,SBAC,SBA Communications,820.45%,DLTR,Dollar Tree,899.95%,TIF,Tiffany & Co.,842.74%,ALK,Alaska Air Group Inc,502.47%,HCP,HCP Inc.,735.30%,TSN,Tyson Foods
107,595.31%,CVX,Chevron Corp.,709.84%,SYK,Stryker Corp.,698.73%,TROW,T. Rowe Price Group,817.01%,ECL,Ecolab,888.52%,AET,Aetna Inc,836.01%,YUM,Yum! Brands Inc,481.57%,VAR,Varian Medical Systems,732.91%,KSU,Kansas City Southern
108,590.86%,CL,Colgate-Palmolive,707.46%,ADS,Alliance Data Systems,697.07%,SYK,Stryker Corp.,815.32%,FMC,FMC Corporation,887.70%,SYMC,Symantec Corp.,835.42%,BIIB,Biogen Inc.,453.93%,DNB,Dun & Bradstreet,723.35%,LRCX,Lam Research
109,582.34%,MCD,McDonald's Corp.,705.51%,APA,Apache Corporation,696.79%,HCP,HCP Inc.,804.76%,SHW,Sherwin-Williams,886.62%,AVB,"AvalonBay Communities, Inc.",818.60%,EFX,Equifax Inc.,438.63%,TROW,T. Rowe Price Group,721.14%,DXC,DXC Technology
110,579.61%,CXO,Concho Resources,703.16%,MRO,Marathon Oil Corp.,694.48%,ABC,AmerisourceBergen Corp,797.10%,GPN,Global Payments Inc,873.21%,PX,Praxair Inc.,812.88%,BF.B,Brown-Forman Corp.,437.26%,SPGI,"S&P Global, Inc.",720.52%,PH,Parker-Hannifin
111,577.48%,SIG,Signet Jewelers,687.80%,USB,U.S. Bancorp,690.27%,JWN,Nordstrom,794.63%,FRT,Federal Realty Investment Trust,870.12%,PKG,Packaging Corporation of America,812.07%,FAST,Fastenal Co,435.86%,CLX,The Clorox Company,715.99%,TMO,Thermo Fisher Scientific
112,573.56%,MDT,Medtronic plc,675.68%,MAA,Mid-America Apartments,687.96%,DLR,Digital Realty,787.79%,SYK,Stryker Corp.,866.25%,VFC,V.F. Corp.,811.84%,HCP,HCP Inc.,430.62%,EMN,Eastman Chemical,705.07%,ECL,Ecolab
113,565.85%,COP,ConocoPhillips,670.09%,MAC,Macerich,673.33%,SWKS,Skyworks Solutions,784.34%,AMGN,Amgen Inc,864.17%,SLG,SL Green Realty,810.20%,BXP,Boston Properties,430.27%,TMK,Torchmark Corp.,702.65%,PBCT,People's United Financial
114,565.65%,LB,L Brands Inc.,669.86%,BF.B,Brown-Forman Corp.,671.00%,MKC,McCormick & Co.,776.34%,SYMC,Symantec Corp.,861.32%,BXP,Boston Properties,809.73%,COO,The Cooper Companies,426.14%,EQT,EQT Corporation,702.35%,SRE,Sempra Energy
115,553.60%,LOW,Lowe's Cos.,667.59%,CMG,Chipotle Mexican Grill,662.28%,DVA,DaVita,772.50%,MO,Altria Group Inc,860.07%,EXPD,Expeditors International,808.88%,PCAR,PACCAR Inc.,414.82%,CBG,CBRE Group,691.58%,MAR,Marriott Int'l.
116,540.61%,FDX,FedEx Corporation,665.86%,MON,Monsanto Co.,662.20%,AVB,"AvalonBay Communities, Inc.",766.56%,VLO,Valero Energy,856.15%,LSI,LSI Corporation,796.76%,NVDA,Nvidia Corporation,403.50%,MAR,Marriott Int'l.,684.16%,CHRW,C. H. Robinson Worldwide
117,535.16%,ITW,Illinois Tool Works,662.00%,LKQ,LKQ Corporation,660.72%,PDCO,Patterson Companies,761.75%,NBL,Noble Energy Inc,855.19%,MO,Altria Group Inc,795.87%,HRS,Harris Corporation,402.17%,FCX,Freeport-McMoRan Inc.,682.58%,INTU,Intuit
118,534.66%,GPN,Global Payments Inc,654.66%,KSS,Kohl's,653.40%,SHW,Sherwin-Williams,751.22%,ESS,"Essex Property Trust, Inc.",842.41%,ILMN,Illumina Inc,793.21%,WEC,Wec Energy Group Inc,399.90%,STX,Seagate Technology,675.54%,SPGI,"S&P Global, Inc."
119,510.54%,SPGI,"S&P Global, Inc.",647.70%,HCP,HCP Inc.,652.10%,NVDA,Nvidia Corporation,749.51%,AET,Aetna Inc,840.39%,HCN,Welltower Inc.,788.07%,MTD,Mettler Toledo,396.33%,JEC,Jacobs Engineering Group,658.96%,ITT,ITT Corp.
120,491.96%,GOOGL,Alphabet Inc Class A,645.62%,IGT,International Game Technology,646.41%,TIF,Tiffany & Co.,741.65%,O,Realty Income Corporation,839.17%,AOS,A.O. Smith,787.87%,AMZN,Amazon.com Inc,394.56%,BIG,Big Lots Inc.,655.42%,EMN,Eastman Chemical
121,488.49%,EFX,Equifax Inc.,645.61%,EL,Estee Lauder Cos.,644.90%,ORCL,Oracle Corp.,738.03%,RRC,Range Resources Corp.,827.42%,MCO,Moody's Corp,781.57%,SWN,Southwestern Energy,393.16%,COL,Rockwell Collins,653.23%,IR,Ingersoll-Rand PLC
122,486.30%,RDC,Rowan Companies Plc,642.46%,DLR,Digital Realty,641.63%,ROK,Rockwell Automation Inc.,737.56%,UTX,United Technologies,818.62%,UHS,"Universal Health Services, Inc.",772.87%,WYNN,Wynn Resorts,392.02%,LEG,Leggett & Platt,646.84%,XEC,Cimarex Energy
123,478.98%,GPS,Gap Inc.,631.56%,UHS,"Universal Health Services, Inc.",638.47%,BF.B,Brown-Forman Corp.,737.21%,CXO,Concho Resources,814.58%,DNB,Dun & Bradstreet,771.81%,RJF,Raymond James Financial Inc.,391.79%,PCG,PG&E Corp.,641.99%,HSIC,Henry Schein
124,477.70%,SWK,Stanley Black & Decker,631.05%,ROK,Rockwell Automation Inc.,638.31%,WMT,Wal-Mart Stores,735.78%,DRI,Darden Restaurants,813.72%,MAA,Mid-America Apartments,766.06%,SLG,SL Green Realty,389.60%,AGN,"Allergan, Inc",637.90%,PX,Praxair Inc.
125,476.13%,LLL,L-3 Communications Holdings,630.65%,VFC,V.F. Corp.,636.70%,AMG,Affiliated Managers Group Inc,734.29%,BBBY,Bed Bath & Beyond,804.19%,BWA,BorgWarner,744.21%,XRAY,Dentsply Sirona,383.90%,XRAY,Dentsply Sirona,632.65%,NUE,Nucor Corp.
126,475.88%,DOV,Dover Corp.,628.63%,GWW,Grainger (W.W.) Inc.,633.87%,SIG,Signet Jewelers,729.82%,AAP,Advance Auto Parts,786.53%,MAC,Macerich,734.43%,BCR,Bard (C.R.) Inc.,378.62%,BIIB,Biogen Inc.,631.26%,AVB,"AvalonBay Communities, Inc."
127,475.79%,ITT,ITT Corp.,626.74%,CXO,Concho Resources,632.70%,TDG,TransDigm Group,724.15%,ANDV,Andeavor,782.14%,HOLX,Hologic,734.02%,DNB,Dun & Bradstreet,367.13%,LYB,LyondellBasell,621.99%,ACN,Accenture plc
128,471.75%,HRL,Hormel Foods Corp.,625.49%,NE,Noble Corp,627.91%,AYI,Acuity Brands Inc,711.37%,FISV,Fiserv Inc,778.20%,TMO,Thermo Fisher Scientific,729.84%,EQT,EQT Corporation,360.03%,BMS,Bemis Company,620.20%,HCN,Welltower Inc.
129,465.01%,JPM,JPMorgan Chase & Co.,624.10%,AFL,AFLAC Inc,626.38%,ITT,ITT Corp.,711.29%,VFC,V.F. Corp.,764.23%,NBL,Noble Energy Inc,723.28%,FLS,Flowserve Corporation,358.32%,HSY,The Hershey Company,613.68%,CMG,Chipotle Mexican Grill
130,463.70%,GGP,General Growth Properties Inc.,623.54%,ALB,Albemarle Corp,625.79%,FISV,Fiserv Inc,697.09%,EW,Edwards Lifesciences,759.54%,DLR,Digital Realty,719.79%,ROK,Rockwell Automation Inc.,355.46%,UHS,"Universal Health Services, Inc.",604.56%,CB,Chubb Corp
131,462.79%,PRGO,Perrigo,614.13%,CNX,Consol Energy,623.45%,VTR,Ventas Inc,687.78%,AOS,A.O. Smith,751.52%,HRL,Hormel Foods Corp.,712.58%,MKC,McCormick & Co.,353.49%,AWK,American Water Works Company Inc,602.98%,CI,CIGNA Corp.
132,461.62%,AMG,Affiliated Managers Group Inc,606.44%,NBL,Noble Energy Inc,623.03%,SJM,JM Smucker,678.92%,MUR,Murphy Oil,745.79%,HCP,HCP Inc.,712.01%,DRI,Darden Restaurants,351.61%,BBY,Best Buy Co. Inc.,602.66%,VAR,Varian Medical Systems
133,461.02%,BK,The Bank of New York Mellon Corp.,604.56%,CL,Colgate-Palmolive,620.76%,JEC,Jacobs Engineering Group,678.65%,HP,Helmerich & Payne,742.53%,HUM,Humana Inc.,709.52%,PKG,Packaging Corporation of America,345.70%,ADM,Archer-Daniels-Midland Co,601.45%,IFF,Intl Flavors & Fragrances
134,456.33%,PEG,Public Serv. Enterprise Inc.,598.12%,DRI,Darden Restaurants,619.14%,UHS,"Universal Health Services, Inc.",673.56%,RL,Polo Ralph Lauren Corp.,739.26%,FMC,FMC Corporation,707.39%,ITT,ITT Corp.,345.39%,CCE,Coca-Cola Enterprises,599.39%,SBR,Sabre Holdings
135,453.57%,ANF,Abercrombie & Fitch,597.46%,BEN,Franklin Resources,618.82%,TGT,Target Corp.,669.24%,PKG,Packaging Corporation of America,738.45%,UDR,UDR Inc,701.31%,CHRW,C. H. Robinson Worldwide,340.97%,GIS,General Mills,596.13%,CBG,CBRE Group
136,451.25%,BAX,Baxter International Inc.,590.52%,CNC,Centene Corporation,617.12%,VRSN,Verisign Inc.,666.01%,MCO,Moody's Corp,714.38%,SRE,Sempra Energy,693.17%,SBR,Sabre Holdings,340.54%,D,Dominion Energy,593.01%,EIX,Edison Int'l
137,449.52%,FMC,FMC Corporation,584.95%,SLB,Schlumberger Ltd.,615.12%,CNC,Centene Corporation,662.26%,CNX,Consol Energy,698.66%,VRTX,Vertex Pharmaceuticals Inc,684.21%,SIG,Signet Jewelers,339.36%,AON,Aon plc,588.81%,BXP,Boston Properties
138,448.33%,DLR,Digital Realty,584.28%,COP,ConocoPhillips,613.91%,HD,Home Depot,659.21%,PX,Praxair Inc.,695.97%,GWW,Grainger (W.W.) Inc.,672.83%,REG,Regency Centers Corporation,334.94%,DPS,Dr Pepper Snapple Group,580.86%,RSG,Republic Services Inc
139,440.99%,AVP,Avon Products,581.38%,SO,Southern Co.,612.23%,CME,CME Group Inc.,640.34%,HRL,Hormel Foods Corp.,693.83%,BCR,Bard (C.R.) Inc.,671.77%,ALB,Albemarle Corp,329.77%,EL,Estee Lauder Cos.,580.33%,GD,General Dynamics
140,439.13%,VTR,Ventas Inc,579.31%,LOW,Lowe's Cos.,606.52%,CAT,Caterpillar Inc.,625.33%,BF.B,Brown-Forman Corp.,690.74%,MUR,Murphy Oil,667.03%,LEN,Lennar Corp.,328.99%,ED,Consolidated Edison,572.02%,ABC,AmerisourceBergen Corp
141,435.40%,JWN,Nordstrom,577.11%,BCR,Bard (C.R.) Inc.,604.98%,GOOGL,Alphabet Inc Class A,619.42%,FCX,Freeport-McMoRan Inc.,690.32%,INTU,Intuit,648.21%,ADSK,Autodesk Inc,326.56%,CTXS,Citrix Systems,571.01%,PPG,PPG Industries
142,433.67%,VFC,V.F. Corp.,576.24%,CVX,Chevron Corp.,604.98%,GOOG,Alphabet Inc Class C,617.79%,TROW,T. Rowe Price Group,679.49%,EQR,Equity Residential,643.76%,LLL,L-3 Communications Holdings,324.07%,RCL,Royal Caribbean Cruises Ltd,567.43%,MKC,McCormick & Co.
143,427.53%,UDR,UDR Inc,575.65%,PDCO,Patterson Companies,602.24%,CMCSA,Comcast Corp.,616.90%,MCHP,Microchip Technology,673.26%,CXO,Concho Resources,643.16%,ANTM,Anthem Inc.,304.55%,EA,Electronic Arts,562.37%,PGR,Progressive Corp.
144,426.36%,PEP,PepsiCo Inc.,573.27%,MCHP,Microchip Technology,596.51%,LLL,L-3 Communications Holdings,613.96%,ALB,Albemarle Corp,668.95%,WDC,Western Digital,639.29%,BDX,Becton Dickinson,302.55%,RE,Everest Re,532.78%,AAP,Advance Auto Parts
145,426.03%,FSLR,First Solar,569.93%,CVS,CVS Health,586.27%,SPGI,"S&P Global, Inc.",607.92%,UNP,Union Pacific,668.61%,DVA,DaVita,630.42%,PBCT,People's United Financial,302.01%,PLD,Prologis,532.51%,UDR,UDR Inc
146,422.81%,AON,Aon plc,563.59%,FISV,Fiserv Inc,585.98%,VNO,Vornado Realty Trust,596.95%,MKC,McCormick & Co.,667.68%,DNR,Denbury Resources,619.84%,CXO,Concho Resources,298.30%,ES,Eversource Energy,530.96%,FIS,Fidelity National Information Services
147,420.91%,KIM,Kimco Realty,559.85%,VRSN,Verisign Inc.,585.94%,BEN,Franklin Resources,594.13%,FLR,Fluor Corp.,664.81%,STX,Seagate Technology,619.03%,VRTX,Vertex Pharmaceuticals Inc,290.11%,NI,NiSource Inc.,524.45%,ES,Eversource Energy
148,405.26%,RE,Everest Re,552.01%,HOG,Harley-Davidson,581.24%,MUR,Murphy Oil,591.31%,DVA,DaVita,664.76%,SYK,Stryker Corp.,618.07%,MHK,Mohawk Industries,286.01%,COP,ConocoPhillips,518.85%,AGN,"Allergan, Inc"
149,397.96%,MCK,McKesson Corp.,551.81%,GPN,Global Payments Inc,577.04%,SO,Southern Co.,590.12%,UAA,Under Armour,664.69%,PH,Parker-Hannifin,617.40%,DLTR,Dollar Tree,281.49%,CINF,Cincinnati Financial,514.79%,GWW,Grainger (W.W.) Inc.
150,388.91%,TMK,Torchmark Corp.,548.10%,UNH,United Health Group Inc.,576.65%,VFC,V.F. Corp.,590.05%,BXP,Boston Properties,661.07%,AJG,Arthur J. Gallagher & Co.,616.16%,FISV,Fiserv Inc,276.38%,CCI,Crown Castle International Corp.,513.89%,FISV,Fiserv Inc
151,386.56%,SLM,SLM Corporation,547.95%,DVA,DaVita,576.05%,CMG,Chipotle Mexican Grill,588.83%,UHS,"Universal Health Services, Inc.",660.85%,RJF,Raymond James Financial Inc.,615.29%,GD,General Dynamics,274.13%,FLR,Fluor Corp.,509.73%,MAC,Macerich
152,386.17%,INCY,Incyte,546.29%,TWX,Time Warner Inc.,575.77%,FMC,FMC Corporation,586.18%,EL,Estee Lauder Cos.,659.68%,ITT,ITT Corp.,614.72%,VNO,Vornado Realty Trust,271.05%,MYL,Mylan N.V.,506.67%,HP,Helmerich & Payne
153,385.80%,CTL,CenturyLink Inc,544.75%,PAYX,Paychex Inc.,575.63%,ANDV,Andeavor,581.10%,XEC,Cimarex Energy,659.27%,EXR,Extra Space Storage,613.34%,RL,Polo Ralph Lauren Corp.,269.37%,HAL,Halliburton Co.,503.19%,LNT,Alliant Energy Corp
154,385.50%,SLG,SL Green Realty,543.71%,GOOGL,Alphabet Inc Class A,571.40%,MRO,Marathon Oil Corp.,579.90%,GWW,Grainger (W.W.) Inc.,659.09%,VNO,Vornado Realty Trust,612.56%,RTN,Raytheon Co.,262.93%,MTB,M&T Bank Corp.,500.92%,DRI,Darden Restaurants
155,382.79%,LSI,LSI Corporation,543.71%,GOOG,Alphabet Inc Class C,568.96%,HP,Helmerich & Payne,578.75%,MHK,Mohawk Industries,649.25%,DE,Deere & Co.,605.06%,GRA,W.R. Grace,261.67%,TRV,The Travelers Companies Inc.,500.05%,NI,NiSource Inc.
156,378.11%,STZ,Constellation Brands,542.90%,AJG,Arthur J. Gallagher & Co.,568.83%,MAA,Mid-America Apartments,577.90%,NUE,Nucor Corp.,648.95%,GRMN,Garmin Ltd.,597.99%,SO,Southern Co.,259.38%,HRB,Block H&R,496.97%,LYB,LyondellBasell
157,374.18%,ED,Consolidated Edison,539.40%,CME,CME Group Inc.,565.22%,ANF,Abercrombie & Fitch,568.63%,AFL,AFLAC Inc,624.94%,DLTR,Dollar Tree,597.19%,NBL,Noble Energy Inc,254.99%,EQIX,Equinix,495.86%,TMK,Torchmark Corp.
158,368.48%,HAS,Hasbro Inc.,536.40%,PH,Parker-Hannifin,559.42%,UTX,United Technologies,566.28%,PNR,Pentair Ltd.,621.45%,CSX,CSX Corp.,596.27%,ICE,Intercontinental Exchange,254.25%,CAG,Conagra Brands,492.82%,MMM,3M Company
159,361.30%,SBAC,SBA Communications,530.85%,APC,Anadarko Petroleum Corp,556.40%,AOS,A.O. Smith,562.02%,SJM,JM Smucker,608.77%,NUE,Nucor Corp.,580.18%,CSX,CSX Corp.,250.60%,DISCA,Discovery Communications,490.06%,KMX,Carmax Inc
160,350.62%,ABT,Abbott Laboratories,528.04%,HRL,Hormel Foods Corp.,553.04%,AMGN,Amgen Inc,561.31%,PXD,Pioneer Natural Resources,603.98%,ACN,Accenture plc,575.79%,GGP,General Growth Properties Inc.,245.93%,EXPE,Expedia Inc.,481.28%,DHI,D. R. Horton
161,349.05%,ADP,Automatic Data Processing,527.41%,JWN,Nordstrom,551.10%,GWW,Grainger (W.W.) Inc.,552.91%,HSIC,Henry Schein,602.43%,ECL,Ecolab,573.83%,FTI,TechnipFMC,241.99%,JNJ,Johnson & Johnson,479.63%,VRTX,Vertex Pharmaceuticals Inc
162,339.00%,NOC,Northrop Grumman Corp.,527.32%,JEC,Jacobs Engineering Group,543.90%,MAC,Macerich,552.65%,SLG,SL Green Realty,600.29%,COP,ConocoPhillips,573.28%,V,Visa Inc.,237.62%,AKAM,Akamai Technologies Inc,477.76%,AWK,American Water Works Company Inc
163,338.85%,ADSK,Autodesk Inc,525.78%,UNP,Union Pacific,537.08%,PH,Parker-Hannifin,537.67%,CB,Chubb Corp,599.42%,YUM,Yum! Brands Inc,560.49%,D,Dominion Energy,227.28%,PG,Procter & Gamble,476.06%,STX,Seagate Technology
164,337.63%,HON,Honeywell Int'l Inc.,525.52%,NKE,Nike,536.11%,CNX,Consol Energy,536.63%,XLNX,Xilinx Inc,591.70%,XEC,Cimarex Energy,527.33%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,220.44%,BSX,Boston Scientific,475.09%,CVS,CVS Health
165,335.75%,CAH,Cardinal Health,522.64%,WMT,Wal-Mart Stores,530.11%,IRM,Iron Mountain Incorporated,536.26%,COST,Costco Wholesale Corp.,589.68%,REG,Regency Centers Corporation,524.89%,URBN,Urban Outfitters,217.28%,JPM,JPMorgan Chase & Co.,472.27%,EQIX,Equinix
166,331.15%,PNW,Pinnacle West Capital,514.18%,XOM,Exxon Mobil Corp.,529.72%,MCO,Moody's Corp,534.50%,AVB,"AvalonBay Communities, Inc.",587.40%,FCX,Freeport-McMoRan Inc.,522.16%,RSG,Republic Services Inc,216.22%,MRO,Marathon Oil Corp.,471.00%,UHS,"Universal Health Services, Inc."
167,328.51%,HD,Home Depot,512.24%,ITT,ITT Corp.,529.02%,EQR,Equity Residential,533.55%,HCN,Welltower Inc.,587.20%,LLL,L-3 Communications Holdings,516.81%,PPL,PPL Corp.,215.03%,CMCSA,Comcast Corp.,469.06%,CLX,The Clorox Company
168,327.53%,ANDV,Andeavor,508.73%,COF,Capital One Financial,526.53%,HRL,Hormel Foods Corp.,532.85%,GRMN,Garmin Ltd.,582.43%,TROW,T. Rowe Price Group,504.03%,LOW,Lowe's Cos.,213.04%,MPC,Marathon Petroleum,463.89%,EFX,Equifax Inc.
