,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
10,4197.04%,JBL,Jabil Circuit,3269.51%,SRCL,Stericycle Inc,3391.25%,FOSL,Fossil Group,4152.16%,ALXN,Alexion Pharmaceuticals,3151.60%,SRCL,Stericycle Inc,3032.72%,VTR,Ventas Inc,3119.50%,KMX,Carmax Inc,3289.24%,TSCO,Tractor Supply Company
11,4189.56%,NTAP,NetApp,3076.02%,TJX,TJX Companies Inc.,3144.52%,SRCL,Stericycle Inc,3782.25%,DISH,Dish Network,3115.98%,BLK,BlackRock,3027.18%,DVA,DaVita,3048.60%,ANSS,ANSYS,2612.78%,CELG,Celgene Corp.
12,3569.49%,QCOM,QUALCOMM Inc.,3034.25%,ALXN,Alexion Pharmaceuticals,2949.74%,RMD,ResMed,3646.13%,ESRX,Express Scripts,3038.91%,LH,Laboratory Corp. of America Holding,2978.73%,AAPL,Apple Inc.,2800.85%,JBHT,J. B. Hunt Transport Services,2606.70%,CNC,Centene Corporation
13,3497.17%,SBR,Sabre Holdings,2749.06%,TSCO,Tractor Supply Company,2777.90%,QCOM,QUALCOMM Inc.,3114.48%,REGN,Regeneron,2950.16%,SWN,Southwestern Energy,2892.66%,ISRG,Intuitive Surgical Inc.,2760.23%,CELG,Celgene Corp.,2552.63%,CME,CME Group Inc.
14,3399.24%,SRCL,Stericycle Inc,2676.85%,ESRX,Express Scripts,2586.96%,ISRG,Intuitive Surgical Inc.,3077.30%,SRCL,Stericycle Inc,2881.82%,ANSS,ANSYS,2690.60%,ROST,Ross Stores,2704.18%,URBN,Urban Outfitters,2356.87%,AOS,A.O. Smith
15,3300.63%,AAPL,Apple Inc.,2628.79%,EXPD,Expeditors International,2483.64%,EBAY,eBay,2680.53%,QCOM,QUALCOMM Inc.,2858.63%,APH,Amphenol Corp,2591.48%,HOLX,Hologic,2421.06%,AYI,Acuity Brands Inc,2334.68%,CMI,Cummins Inc.
16,3085.60%,ATVI,Activision Blizzard,2490.16%,TPR,"Tapestry, Inc.",2322.15%,URBN,Urban Outfitters,2679.69%,EBAY,eBay,2798.30%,ISRG,Intuitive Surgical Inc.,2535.53%,CTSH,Cognizant Technology Solutions,2244.71%,MA,Mastercard Inc.,2324.19%,CRM,Salesforce.com
17,2636.40%,CTXS,Citrix Systems,2437.04%,ISRG,Intuitive Surgical Inc.,2298.18%,TPR,"Tapestry, Inc.",2679.67%,BLK,BlackRock,2610.49%,QCOM,QUALCOMM Inc.,2494.12%,MO,Altria Group Inc,2198.50%,NVDA,Nvidia Corporation,2276.76%,AET,Aetna Inc
18,2631.52%,FOSL,Fossil Group,2424.47%,DLTR,Dollar Tree,2273.03%,APH,Amphenol Corp,2649.04%,RMD,ResMed,2460.69%,CHK,Chesapeake Energy,2480.72%,BLK,BlackRock,2184.39%,ORLY,O'Reilly Automotive,2244.99%,ANSS,ANSYS
19,2594.38%,TJX,TJX Companies Inc.,2183.06%,QCOM,QUALCOMM Inc.,2135.50%,ORLY,O'Reilly Automotive,2536.42%,SWN,Southwestern Energy,2444.25%,COG,Cabot Oil & Gas,2464.25%,SRCL,Stericycle Inc,2183.11%,AOS,A.O. Smith,2227.21%,TDG,TransDigm Group
