,1995-1998,ticker,company,1996-1999,ticker,company,1997-2000,ticker,company,1998-2001,ticker,company,1999-2002,ticker,company,2000-2003,ticker,company,2001-2004,ticker,company,2002-2005,ticker,company,2003-2006,ticker,company,2004-2007,ticker,company,2005-2008,ticker,company,2006-2009,ticker,company,2007-2010,ticker,company,2008-2011,ticker,company,2009-2012,ticker,company,2010-2013,ticker,company,2011-2014,ticker,company,2012-2015,ticker,company,2013-2016,ticker,company,2014-2017,ticker,company,2015-2018,ticker,company
137,154.60%,LEG,Leggett & Platt,120.83%,URI,"United Rentals, Inc.",101.59%,EL,Estee Lauder Cos.,72.85%,EL,Estee Lauder Cos.,57.98%,HCP,HCP Inc.,50.00%,FL,Foot Locker Inc,66.86%,APH,Amphenol Corp,87.27%,NRG,NRG Energy,140.81%,BXP,Boston Properties,107.64%,GS,Goldman Sachs Group,37.25%,AVB,"AvalonBay Communities, Inc.",3.33%,AWK,American Water Works Company Inc,3.73%,WHR,Whirlpool Corp.,25.46%,PCG,PG&E Corp.,94.43%,JCP,J.C. Penney,81.03%,AIV,Apartment Investment & Management,79.88%,AAPL,Apple Inc.,120.07%,MNK,Mallinckrodt,85.07%,HBAN,Huntington Bancshares,33.13%,GT,Goodyear Tire & Rubber,53.45%,AMT,American Tower Corp A
138,153.54%,JNJ,Johnson & Johnson,120.49%,TGNA,"Tegna, Inc.",100.41%,BCR,Bard (C.R.) Inc.,72.09%,DUK,Duke Energy,56.36%,PAYX,Paychex Inc.,49.90%,RF,Regions Financial Corp.,66.57%,BMS,Bemis Company,84.88%,EOG,EOG Resources,140.28%,XEC,Cimarex Energy,106.33%,NFX,Newfield Exploration Co,36.32%,PKG,Packaging Corporation of America,2.94%,AFL,AFLAC Inc,2.60%,ADM,Archer-Daniels-Midland Co,25.20%,VRSK,Verisk Analytics,94.30%,XLNX,Xilinx Inc,79.42%,CXO,Concho Resources,77.89%,GPC,Genuine Parts,119.43%,GD,General Dynamics,84.62%,TEL,TE Connectivity Ltd.,32.62%,INFO,IHS Markit Ltd.,53.42%,FHN,First Horizon
139,153.12%,MHK,Mohawk Industries,119.19%,UNM,Unum Group,98.87%,ROP,Roper Technologies,71.96%,INTC,Intel Corp.,55.70%,MAA,Mid-America Apartments,49.82%,AET,Aetna Inc,66.44%,STX,Seagate Technology,83.37%,PXD,Pioneer Natural Resources,139.31%,AMG,Affiliated Managers Group Inc,105.26%,EXC,Exelon Corp.,36.24%,ADBE,Adobe Systems Inc,2.94%,RSG,Republic Services Inc,2.31%,VZ,Verizon Communications,25.17%,JWN,Nordstrom,92.74%,MAT,Mattel Inc.,79.32%,APTV,Aptiv Plc,77.29%,ZBH,Zimmer Biomet Holdings,118.61%,AET,Aetna Inc,84.03%,VMC,Vulcan Materials,32.26%,WFC,Wells Fargo,53.36%,HPE,Hewlett Packard Enterprise
140,152.37%,TXN,Texas Instruments,118.26%,LUV,Southwest Airlines,97.47%,WFC,Wells Fargo,71.56%,FITB,Fifth Third Bancorp,54.97%,AIG,"American International Group, Inc.",48.21%,OXY,Occidental Petroleum,65.78%,XEC,Cimarex Energy,83.03%,ROST,Ross Stores,139.23%,PRU,Prudential Financial,103.36%,VFC,V.F. Corp.,35.63%,HRL,Hormel Foods Corp.,2.78%,WFC,Wells Fargo,1.16%,PPG,PPG Industries,24.60%,ROP,Roper Technologies,91.04%,NFX,Newfield Exploration Co,77.27%,BLL,Ball Corp,76.86%,CF,CF Industries Holdings Inc,118.15%,KMX,Carmax Inc,82.39%,ADP,Automatic Data Processing,32.07%,FDX,FedEx Corporation,52.94%,SBUX,Starbucks Corp.
141,152.07%,WAT,Waters Corporation,117.84%,MMC,Marsh & McLennan,96.63%,CVS,CVS Health,69.26%,LEN,Lennar Corp.,54.54%,O,Realty Income Corporation,47.96%,BBT,BB&T Corporation,64.45%,WHR,Whirlpool Corp.,82.83%,CBG,CBRE Group,138.96%,RHI,Robert Half International,102.55%,SPGI,"S&P Global, Inc.",35.20%,DF,Dean Foods,1.90%,BIIB,Biogen Inc.,1.02%,AVP,Avon Products,24.59%,IFF,Intl Flavors & Fragrances,90.89%,RJF,Raymond James Financial Inc.,75.53%,AJG,Arthur J. Gallagher & Co.,76.17%,TRV,The Travelers Companies Inc.,117.75%,PKI,PerkinElmer,81.38%,AMP,Ameriprise Financial,31.88%,MDLZ,Mondelez International,52.79%,MAA,Mid-America Apartments
142,151.84%,CVS,CVS Health,116.81%,OI,Owens-Illinois,95.68%,DF,Dean Foods,67.75%,SPGI,"S&P Global, Inc.",54.37%,ORLY,O'Reilly Automotive,47.65%,ED,Consolidated Edison,63.65%,TJX,TJX Companies Inc.,82.12%,PLD,Prologis,138.75%,GRMN,Garmin Ltd.,102.37%,KSU,Kansas City Southern,33.65%,VFC,V.F. Corp.,1.78%,TROW,T. Rowe Price Group,0.87%,WM,Waste Management Inc.,24.54%,CF,CF Industries Holdings Inc,90.75%,RDC,Rowan Companies Plc,75.34%,HON,Honeywell Int'l Inc.,76.07%,ROK,Rockwell Automation Inc.,117.68%,IPG,Interpublic Group,80.33%,AIG,"American International Group, Inc.",31.63%,MDT,Medtronic plc,52.78%,LNT,Alliant Energy Corp
143,151.80%,AIG,"American International Group, Inc.",115.01%,BF.B,Brown-Forman Corp.,94.94%,IRM,Iron Mountain Incorporated,65.74%,JNJ,Johnson & Johnson,54.26%,TGT,Target Corp.,47.23%,RSG,Republic Services Inc,61.18%,PFG,Principal Financial Group,82.04%,CNX,Consol Energy,137.88%,M,Macy's Inc.,101.99%,AME,AMETEK Inc,33.45%,IGT,International Game Technology,1.13%,LLL,L-3 Communications Holdings,0.84%,BBBY,Bed Bath & Beyond,24.47%,SNI,Scripps Networks Interactive Inc.,90.72%,VTR,Ventas Inc,73.65%,CINF,Cincinnati Financial,75.51%,MON,Monsanto Co.,117.66%,AMG,Affiliated Managers Group Inc,78.97%,DRI,Darden Restaurants,31.35%,CCI,Crown Castle International Corp.,52.61%,FLIR,FLIR Systems
144,151.14%,CAH,Cardinal Health,113.73%,TIF,Tiffany & Co.,94.82%,JNJ,Johnson & Johnson,65.33%,CHD,Church & Dwight,53.88%,CHD,Church & Dwight,46.50%,GRMN,Garmin Ltd.,59.80%,FL,Foot Locker Inc,80.60%,ECL,Ecolab,136.23%,PGR,Progressive Corp.,101.21%,MAA,Mid-America Apartments,33.11%,HIG,Hartford Financial Svc.Gp.,0.70%,PCAR,PACCAR Inc.,0.66%,DIS,The Walt Disney Company,23.91%,URI,"United Rentals, Inc.",90.59%,DWDP,DowDuPont,73.62%,IDXX,IDEXX Laboratories,75.48%,DOV,Dover Corp.,117.54%,EFX,Equifax Inc.,78.22%,PKG,Packaging Corporation of America,31.31%,ABBV,AbbVie Inc.,52.60%,BLK,BlackRock
145,150.20%,CL,Colgate-Palmolive,113.65%,GHC,Graham Holdings,94.36%,FOXA,Twenty-First Century Fox Class A,65.18%,IBM,International Business Machines,53.51%,COP,ConocoPhillips,46.44%,RMD,ResMed,59.67%,SHLD,Sears Holding Corporation,80.03%,ENDP,Endo International plc,134.85%,PSA,Public Storage,101.05%,PLD,Prologis,32.35%,TSS,Total System Services,0.60%,EXPD,Expeditors International,0.36%,MCHP,Microchip Technology,23.32%,DVA,DaVita,90.11%,APH,Amphenol Corp,72.30%,IFF,Intl Flavors & Fragrances,75.33%,AZO,AutoZone Inc,117.50%,LRCX,Lam Research,77.84%,ESS,"Essex Property Trust, Inc.",29.66%,HBI,Hanesbrands Inc,52.47%,FBHS,Fortune Brands Home & Security
146,149.64%,L,Loews Corp.,111.59%,DHI,D. R. Horton,89.30%,LLY,Lilly (Eli) & Co.,64.89%,COG,Cabot Oil & Gas,53.42%,ARE,Alexandria Real Estate Equities Inc,45.34%,HOG,Harley-Davidson,59.25%,K,Kellogg Co.,79.80%,DE,Deere & Co.,134.80%,CNC,Centene Corporation,100.44%,VMC,Vulcan Materials,31.98%,SO,Southern Co.,0.50%,ADP,Automatic Data Processing,0.29%,HBI,Hanesbrands Inc,22.77%,FCX,Freeport-McMoRan Inc.,90.01%,DOV,Dover Corp.,72.22%,HRL,Hormel Foods Corp.,74.69%,CL,Colgate-Palmolive,116.58%,ZBH,Zimmer Biomet Holdings,77.50%,SYK,Stryker Corp.,29.51%,BLK,BlackRock,52.22%,FSLR,First Solar
147,149.52%,TGNA,"Tegna, Inc.",111.29%,PCAR,PACCAR Inc.,86.89%,PBI,Pitney Bowes Inc,64.89%,AVP,Avon Products,52.46%,STT,State Street Corp.,45.18%,REGN,Regeneron,59.10%,PVH,PVH Corp.,79.54%,ANF,Abercrombie & Fitch,134.42%,ALGN,Align Technology,99.41%,UAA,Under Armour,31.32%,AZO,AutoZone Inc,0.43%,HRB,Block H&R,-0.21%,IR,Ingersoll-Rand PLC,22.65%,JCI,Johnson Controls Inc,89.36%,PH,Parker-Hannifin,71.39%,RHT,Red Hat Inc.,74.60%,ILMN,Illumina Inc,115.83%,SPGI,"S&P Global, Inc.",77.39%,BLK,BlackRock,28.56%,EBAY,eBay,52.15%,TMO,Thermo Fisher Scientific
148,148.88%,ADI,"Analog Devices, Inc.",111.27%,GGP,General Growth Properties Inc.,86.35%,JPM,JPMorgan Chase & Co.,64.53%,MCHP,Microchip Technology,51.65%,FAST,Fastenal Co,44.77%,PFG,Principal Financial Group,58.19%,ORLY,O'Reilly Automotive,77.75%,SIG,Signet Jewelers,134.34%,BCR,Bard (C.R.) Inc.,99.10%,XOM,Exxon Mobil Corp.,31.21%,EFX,Equifax Inc.,0.32%,D,Dominion Energy,-0.87%,SNI,Scripps Networks Interactive Inc.,21.58%,DTE,DTE Energy,89.23%,IFF,Intl Flavors & Fragrances,71.08%,AMP,Ameriprise Financial,74.54%,OMC,Omnicom Group,115.04%,ITT,ITT Corp.,76.90%,MPC,Marathon Petroleum,28.31%,PFG,Principal Financial Group,51.97%,PSX,Phillips 66
149,148.05%,DHR,Danaher Corp.,110.69%,SYK,Stryker Corp.,86.07%,DOV,Dover Corp.,64.39%,TJX,TJX Companies Inc.,51.25%,PKG,Packaging Corporation of America,44.74%,PVH,PVH Corp.,57.94%,MTB,M&T Bank Corp.,77.64%,BDX,Becton Dickinson,133.93%,NSC,Norfolk Southern Corp.,98.84%,LH,Laboratory Corp. of America Holding,31.19%,ADSK,Autodesk Inc,0.26%,MO,Altria Group Inc,-1.02%,VFC,V.F. Corp.,21.22%,AMT,American Tower Corp A,87.53%,BA,Boeing Company,70.31%,ACN,Accenture plc,72.91%,LLL,L-3 Communications Holdings,115.02%,RHI,Robert Half International,76.42%,RE,Everest Re,26.46%,BAX,Baxter International Inc.,51.89%,NTRS,Northern Trust Corp.
150,147.78%,MAR,Marriott Int'l.,110.51%,VNO,Vornado Realty Trust,85.98%,CI,CIGNA Corp.,64.38%,AIV,Apartment Investment & Management,50.51%,KIM,Kimco Realty,44.25%,SHW,Sherwin-Williams,57.67%,SBUX,Starbucks Corp.,77.38%,OKE,ONEOK,133.61%,APH,Amphenol Corp,98.19%,AIV,Apartment Investment & Management,30.31%,REG,Regency Centers Corporation,0.10%,WIN,Windstream Holdings Inc,-1.06%,CNP,CenterPoint Energy,21.18%,MTB,M&T Bank Corp.,86.57%,CNP,CenterPoint Energy,70.05%,RJF,Raymond James Financial Inc.,72.26%,NDAQ,"Nasdaq, Inc.",114.46%,CME,CME Group Inc.,76.28%,UDR,UDR Inc,25.38%,FLIR,FLIR Systems,51.62%,CLX,The Clorox Company
151,147.73%,AFL,AFLAC Inc,109.31%,GD,General Dynamics,85.06%,FOX,Twenty-First Century Fox Class B,64.12%,CTL,CenturyLink Inc,50.46%,ADP,Automatic Data Processing,44.22%,MYL,Mylan N.V.,57.18%,HBAN,Huntington Bancshares,77.38%,WLTW,Willis Towers Watson,133.27%,PEG,Public Serv. Enterprise Inc.,98.02%,GPN,Global Payments Inc,30.26%,VNO,Vornado Realty Trust,0.07%,AEP,American Electric Power,-1.16%,MAT,Mattel Inc.,20.98%,SBAC,SBA Communications,86.26%,PSA,Public Storage,69.75%,GILD,Gilead Sciences,71.72%,APH,Amphenol Corp,114.08%,BLK,BlackRock,75.44%,MTD,Mettler Toledo,25.23%,XL,XL Capital,51.29%,EFX,Equifax Inc.
152,146.56%,ABC,AmerisourceBergen Corp,107.61%,JNJ,Johnson & Johnson,83.99%,FDX,FedEx Corporation,63.96%,SIG,Signet Jewelers,50.07%,AIV,Apartment Investment & Management,44.20%,MAA,Mid-America Apartments,55.83%,DISH,Dish Network,77.09%,PFG,Principal Financial Group,133.20%,CTXS,Citrix Systems,97.93%,CSX,CSX Corp.,29.56%,ABT,Abbott Laboratories,0.05%,UTX,United Technologies,-1.32%,DG,Dollar General,20.98%,PH,Parker-Hannifin,86.20%,ED,Consolidated Edison,69.38%,FOX,Twenty-First Century Fox Class B,71.41%,SNI,Scripps Networks Interactive Inc.,113.94%,TEL,TE Connectivity Ltd.,75.32%,PNC,PNC Financial Services,25.18%,EXPD,Expeditors International,51.12%,GD,General Dynamics
153,146.39%,UTX,United Technologies,106.91%,EA,Electronic Arts,83.20%,CTAS,Cintas Corporation,63.25%,GPS,Gap Inc.,49.98%,D,Dominion Energy,43.79%,UNP,Union Pacific,55.52%,RSG,Republic Services Inc,77.08%,NBL,Noble Energy Inc,132.50%,PCLN,Priceline.com Inc,97.83%,EQR,Equity Residential,29.53%,ED,Consolidated Edison,-0.17%,R,Ryder Systems Inc.,-1.52%,CA,"CA, Inc.",20.67%,WMT,Wal-Mart Stores,85.38%,IR,Ingersoll-Rand PLC,69.08%,SRCL,Stericycle Inc,71.00%,BF.B,Brown-Forman Corp.,113.88%,M,Macy's Inc.,75.18%,EW,Edwards Lifesciences,25.12%,BF.B,Brown-Forman Corp.,50.48%,CSCO,Cisco Systems
154,145.50%,LNC,Lincoln National,106.75%,XLNX,Xilinx Inc,83.12%,MLM,Martin Marietta Materials,62.70%,BMY,Bristol-Myers Squibb,49.34%,AME,AMETEK Inc,42.92%,ATVI,Activision Blizzard,55.43%,LMT,Lockheed Martin Corp.,76.41%,LB,L Brands Inc.,132.40%,FL,Foot Locker Inc,96.01%,CMS,CMS Energy,28.71%,HBI,Hanesbrands Inc,-0.28%,PH,Parker-Hannifin,-1.70%,UNM,Unum Group,20.61%,DIS,The Walt Disney Company,83.16%,APD,Air Products & Chemicals Inc,68.78%,BXP,Boston Properties,70.85%,D,Dominion Energy,113.66%,CBG,CBRE Group,74.59%,WM,Waste Management Inc.,24.91%,SLG,SL Green Realty,50.24%,ALLE,Allegion
155,144.39%,XRX,Xerox Corp.,106.34%,AMAT,Applied Materials Inc,80.70%,MCD,McDonald's Corp.,62.08%,ETR,Entergy Corp.,48.91%,ADS,Alliance Data Systems,42.44%,APC,Anadarko Petroleum Corp,55.34%,PPG,PPG Industries,75.90%,FL,Foot Locker Inc,131.71%,LH,Laboratory Corp. of America Holding,95.18%,APH,Amphenol Corp,28.67%,CCE,Coca-Cola Enterprises,-0.29%,IDXX,IDEXX Laboratories,-2.12%,PKI,PerkinElmer,20.43%,RHI,Robert Half International,81.95%,RRC,Range Resources Corp.,68.78%,FRT,Federal Realty Investment Trust,70.46%,GRMN,Garmin Ltd.,113.25%,HRS,Harris Corporation,74.57%,COST,Costco Wholesale Corp.,24.87%,KMB,Kimberly-Clark,49.59%,JEC,Jacobs Engineering Group
156,142.36%,BHGE,"Baker Hughes, a GE Company",106.03%,DOV,Dover Corp.,79.83%,MHK,Mohawk Industries,61.72%,ECL,Ecolab,48.79%,VNO,Vornado Realty Trust,42.26%,GIS,General Mills,55.14%,PBCT,People's United Financial,75.60%,AAP,Advance Auto Parts,128.81%,HP,Helmerich & Payne,94.18%,UDR,UDR Inc,28.00%,VZ,Verizon Communications,-0.91%,HRL,Hormel Foods Corp.,-2.30%,GD,General Dynamics,20.37%,XEL,Xcel Energy Inc,81.57%,ANDV,Andeavor,68.62%,DOV,Dover Corp.,70.18%,FOSL,Fossil Group,112.62%,LLL,L-3 Communications Holdings,74.39%,MMM,3M Company,24.73%,COTY,"Coty, Inc",49.26%,AON,Aon plc
157,141.46%,PH,Parker-Hannifin,105.85%,DISH,Dish Network,79.28%,HON,Honeywell Int'l Inc.,60.92%,DVN,Devon Energy,48.24%,STZ,Constellation Brands,42.13%,SUN,Sunoco Inc.,54.99%,NVDA,Nvidia Corporation,75.02%,MON,Monsanto Co.,126.68%,EQT,EQT Corporation,94.05%,DRI,Darden Restaurants,27.83%,CPB,Campbell Soup,-0.98%,DIS,The Walt Disney Company,-2.41%,XOM,Exxon Mobil Corp.,20.23%,R,Ryder Systems Inc.,81.00%,HON,Honeywell Int'l Inc.,68.33%,VTR,Ventas Inc,69.91%,ITW,Illinois Tool Works,112.10%,GS,Goldman Sachs Group,74.26%,AMAT,Applied Materials Inc,24.53%,GE,General Electric,48.86%,PM,Philip Morris International
158,141.33%,PNW,Pinnacle West Capital,104.96%,CHD,Church & Dwight,78.95%,STZ,Constellation Brands,59.77%,AGN,"Allergan, Inc",47.39%,NOC,Northrop Grumman Corp.,42.12%,PBCT,People's United Financial,54.19%,CHK,Chesapeake Energy,74.57%,ATVI,Activision Blizzard,125.65%,AME,AMETEK Inc,93.83%,PCAR,PACCAR Inc.,27.78%,EXR,Extra Space Storage,-1.93%,KMB,Kimberly-Clark,-2.71%,CTL,CenturyLink Inc,19.92%,ED,Consolidated Edison,80.99%,DG,Dollar General,68.33%,VRSK,Verisk Analytics,69.86%,GE,General Electric,111.68%,MMM,3M Company,74.25%,VFC,V.F. Corp.,24.51%,AKS,AK Steel Holding Corp.,48.80%,LYB,LyondellBasell
159,140.98%,IPG,Interpublic Group,103.95%,ITW,Illinois Tool Works,78.85%,CHRW,C. H. Robinson Worldwide,59.25%,HIG,Hartford Financial Svc.Gp.,47.28%,BXP,Boston Properties,41.50%,DVN,Devon Energy,54.11%,DE,Deere & Co.,73.94%,AVP,Avon Products,124.65%,BA,Boeing Company,93.47%,SHW,Sherwin-Williams,27.21%,KMX,Carmax Inc,-1.94%,RMD,ResMed,-2.96%,ICE,Intercontinental Exchange,19.78%,LRCX,Lam Research,79.23%,CAG,Conagra Brands,68.14%,COP,ConocoPhillips,69.73%,CDNS,Cadence Design Systems,111.27%,RE,Everest Re,74.15%,SHW,Sherwin-Williams,24.38%,VZ,Verizon Communications,48.69%,DLTR,Dollar Tree
160,140.96%,SPGI,"S&P Global, Inc.",102.59%,BRK.B,Berkshire Hathaway,77.69%,SBR,Sabre Holdings,58.45%,MMM,3M Company,47.27%,PH,Parker-Hannifin,41.00%,BXP,Boston Properties,53.62%,LM,Legg Mason,73.68%,HSY,The Hershey Company,124.03%,BF.B,Brown-Forman Corp.,92.83%,ARE,Alexandria Real Estate Equities Inc,27.13%,MCHP,Microchip Technology,-2.19%,PEP,PepsiCo Inc.,-3.52%,CB,Chubb Corp,19.12%,CMS,CMS Energy,78.94%,DTE,DTE Energy,68.07%,NFLX,Netflix Inc.,69.18%,FAST,Fastenal Co,111.20%,ITW,Illinois Tool Works,73.77%,CBG,CBRE Group,24.38%,RHT,Red Hat Inc.,48.33%,ED,Consolidated Edison
161,140.57%,IR,Ingersoll-Rand PLC,102.20%,CPB,Campbell Soup,77.33%,MRK,Merck & Co.,56.96%,DHI,D. R. Horton,47.27%,PSA,Public Storage,40.38%,GPC,Genuine Parts,53.60%,EXPD,Expeditors International,72.97%,PCG,PG&E Corp.,123.42%,CCL,Carnival Corp.,92.65%,TROW,T. Rowe Price Group,26.78%,GGP,General Growth Properties Inc.,-2.22%,BF.B,Brown-Forman Corp.,-3.84%,SNA,Snap-On Inc.,18.74%,WHR,Whirlpool Corp.,77.72%,PNW,Pinnacle West Capital,67.80%,ZION,Zions Bancorp,68.97%,AAP,Advance Auto Parts,110.43%,BK,The Bank of New York Mellon Corp.,73.53%,HON,Honeywell Int'l Inc.,23.84%,OMC,Omnicom Group,48.26%,AJG,Arthur J. Gallagher & Co.
162,139.25%,HON,Honeywell Int'l Inc.,100.22%,T,AT&T Inc,77.00%,XOM,Exxon Mobil Corp.,56.87%,BCR,Bard (C.R.) Inc.,47.16%,SJM,JM Smucker,39.52%,ZBH,Zimmer Biomet Holdings,53.36%,PLD,Prologis,72.89%,WDC,Western Digital,123.04%,EXC,Exelon Corp.,92.17%,NTAP,NetApp,25.67%,WHR,Whirlpool Corp.,-2.48%,CMCSA,Comcast Corp.,-3.91%,BCR,Bard (C.R.) Inc.,18.68%,SEE,Sealed Air,77.71%,MCD,McDonald's Corp.,66.48%,PH,Parker-Hannifin,67.53%,CCI,Crown Castle International Corp.,109.49%,CBS,CBS Corp.,73.01%,KMB,Kimberly-Clark,23.73%,BA,Boeing Company,47.95%,NTAP,NetApp
163,139.09%,RRC,Range Resources Corp.,99.12%,ALL,Allstate Corp,75.90%,AMT,American Tower Corp A,56.42%,MGM,MGM Resorts International,46.70%,SBAC,SBA Communications,39.50%,EQR,Equity Residential,53.26%,SNPS,Synopsys Inc.,72.66%,PH,Parker-Hannifin,122.44%,MGM,MGM Resorts International,91.59%,CNP,CenterPoint Energy,23.70%,JPM,JPMorgan Chase & Co.,-2.69%,NRG,NRG Energy,-4.13%,CHK,Chesapeake Energy,18.38%,APC,Anadarko Petroleum Corp,76.27%,OMC,Omnicom Group,65.43%,IRM,Iron Mountain Incorporated,67.49%,STT,State Street Corp.,109.46%,WFC,Wells Fargo,72.94%,ROP,Roper Technologies,23.69%,HLT,Hilton Worldwide,47.94%,FTV,Fortive Corp
164,138.89%,SWKS,Skyworks Solutions,98.36%,XOM,Exxon Mobil Corp.,75.74%,TROW,T. Rowe Price Group,55.63%,AMD,Advanced Micro Devices,46.49%,JNJ,Johnson & Johnson,39.22%,NOV,National Oilwell Varco Inc.,53.11%,RF,Regions Financial Corp.,72.49%,GPN,Global Payments Inc,121.37%,MCD,McDonald's Corp.,91.08%,FE,FirstEnergy Corp,23.17%,CDNS,Cadence Design Systems,-2.74%,ED,Consolidated Edison,-4.21%,TXN,Texas Instruments,18.06%,IDXX,IDEXX Laboratories,75.42%,NWL,Newell Brands,65.19%,LNT,Alliant Energy Corp,67.47%,ANSS,ANSYS,108.75%,JCI,Johnson Controls Inc,72.80%,WFC,Wells Fargo,23.51%,VRSK,Verisk Analytics,47.25%,SBR,Sabre Holdings
165,137.93%,PSA,Public Storage,97.62%,LEG,Leggett & Platt,75.71%,A,Agilent Technologies Inc,55.17%,ANSS,ANSYS,45.62%,MTB,M&T Bank Corp.,38.25%,VNO,Vornado Realty Trust,52.97%,HUM,Humana Inc.,72.38%,PRU,Prudential Financial,121.26%,STZ,Constellation Brands,90.11%,MCD,McDonald's Corp.,23.12%,DIS,The Walt Disney Company,-2.84%,EL,Estee Lauder Cos.,-4.23%,FII,Federated Investors,18.04%,MNST,Monster Beverage,74.81%,WY,Weyerhaeuser Corp.,64.09%,FITB,Fifth Third Bancorp,67.29%,MDT,Medtronic plc,108.60%,AON,Aon plc,72.73%,TJX,TJX Companies Inc.,23.23%,WHR,Whirlpool Corp.,47.14%,JNJ,Johnson & Johnson
166,136.97%,APH,Amphenol Corp,97.23%,HSY,The Hershey Company,75.55%,TJX,TJX Companies Inc.,55.13%,ABT,Abbott Laboratories,45.53%,NBL,Noble Energy Inc,38.20%,SYMC,Symantec Corp.,52.85%,NUE,Nucor Corp.,72.20%,SHW,Sherwin-Williams,120.90%,ROP,Roper Technologies,88.93%,LM,Legg Mason,21.70%,ITW,Illinois Tool Works,-2.98%,CCK,Crown Holdings,-5.05%,CAG,Conagra Brands,17.87%,CB,Chubb Corp,74.71%,CAH,Cardinal Health,63.94%,VZ,Verizon Communications,67.24%,CRM,Salesforce.com,108.20%,IVZ,Invesco Ltd.,72.63%,AWK,American Water Works Company Inc,23.12%,EOG,EOG Resources,46.98%,MSI,Motorola Solutions Inc.
167,136.54%,MAT,Mattel Inc.,96.97%,ABC,AmerisourceBergen Corp,75.04%,COO,The Cooper Companies,54.73%,BXP,Boston Properties,45.51%,GIS,General Mills,38.11%,FHN,First Horizon,52.24%,TIF,Tiffany & Co.,72.07%,ITT,ITT Corp.,120.12%,L,Loews Corp.,88.37%,LMT,Lockheed Martin Corp.,20.74%,WY,Weyerhaeuser Corp.,-3.24%,IVZ,Invesco Ltd.,-5.29%,CPB,Campbell Soup,17.71%,KO,Coca-Cola Company,74.70%,ESV,Ensco plc,63.57%,HCN,Welltower Inc.,66.82%,RJF,Raymond James Financial Inc.,107.87%,LEG,Leggett & Platt,72.36%,ADSK,Autodesk Inc,23.09%,SIG,Signet Jewelers,46.74%,AEE,Ameren Corp
168,136.08%,NFX,Newfield Exploration Co,96.80%,MAS,Masco Corp.,73.92%,ITW,Illinois Tool Works,54.69%,IRM,Iron Mountain Incorporated,45.30%,SWN,Southwestern Energy,37.79%,ADS,Alliance Data Systems,52.20%,BF.B,Brown-Forman Corp.,71.84%,PPL,PPL Corp.,119.96%,HST,Host Hotels & Resorts,87.86%,SBR,Sabre Holdings,19.18%,CTL,CenturyLink Inc,-3.77%,PEG,Public Serv. Enterprise Inc.,-5.90%,HON,Honeywell Int'l Inc.,17.46%,PNW,Pinnacle West Capital,74.09%,BMY,Bristol-Myers Squibb,63.27%,NKE,Nike,66.77%,SPG,Simon Property Group Inc,107.68%,CAH,Cardinal Health,72.25%,PKI,PerkinElmer,22.78%,CXO,Concho Resources,46.73%,CMCSA,Comcast Corp.
169,135.82%,ROP,Roper Technologies,96.42%,MO,Altria Group Inc,72.77%,WMB,Williams Cos.,53.35%,GS,Goldman Sachs Group,44.92%,SLB,Schlumberger Ltd.,37.10%,LM,Legg Mason,52.00%,SUN,Sunoco Inc.,71.25%,PGR,Progressive Corp.,119.25%,LKQ,LKQ Corporation,87.67%,RTN,Raytheon Co.,19.06%,IFF,Intl Flavors & Fragrances,-3.78%,DVA,DaVita,-5.99%,FISV,Fiserv Inc,17.33%,BMY,Bristol-Myers Squibb,73.56%,CTL,CenturyLink Inc,63.02%,FISV,Fiserv Inc,66.31%,PM,Philip Morris International,107.31%,FDX,FedEx Corporation,72.19%,MS,Morgan Stanley,22.73%,LB,L Brands Inc.,46.28%,COST,Costco Wholesale Corp.
170,135.54%,LMT,Lockheed Martin Corp.,96.11%,PWR,Quanta Services Inc.,72.06%,TXT,Textron Inc.,52.96%,BRK.B,Berkshire Hathaway,44.81%,FFIV,F5 Networks,36.76%,GHC,Graham Holdings,51.59%,MMM,3M Company,71.23%,NOV,National Oilwell Varco Inc.,119.12%,IDXX,IDEXX Laboratories,87.40%,DUK,Duke Energy,18.07%,TJX,TJX Companies Inc.,-3.91%,ORLY,O'Reilly Automotive,-6.54%,JPM,JPMorgan Chase & Co.,16.74%,LOW,Lowe's Cos.,73.55%,EQT,EQT Corporation,62.98%,CTSH,Cognizant Technology Solutions,66.19%,CNP,CenterPoint Energy,107.04%,HSIC,Henry Schein,72.09%,MMC,Marsh & McLennan,22.58%,MGM,MGM Resorts International,44.70%,VAR,Varian Medical Systems
171,134.19%,HRS,Harris Corporation,95.11%,ED,Consolidated Edison,71.19%,GHC,Graham Holdings,52.56%,WFC,Wells Fargo,43.44%,PLD,Prologis,36.74%,DHR,Danaher Corp.,51.25%,ROP,Roper Technologies,70.92%,ALB,Albemarle Corp,117.40%,NBL,Noble Energy Inc,87.23%,CVX,Chevron Corp.,17.98%,NWL,Newell Brands,-4.24%,USB,U.S. Bancorp,-6.83%,SYK,Stryker Corp.,16.69%,TSN,Tyson Foods,72.14%,TROW,T. Rowe Price Group,62.46%,PNR,Pentair Ltd.,66.18%,TEL,TE Connectivity Ltd.,106.82%,NKE,Nike,71.95%,ODP,Office Depot Inc.,22.30%,RHI,Robert Half International,44.30%,DTE,DTE Energy
