,1995-1998,ticker,company,1996-1999,ticker,company,1997-2000,ticker,company,1998-2001,ticker,company,1999-2002,ticker,company,2000-2003,ticker,company,2001-2004,ticker,company,2002-2005,ticker,company,2003-2006,ticker,company,2004-2007,ticker,company,2005-2008,ticker,company,2006-2009,ticker,company,2007-2010,ticker,company,2008-2011,ticker,company,2009-2012,ticker,company,2010-2013,ticker,company,2011-2014,ticker,company,2012-2015,ticker,company,2013-2016,ticker,company,2014-2017,ticker,company,2015-2018,ticker,company
10,461.78%,CDNS,Cadence Design Systems,518.11%,MSFT,Microsoft Corp.,844.64%,CTXS,Citrix Systems,664.98%,JNPR,Juniper Networks,281.83%,REGN,Regeneron,232.75%,VAR,Varian Medical Systems,313.34%,CTSH,Cognizant Technology Solutions,387.40%,SWN,Southwestern Energy,759.06%,URBN,Urban Outfitters,448.17%,HOLX,Hologic,386.90%,PCLN,Priceline.com Inc,100.63%,MCD,McDonald's Corp.,145.97%,ESRX,Express Scripts,126.67%,ALK,Alaska Air Group Inc,400.49%,SBUX,Starbucks Corp.,217.71%,FL,Foot Locker Inc,247.74%,V,Visa Inc.,372.88%,NFLX,Netflix Inc.,264.44%,AGN,"Allergan, Inc",101.61%,HUM,Humana Inc.,168.34%,AVGO,Broadcom
11,459.60%,ESV,Ensco plc,489.78%,DLTR,Dollar Tree,808.70%,ETFC,E*Trade,626.25%,CTSH,Cognizant Technology Solutions,277.55%,SRCL,Stericycle Inc,228.67%,CHK,Chesapeake Energy,311.17%,SYMC,Symantec Corp.,351.23%,RRC,Range Resources Corp.,670.20%,SHLD,Sears Holding Corporation,442.78%,CBG,CBRE Group,385.20%,NDAQ,"Nasdaq, Inc.",86.98%,GILD,Gilead Sciences,140.43%,ALXN,Alexion Pharmaceuticals,120.19%,NTAP,NetApp,375.21%,FOSL,Fossil Group,214.56%,TDG,TransDigm Group,247.12%,CBS,CBS Corp.,357.12%,STX,Seagate Technology,249.99%,AYI,Acuity Brands Inc,93.84%,TDG,TransDigm Group,139.19%,LRCX,Lam Research
12,448.26%,RIG,Transocean,477.48%,GPS,Gap Inc.,727.37%,BIIB,Biogen Inc.,588.37%,SWKS,Skyworks Solutions,276.29%,VAR,Varian Medical Systems,219.04%,LEN,Lennar Corp.,279.24%,AMZN,Amazon.com Inc,336.74%,TSCO,Tractor Supply Company,667.71%,AMT,American Tower Corp A,412.75%,CELG,Celgene Corp.,370.36%,MA,Mastercard Inc.,80.33%,MON,Monsanto Co.,131.37%,PRGO,Perrigo,119.05%,RHT,Red Hat Inc.,374.52%,AAPL,Apple Inc.,210.33%,LEN,Lennar Corp.,242.64%,URI,"United Rentals, Inc.",350.36%,GILD,Gilead Sciences,245.30%,ILMN,Illumina Inc,88.04%,AMZN,Amazon.com Inc,135.26%,AVY,Avery Dennison Corp
13,444.24%,PBCT,People's United Financial,455.27%,USB,U.S. Bancorp,692.74%,EBAY,eBay,587.17%,LVLT,Level 3 Communications,250.70%,ATVI,Activision Blizzard,214.82%,UNH,United Health Group Inc.,248.52%,JBHT,J. B. Hunt Transport Services,315.21%,ADSK,Autodesk Inc,636.40%,RRC,Range Resources Corp.,393.68%,AKAM,Akamai Technologies Inc,333.52%,DNR,Denbury Resources,77.72%,SRCL,Stericycle Inc,120.92%,TDG,TransDigm Group,115.94%,CTSH,Cognizant Technology Solutions,369.87%,F,Ford Motor,184.05%,PCLN,Priceline.com Inc,235.50%,KORS,Michael Kors Holdings,335.28%,SWKS,Skyworks Solutions,244.63%,HBI,Hanesbrands Inc,86.31%,RSG,Republic Services Inc,133.29%,STZ,Constellation Brands
14,432.61%,NE,Noble Corp,446.85%,CSCO,Cisco Systems,666.39%,FFIV,F5 Networks,515.25%,TWX,Time Warner Inc.,235.03%,AJG,Arthur J. Gallagher & Co.,200.31%,FLIR,FLIR Systems,245.00%,HOLX,Hologic,309.33%,AMZN,Amazon.com Inc,617.60%,CCI,Crown Castle International Corp.,358.92%,GOOGL,Alphabet Inc Class A,333.19%,NVDA,Nvidia Corporation,76.90%,CXO,Concho Resources,116.00%,WDC,Western Digital,114.71%,ALXN,Alexion Pharmaceuticals,364.22%,FFIV,F5 Networks,182.05%,CBS,CBS Corp.,229.93%,ALXN,Alexion Pharmaceuticals,326.85%,AGN,"Allergan, Inc",237.30%,KR,Kroger Co.,79.89%,CDNS,Cadence Design Systems,130.85%,TSS,Total System Services
15,431.03%,ZION,Zions Bancorp,439.06%,FOSL,Fossil Group,657.66%,CSCO,Cisco Systems,467.86%,ADBE,Adobe Systems Inc,229.09%,UNH,United Health Group Inc.,182.52%,PXD,Pioneer Natural Resources,237.87%,ANSS,ANSYS,287.60%,JBHT,J. B. Hunt Transport Services,615.09%,EQIX,Equinix,358.92%,GOOG,Alphabet Inc Class C,316.32%,NOV,National Oilwell Varco Inc.,72.27%,DLTR,Dollar Tree,107.03%,NFLX,Netflix Inc.,113.77%,ILMN,Illumina Inc,353.78%,FTI,TechnipFMC,179.51%,WYN,Wyndham Worldwide,228.49%,DISH,Dish Network,325.80%,WHR,Whirlpool Corp.,232.21%,UAA,Under Armour,79.86%,TXN,Texas Instruments,129.73%,UNH,United Health Group Inc.
16,424.47%,DLTR,Dollar Tree,409.23%,EBAY,eBay,630.00%,JBL,Jabil Circuit,467.11%,RMD,ResMed,220.10%,GILD,Gilead Sciences,173.86%,LMT,Lockheed Martin Corp.,237.84%,AN,AutoNation Inc,287.47%,CNC,Centene Corporation,521.94%,ATI,Allegheny Technologies,355.95%,ANDV,Andeavor,314.14%,MON,Monsanto Co.,70.67%,CHD,Church & Dwight,106.36%,FTI,TechnipFMC,111.73%,XEC,Cimarex Energy,346.09%,THC,Tenet Healthcare,178.93%,AAL,American Airlines Group,223.02%,ANDV,Andeavor,323.17%,HCA,HCA Holdings,221.82%,BSX,Boston Scientific,77.41%,EFX,Equifax Inc.,127.68%,CDNS,Cadence Design Systems
17,423.24%,CB,Chubb Corp,403.35%,COF,Capital One Financial,605.04%,AMAT,Applied Materials Inc,430.01%,PKI,PerkinElmer,218.34%,APH,Amphenol Corp,169.96%,BLL,Ball Corp,226.51%,NFLX,Netflix Inc.,278.93%,AET,Aetna Inc,521.13%,HOLX,Hologic,350.03%,VLO,Valero Energy,282.00%,ESRX,Express Scripts,70.38%,CELG,Celgene Corp.,104.82%,FLIR,FLIR Systems,110.56%,CRM,Salesforce.com,332.23%,COO,The Cooper Companies,177.41%,FOSL,Fossil Group,218.38%,UAA,Under Armour,287.78%,ODP,Office Depot Inc.,218.00%,AAL,American Airlines Group,74.53%,MAR,Marriott Int'l.,126.33%,EA,Electronic Arts
18,416.13%,RHI,Robert Half International,402.16%,WAT,Waters Corporation,529.21%,CELG,Celgene Corp.,426.20%,XLNX,Xilinx Inc,204.97%,SYMC,Symantec Corp.,165.88%,DNR,Denbury Resources,222.67%,ENDP,Endo International plc,275.51%,DNR,Denbury Resources,506.69%,ADSK,Autodesk Inc,340.25%,RRC,Range Resources Corp.,280.28%,RRC,Range Resources Corp.,70.12%,FMC,FMC Corporation,104.52%,CRM,Salesforce.com,107.17%,LB,L Brands Inc.,310.82%,CXO,Concho Resources,175.21%,MNST,Monster Beverage,217.74%,STZ,Constellation Brands,276.28%,UAA,Under Armour,217.34%,REGN,Regeneron,73.31%,HD,Home Depot,125.38%,EQIX,Equinix
19,412.70%,C,Citigroup Inc.,384.64%,JCI,Johnson Controls Inc,523.12%,HD,Home Depot,419.50%,ALXN,Alexion Pharmaceuticals,195.22%,BLK,BlackRock,154.23%,SLM,SLM Corporation,220.09%,ROST,Ross Stores,259.15%,RCL,Royal Caribbean Cruises Ltd,503.63%,CELG,Celgene Corp.,330.86%,NUE,Nucor Corp.,264.66%,SBAC,SBA Communications,61.75%,MNST,Monster Beverage,97.21%,CLF,Cliffs Natural Resources,99.54%,HAS,Hasbro Inc.,300.96%,JWN,Nordstrom,174.74%,PVH,PVH Corp.,212.90%,DFS,Discover Financial Services,273.86%,WDC,Western Digital,217.32%,RCL,Royal Caribbean Cruises Ltd,73.30%,UDR,UDR Inc,124.67%,AOS,A.O. Smith
20,406.67%,CTXS,Citrix Systems,372.04%,NTAP,NetApp,518.14%,WMT,Wal-Mart Stores,372.52%,AMGN,Amgen Inc,189.87%,SIG,Signet Jewelers,152.09%,LH,Laboratory Corp. of America Holding,218.63%,GPN,Global Payments Inc,247.80%,EBAY,eBay,493.96%,GLW,Corning Inc.,299.57%,DNR,Denbury Resources,258.67%,GOOGL,Alphabet Inc Class A,60.14%,DLR,Digital Realty,96.70%,ANSS,ANSYS,98.25%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,296.04%,INCY,Incyte,173.59%,BIIB,Biogen Inc.,208.39%,VFC,V.F. Corp.,268.60%,VRTX,Vertex Pharmaceuticals Inc,205.24%,CELG,Celgene Corp.,70.61%,CME,CME Group Inc.,123.08%,ALB,Albemarle Corp
21,397.33%,AES,AES Corp,369.51%,COST,Costco Wholesale Corp.,515.05%,TXN,Texas Instruments,362.68%,SBAC,SBA Communications,182.96%,ADI,"Analog Devices, Inc.",151.84%,RE,Everest Re,214.50%,GILD,Gilead Sciences,236.45%,FLIR,FLIR Systems,472.47%,VLO,Valero Energy,299.01%,DO,Diamond Offshore Drilling,252.17%,FTI,TechnipFMC,55.82%,HAS,Hasbro Inc.,95.45%,SWKS,Skyworks Solutions,94.30%,AMZN,Amazon.com Inc,295.14%,ALXN,Alexion Pharmaceuticals,172.39%,LYB,LyondellBasell,205.74%,INCY,Incyte,267.01%,AVGO,Broadcom,200.31%,VRTX,Vertex Pharmaceuticals Inc,69.91%,LVLT,Level 3 Communications,119.98%,PGR,Progressive Corp.
22,390.11%,CSCO,Cisco Systems,360.42%,KSS,Kohl's,503.93%,ORCL,Oracle Corp.,341.69%,GLW,Corning Inc.,181.34%,IGT,International Game Technology,151.27%,GILD,Gilead Sciences,212.83%,RHT,Red Hat Inc.,227.35%,SBUX,Starbucks Corp.,443.30%,HUM,Humana Inc.,288.08%,CLF,Cliffs Natural Resources,222.90%,DLR,Digital Realty,54.31%,CHRW,C. H. Robinson Worldwide,94.98%,RRC,Range Resources Corp.,93.00%,EL,Estee Lauder Cos.,294.17%,TSCO,Tractor Supply Company,169.67%,DFS,Discover Financial Services,201.75%,TRIP,TripAdvisor,253.92%,UAL,United Continental Holdings,198.98%,NOC,Northrop Grumman Corp.,67.80%,ZTS,Zoetis,118.70%,NOC,Northrop Grumman Corp.
