,1995-2006,ticker,company,1996-2007,ticker,company,1997-2008,ticker,company,1998-2009,ticker,company,1999-2010,ticker,company,2000-2011,ticker,company,2001-2012,ticker,company,2002-2013,ticker,company,2003-2014,ticker,company,2004-2015,ticker,company,2005-2016,ticker,company,2006-2017,ticker,company,2007-2018,ticker,company
130,585.33%,NTRS,Northern Trust Corp.,508.00%,NOV,National Oilwell Varco Inc.,380.25%,JWN,Nordstrom,164.10%,BBBY,Bed Bath & Beyond,200.96%,MMM,3M Company,201.77%,SWK,Stanley Black & Decker,314.90%,BCR,Bard (C.R.) Inc.,338.14%,EQT,EQT Corporation,526.09%,EMN,Eastman Chemical,407.74%,NUE,Nucor Corp.,303.91%,AKAM,Akamai Technologies Inc,103.86%,PBCT,People's United Financial,266.78%,O,Realty Income Corporation
131,582.80%,DLTR,Dollar Tree,507.83%,CLF,Cliffs Natural Resources,378.51%,RRC,Range Resources Corp.,164.00%,PWR,Quanta Services Inc.,198.09%,FII,Federated Investors,199.51%,PEG,Public Serv. Enterprise Inc.,314.84%,BXP,Boston Properties,334.35%,HSIC,Henry Schein,522.02%,HAL,Halliburton Co.,405.67%,BLL,Ball Corp,300.48%,TRV,The Travelers Companies Inc.,103.57%,XOM,Exxon Mobil Corp.,259.65%,PKI,PerkinElmer
132,581.54%,AVB,"AvalonBay Communities, Inc.",507.01%,PGR,Progressive Corp.,370.36%,MA,Mastercard Inc.,161.76%,TJX,TJX Companies Inc.,198.05%,DVA,DaVita,199.20%,PH,Parker-Hannifin,312.60%,R,Ryder Systems Inc.,329.81%,BEN,Franklin Resources,515.30%,HAS,Hasbro Inc.,403.18%,MOS,The Mosaic Company,298.97%,PKG,Packaging Corporation of America,103.49%,SEE,Sealed Air,259.47%,MHK,Mohawk Industries
133,578.93%,AXP,American Express Co,501.90%,PVH,PVH Corp.,367.78%,HCN,Welltower Inc.,160.53%,FMC,FMC Corporation,195.28%,X,United States Steel Corporation,197.86%,SNA,Snap-On Inc.,304.42%,ATI,Allegheny Technologies,329.75%,SRE,Sempra Energy,512.95%,BEN,Franklin Resources,401.56%,OXY,Occidental Petroleum,298.03%,FFIV,F5 Networks,76.27%,AMG,Affiliated Managers Group Inc,256.57%,MMC,Marsh & McLennan
134,576.95%,EXC,Exelon Corp.,500.78%,FDX,FedEx Corporation,366.83%,OMC,Omnicom Group,159.13%,SHLD,Sears Holding Corporation,193.49%,RJF,Raymond James Financial Inc.,194.28%,UTX,United Technologies,301.89%,EBAY,eBay,324.23%,EL,Estee Lauder Cos.,512.61%,XEC,Cimarex Energy,393.75%,HRL,Hormel Foods Corp.,294.62%,ES,Eversource Energy,72.25%,JWN,Nordstrom,256.08%,GRA,W.R. Grace
135,574.96%,DNR,Denbury Resources,497.59%,CNX,Consol Energy,361.12%,LRCX,Lam Research,158.58%,HRB,Block H&R,192.60%,PH,Parker-Hannifin,189.32%,KIM,Kimco Realty,301.70%,NKE,Nike,321.88%,PBCT,People's United Financial,504.51%,PCAR,PACCAR Inc.,391.46%,HRS,Harris Corporation,289.41%,PPG,PPG Industries,71.56%,NCLH,Norwegian Cruise Line,255.92%,BMY,Bristol-Myers Squibb
136,574.11%,FLIR,FLIR Systems,496.20%,GD,General Dynamics,360.04%,HCP,HCP Inc.,158.29%,ABC,AmerisourceBergen Corp,189.27%,MO,Altria Group Inc,186.60%,PKG,Packaging Corporation of America,299.74%,ILMN,Illumina Inc,319.44%,MAC,Macerich,504.36%,FAST,Fastenal Co,390.25%,ADSK,Autodesk Inc,283.81%,URI,"United Rentals, Inc.",68.93%,TRIP,TripAdvisor,253.61%,ADI,"Analog Devices, Inc."
137,573.91%,MO,Altria Group Inc,495.73%,SLB,Schlumberger Ltd.,359.19%,MO,Altria Group Inc,157.92%,VMC,Vulcan Materials,186.34%,HRL,Hormel Foods Corp.,186.39%,LEN,Lennar Corp.,299.08%,SO,Southern Co.,318.96%,NSC,Norfolk Southern Corp.,502.87%,DLR,Digital Realty,389.98%,PPG,PPG Industries,281.20%,YUM,Yum! Brands Inc,58.14%,RHI,Robert Half International,251.81%,KLAC,KLA-Tencor Corp.
138,568.05%,ANDV,Andeavor,495.08%,AMG,Affiliated Managers Group Inc,358.31%,IR,Ingersoll-Rand PLC,157.62%,ROK,Rockwell Automation Inc.,186.13%,ITT,ITT Corp.,182.88%,BBBY,Bed Bath & Beyond,297.94%,BF.B,Brown-Forman Corp.,314.90%,DISCA,Discovery Communications,499.83%,GLW,Corning Inc.,384.91%,GME,GameStop,281.04%,HON,Honeywell Int'l Inc.,55.23%,APC,Anadarko Petroleum Corp,247.05%,TMK,Torchmark Corp.
139,563.80%,FISV,Fiserv Inc,492.94%,GRMN,Garmin Ltd.,358.17%,MS,Morgan Stanley,155.88%,CB,Chubb Corp,186.11%,ICE,Intercontinental Exchange,178.71%,AFL,AFLAC Inc,296.21%,XEC,Cimarex Energy,314.22%,NKE,Nike,494.48%,GWW,Grainger (W.W.) Inc.,383.43%,PXD,Pioneer Natural Resources,278.56%,O,Realty Income Corporation,42.24%,CA,"CA, Inc.",246.54%,HCA,HCA Holdings
140,555.21%,ADI,"Analog Devices, Inc.",492.75%,VMC,Vulcan Materials,357.72%,SPGI,"S&P Global, Inc.",154.35%,PRGO,Perrigo,185.04%,ANTM,Anthem Inc.,173.32%,R,Ryder Systems Inc.,294.97%,HSIC,Henry Schein,313.14%,VLO,Valero Energy,493.67%,STZ,Constellation Brands,383.42%,ESS,"Essex Property Trust, Inc.",276.21%,EXPE,Expedia Inc.,26.49%,TPR,"Tapestry, Inc.",246.03%,SJM,JM Smucker
141,555.17%,DO,Diamond Offshore Drilling,492.19%,FISV,Fiserv Inc,354.38%,AYI,Acuity Brands Inc,153.17%,MO,Altria Group Inc,181.71%,ECL,Ecolab,172.74%,EFX,Equifax Inc.,294.49%,HP,Helmerich & Payne,308.17%,ECL,Ecolab,490.98%,DISCA,Discovery Communications,379.58%,CHRW,C. H. Robinson Worldwide,273.77%,JBHT,J. B. Hunt Transport Services,9.87%,LUK,Leucadia National Corp.,245.77%,ICE,Intercontinental Exchange
142,552.28%,INTC,Intel Corp.,491.06%,MLM,Martin Marietta Materials,351.23%,RCL,Royal Caribbean Cruises Ltd,152.71%,HOLX,Hologic,178.56%,TJX,TJX Companies Inc.,172.55%,DISCA,Discovery Communications,290.62%,PNR,Pentair Ltd.,302.84%,HRS,Harris Corporation,485.00%,NSC,Norfolk Southern Corp.,378.01%,RTN,Raytheon Co.,272.04%,SRE,Sempra Energy,8.47%,NAVI,Navient,245.71%,AMAT,Applied Materials Inc
143,551.10%,CHD,Church & Dwight,482.21%,MAR,Marriott Int'l.,350.90%,FE,FirstEnergy Corp,150.04%,MCHP,Microchip Technology,176.79%,GD,General Dynamics,172.26%,MTB,M&T Bank Corp.,290.59%,ACN,Accenture plc,302.61%,CSX,CSX Corp.,482.44%,ABC,AmerisourceBergen Corp,376.06%,CHTR,Charter Communications,271.91%,AET,Aetna Inc,-0.01%,DF,Dean Foods,244.78%,IR,Ingersoll-Rand PLC
144,547.90%,SPG,Simon Property Group Inc,478.43%,ROP,Roper Technologies,350.29%,NRG,NRG Energy,149.87%,FISV,Fiserv Inc,175.72%,PEG,Public Serv. Enterprise Inc.,167.67%,GIS,General Mills,288.06%,EOG,EOG Resources,296.51%,EIX,Edison Int'l,481.59%,DNR,Denbury Resources,374.86%,NEE,NextEra Energy,271.23%,HRS,Harris Corporation,-9.44%,GGP,General Growth Properties Inc.,244.59%,ECL,Ecolab
145,544.70%,CCL,Carnival Corp.,472.79%,WFC,Wells Fargo,342.34%,ROST,Ross Stores,149.07%,LSI,LSI Corporation,169.58%,BWA,BorgWarner,166.71%,WM,Waste Management Inc.,285.11%,MCD,McDonald's Corp.,294.27%,VAR,Varian Medical Systems,480.51%,PKI,PerkinElmer,374.47%,DIS,The Walt Disney Company,269.42%,AVB,"AvalonBay Communities, Inc.",-48.70%,SUN,Sunoco Inc.,243.61%,DRI,Darden Restaurants
146,544.69%,GD,General Dynamics,472.56%,COP,ConocoPhillips,339.75%,BDX,Becton Dickinson,148.62%,PDCO,Patterson Companies,165.74%,SHW,Sherwin-Williams,165.50%,SIG,Signet Jewelers,284.90%,PBCT,People's United Financial,293.67%,IT,Gartner Inc,474.75%,ICE,Intercontinental Exchange,372.56%,ALB,Albemarle Corp,269.00%,CCK,Crown Holdings,-88.48%,GNW,Genworth Financial,240.23%,GD,General Dynamics
147,542.58%,ISRG,Intuitive Surgical Inc.,472.28%,AME,AMETEK Inc,339.40%,TXN,Texas Instruments,147.42%,MET,MetLife Inc.,164.90%,CVX,Chevron Corp.,165.48%,FE,FirstEnergy Corp,283.61%,HRL,Hormel Foods Corp.,293.66%,DLTR,Dollar Tree,474.57%,PNR,Pentair Ltd.,369.62%,AON,Aon plc,268.37%,PXD,Pioneer Natural Resources,nan%,APOL,Apollo Group Inc.,238.99%,PSX,Phillips 66
148,541.38%,CI,CIGNA Corp.,472.04%,APA,Apache Corporation,338.61%,FCX,Freeport-McMoRan Inc.,147.25%,AAP,Advance Auto Parts,161.46%,JWN,Nordstrom,162.33%,MAT,Mattel Inc.,278.26%,HAS,Hasbro Inc.,286.96%,ADSK,Autodesk Inc,470.57%,CB,Chubb Corp,367.27%,NBL,Noble Energy Inc,267.22%,GWW,Grainger (W.W.) Inc.,2312.03%,ALXN,Alexion Pharmaceuticals,238.37%,CMCSA,Comcast Corp.
149,537.88%,IR,Ingersoll-Rand PLC,461.29%,DVN,Devon Energy,336.93%,APC,Anadarko Petroleum Corp,146.41%,COST,Costco Wholesale Corp.,160.10%,RSG,Republic Services Inc,161.53%,ED,Consolidated Edison,273.04%,SYMC,Symantec Corp.,285.15%,MKC,McCormick & Co.,462.52%,TMO,Thermo Fisher Scientific,362.34%,FAST,Fastenal Co,266.98%,AWK,American Water Works Company Inc,2208.74%,REGN,Regeneron,237.72%,PGR,Progressive Corp.
150,534.68%,MCHP,Microchip Technology,459.60%,AXP,American Express Co,336.04%,AZO,AutoZone Inc,143.55%,SYY,Sysco Corp.,159.81%,HRB,Block H&R,157.49%,REGN,Regeneron,272.21%,SIG,Signet Jewelers,283.64%,UAA,Under Armour,460.63%,CCK,Crown Holdings,361.81%,GPC,Genuine Parts,260.77%,NI,NiSource Inc.,1777.72%,INCY,Incyte,234.41%,AJG,Arthur J. Gallagher & Co.
151,534.00%,GPN,Global Payments Inc,458.46%,RHI,Robert Half International,330.09%,HOG,Harley-Davidson,142.39%,NRG,NRG Energy,156.58%,MET,MetLife Inc.,146.69%,ESV,Ensco plc,270.61%,NOV,National Oilwell Varco Inc.,279.02%,LSI,LSI Corporation,457.01%,SRE,Sempra Energy,359.95%,COST,Costco Wholesale Corp.,257.83%,BA,Boeing Company,1380.40%,SWKS,Skyworks Solutions,233.66%,EFX,Equifax Inc.
152,532.25%,CLF,Cliffs Natural Resources,458.28%,OKE,ONEOK,329.00%,ANTM,Anthem Inc.,139.37%,CAT,Caterpillar Inc.,155.24%,APD,Air Products & Chemicals Inc,139.84%,ANF,Abercrombie & Fitch,266.96%,NEM,Newmont Mining Corporation,277.20%,DHR,Danaher Corp.,453.44%,BF.B,Brown-Forman Corp.,359.50%,STX,Seagate Technology,255.57%,FMC,FMC Corporation,1183.36%,MNST,Monster Beverage,232.32%,MKC,McCormick & Co.
153,530.15%,DRI,Darden Restaurants,455.80%,JWN,Nordstrom,328.30%,MET,MetLife Inc.,135.56%,SRE,Sempra Energy,154.06%,SWK,Stanley Black & Decker,139.21%,MCD,McDonald's Corp.,264.82%,SRE,Sempra Energy,275.61%,COO,The Cooper Companies,452.17%,PX,Praxair Inc.,358.39%,HES,Hess Corporation,252.69%,DVA,DaVita,1090.76%,AAPL,Apple Inc.,232.29%,XEL,Xcel Energy Inc
154,524.92%,JBHT,J. B. Hunt Transport Services,452.48%,O,Realty Income Corporation,325.90%,BRK.B,Berkshire Hathaway,134.52%,DNR,Denbury Resources,152.37%,ADM,Archer-Daniels-Midland Co,138.90%,HAL,Halliburton Co.,264.81%,EQR,Equity Residential,272.81%,MTD,Mettler Toledo,448.76%,DIS,The Walt Disney Company,357.48%,AMG,Affiliated Managers Group Inc,251.23%,IFF,Intl Flavors & Fragrances,951.96%,ALK,Alaska Air Group Inc,232.13%,SNPS,Synopsys Inc.
155,523.11%,NOV,National Oilwell Varco Inc.,450.48%,ITT,ITT Corp.,322.90%,AVB,"AvalonBay Communities, Inc.",134.42%,UDR,UDR Inc,151.24%,AMZN,Amazon.com Inc,136.60%,RHI,Robert Half International,263.00%,ITT,ITT Corp.,272.21%,XEC,Cimarex Energy,444.31%,COP,ConocoPhillips,356.11%,BXP,Boston Properties,247.63%,KMX,Carmax Inc,805.31%,EW,Edwards Lifesciences,229.96%,WM,Waste Management Inc.
156,521.35%,DVA,DaVita,450.38%,ABC,AmerisourceBergen Corp,311.86%,D,Dominion Energy,133.60%,ALB,Albemarle Corp,148.86%,PKG,Packaging Corporation of America,136.45%,AMZN,Amazon.com Inc,258.91%,COO,The Cooper Companies,268.58%,PPG,PPG Industries,442.83%,FRT,Federal Realty Investment Trust,354.62%,CB,Chubb Corp,247.57%,DRI,Darden Restaurants,764.50%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,228.39%,MAR,Marriott Int'l.
157,516.84%,FRT,Federal Realty Investment Trust,450.23%,MAA,Mid-America Apartments,311.69%,PAYX,Paychex Inc.,133.35%,CMI,Cummins Inc.,148.67%,ADSK,Autodesk Inc,136.20%,FDX,FedEx Corporation,256.59%,CVX,Chevron Corp.,265.62%,DISCK,Discovery Communications,441.27%,CVX,Chevron Corp.,353.54%,TROW,T. Rowe Price Group,247.33%,AMP,Ameriprise Financial,751.43%,AZO,AutoZone Inc,228.05%,ES,Eversource Energy
158,514.36%,OXY,Occidental Petroleum,442.78%,CBG,CBRE Group,311.16%,BF.B,Brown-Forman Corp.,131.01%,VNO,Vornado Realty Trust,146.73%,RE,Everest Re,132.57%,PNW,Pinnacle West Capital,255.39%,BIG,Big Lots Inc.,263.98%,NEE,NextEra Energy,435.58%,AON,Aon plc,352.56%,NOC,Northrop Grumman Corp.,243.15%,BWA,BorgWarner,643.88%,TJX,TJX Companies Inc.,227.68%,RCL,Royal Caribbean Cruises Ltd
159,511.49%,BBT,BB&T Corporation,441.45%,NBR,Nabors Industries,308.79%,FDX,FedEx Corporation,130.64%,HRL,Hormel Foods Corp.,146.40%,HUM,Humana Inc.,131.76%,XOM,Exxon Mobil Corp.,255.08%,EIX,Edison Int'l,259.84%,CVS,CVS Health,434.99%,FL,Foot Locker Inc,347.09%,BF.B,Brown-Forman Corp.,242.46%,ALB,Albemarle Corp,588.97%,MO,Altria Group Inc,227.42%,ANTM,Anthem Inc.
160,510.58%,RRC,Range Resources Corp.,440.97%,DRI,Darden Restaurants,307.03%,CVX,Chevron Corp.,130.10%,CHK,Chesapeake Energy,145.30%,NRG,NRG Energy,130.06%,TMK,Torchmark Corp.,255.02%,EXPD,Expeditors International,257.81%,FLR,Fluor Corp.,432.88%,EIX,Edison Int'l,346.99%,O,Realty Income Corporation,241.26%,DISCA,Discovery Communications,548.17%,IDXX,IDEXX Laboratories,227.31%,ABBV,AbbVie Inc.
161,510.38%,EFX,Equifax Inc.,440.79%,DO,Diamond Offshore Drilling,306.33%,AMAT,Applied Materials Inc,129.77%,FTI,TechnipFMC,141.39%,AFL,AFLAC Inc,129.91%,PEP,PepsiCo Inc.,254.64%,UNH,United Health Group Inc.,255.46%,APA,Apache Corporation,432.78%,ACN,Accenture plc,346.20%,BCR,Bard (C.R.) Inc.,238.71%,HCN,Welltower Inc.,484.26%,PRGO,Perrigo,227.27%,SPGI,"S&P Global, Inc."
162,504.07%,PX,Praxair Inc.,440.59%,EOG,EOG Resources,305.64%,MKC,McCormick & Co.,127.83%,STZ,Constellation Brands,140.65%,RDC,Rowan Companies Plc,128.43%,SYMC,Symantec Corp.,253.50%,VNO,Vornado Realty Trust,254.05%,DO,Diamond Offshore Drilling,427.36%,EXR,Extra Space Storage,342.86%,UHS,"Universal Health Services, Inc.",235.56%,CL,Colgate-Palmolive,467.65%,SNA,Snap-On Inc.,226.69%,XEC,Cimarex Energy
163,501.80%,CNX,Consol Energy,439.42%,SYY,Sysco Corp.,305.38%,NFX,Newfield Exploration Co,127.41%,GIS,General Mills,138.37%,ANDV,Andeavor,128.35%,FFIV,F5 Networks,253.35%,JEC,Jacobs Engineering Group,253.64%,COP,ConocoPhillips,427.14%,ALB,Albemarle Corp,342.84%,EL,Estee Lauder Cos.,233.12%,GD,General Dynamics,460.59%,SBAC,SBA Communications,226.66%,CAT,Caterpillar Inc.
164,501.69%,O,Realty Income Corporation,438.32%,MON,Monsanto Co.,304.57%,MSFT,Microsoft Corp.,126.71%,DLTR,Dollar Tree,136.93%,XOM,Exxon Mobil Corp.,128.12%,LB,L Brands Inc.,252.88%,DRI,Darden Restaurants,253.47%,COL,Rockwell Collins,426.85%,SBR,Sabre Holdings,340.64%,DISCA,Discovery Communications,231.48%,FL,Foot Locker Inc,451.14%,LMT,Lockheed Martin Corp.,226.49%,PM,Philip Morris International
165,496.00%,MGM,MGM Resorts International,437.58%,ROK,Rockwell Automation Inc.,303.91%,CL,Colgate-Palmolive,123.92%,CL,Colgate-Palmolive,135.24%,CB,Chubb Corp,127.66%,GME,GameStop,250.49%,COP,ConocoPhillips,252.27%,PNR,Pentair Ltd.,426.50%,CNC,Centene Corporation,335.39%,ECL,Ecolab,231.32%,BXP,Boston Properties,442.16%,GILD,Gilead Sciences,226.03%,TRV,The Travelers Companies Inc.
166,489.07%,BAC,Bank of America Corp,436.29%,JBHT,J. B. Hunt Transport Services,303.02%,WBA,Walgreens Boots Alliance,123.44%,ADSK,Autodesk Inc,135.08%,HSIC,Henry Schein,127.16%,RTN,Raytheon Co.,249.18%,SLG,SL Green Realty,251.49%,SLG,SL Green Realty,425.95%,KMX,Carmax Inc,333.50%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,230.35%,BDX,Becton Dickinson,419.84%,HRL,Hormel Foods Corp.,223.65%,ITT,ITT Corp.
167,487.67%,BCR,Bard (C.R.) Inc.,435.55%,AET,Aetna Inc,301.55%,PRGO,Perrigo,122.95%,TGT,Target Corp.,134.08%,EBAY,eBay,122.16%,TRV,The Travelers Companies Inc.,247.29%,MKC,McCormick & Co.,250.85%,MUR,Murphy Oil,424.37%,BA,Boeing Company,331.79%,WEC,Wec Energy Group Inc,229.82%,RJF,Raymond James Financial Inc.,415.52%,VFC,V.F. Corp.,223.29%,FLIR,FLIR Systems
168,485.22%,LUK,Leucadia National Corp.,435.01%,ORCL,Oracle Corp.,300.86%,LEN,Lennar Corp.,122.90%,PHM,Pulte Homes Inc.,132.93%,TDG,TransDigm Group,121.16%,AVP,Avon Products,246.85%,TROW,T. Rowe Price Group,249.88%,SJM,JM Smucker,424.12%,DISCK,Discovery Communications,330.52%,KMX,Carmax Inc,227.16%,FAST,Fastenal Co,408.59%,MCD,McDonald's Corp.,222.34%,ETN,Eaton Corporation
169,484.84%,BSX,Boston Scientific,434.29%,CAT,Caterpillar Inc.,297.03%,VTR,Ventas Inc,122.66%,HRS,Harris Corporation,131.04%,FE,FirstEnergy Corp,118.93%,ES,Eversource Energy,242.10%,GPC,Genuine Parts,248.91%,CVX,Chevron Corp.,423.83%,PPG,PPG Industries,328.17%,EQT,EQT Corporation,226.96%,BIG,Big Lots Inc.,405.82%,DIS,The Walt Disney Company,222.00%,LOW,Lowe's Cos.
170,479.62%,RDC,Rowan Companies Plc,430.08%,MTD,Mettler Toledo,296.37%,HUM,Humana Inc.,121.65%,JNJ,Johnson & Johnson,129.67%,BHGE,"Baker Hughes, a GE Company",118.88%,BRK.B,Berkshire Hathaway,239.06%,MOS,The Mosaic Company,240.97%,ATVI,Activision Blizzard,423.23%,SNA,Snap-On Inc.,322.76%,AMP,Ameriprise Financial,225.61%,TSN,Tyson Foods,374.46%,RTN,Raytheon Co.,217.15%,ORCL,Oracle Corp.
171,477.81%,ANF,Abercrombie & Fitch,426.07%,ADBE,Adobe Systems Inc,288.98%,ABC,AmerisourceBergen Corp,121.29%,MRO,Marathon Oil Corp.,127.58%,BAX,Baxter International Inc.,118.35%,SBAC,SBA Communications,237.04%,OI,Owens-Illinois,235.12%,BCR,Bard (C.R.) Inc.,416.37%,EW,Edwards Lifesciences,321.50%,DISCK,Discovery Communications,220.81%,BCR,Bard (C.R.) Inc.,368.43%,FFIV,F5 Networks,216.83%,CLX,The Clorox Company
172,476.68%,ORCL,Oracle Corp.,425.48%,ISRG,Intuitive Surgical Inc.,288.62%,DVA,DaVita,119.90%,ABT,Abbott Laboratories,127.09%,ADI,"Analog Devices, Inc.",118.08%,IRM,Iron Mountain Incorporated,235.13%,FLR,Fluor Corp.,233.20%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,414.20%,SLB,Schlumberger Ltd.,318.15%,PX,Praxair Inc.,220.57%,GIS,General Mills,365.53%,FMC,FMC Corporation,216.63%,APD,Air Products & Chemicals Inc
173,476.43%,BLL,Ball Corp,420.71%,NTRS,Northern Trust Corp.,288.09%,TXT,Textron Inc.,118.26%,LRCX,Lam Research,126.29%,BBBY,Bed Bath & Beyond,117.70%,IT,Gartner Inc,231.52%,MCHP,Microchip Technology,231.70%,EQR,Equity Residential,413.50%,CAT,Caterpillar Inc.,317.85%,ADM,Archer-Daniels-Midland Co,219.99%,DG,Dollar General,343.24%,URI,"United Rentals, Inc.",216.52%,RSG,Republic Services Inc
174,475.47%,AME,AMETEK Inc,409.23%,DRE,Duke Realty Corp,283.46%,FFIV,F5 Networks,117.94%,XLNX,Xilinx Inc,125.86%,BF.B,Brown-Forman Corp.,115.70%,MCHP,Microchip Technology,229.50%,IRM,Iron Mountain Incorporated,230.76%,PH,Parker-Hannifin,413.39%,CTXS,Citrix Systems,317.67%,EIX,Edison Int'l,218.84%,ADP,Automatic Data Processing,335.97%,HBI,Hanesbrands Inc,216.16%,PX,Praxair Inc.
175,470.00%,HRS,Harris Corporation,408.51%,IVZ,Invesco Ltd.,282.92%,CSCO,Cisco Systems,117.51%,WEC,Wec Energy Group Inc,124.79%,AOS,A.O. Smith,114.32%,JCP,J.C. Penney,228.76%,ANTM,Anthem Inc.,230.36%,STZ,Constellation Brands,410.68%,FLIR,FLIR Systems,317.46%,FIS,Fidelity National Information Services,217.23%,EMN,Eastman Chemical,330.76%,KR,Kroger Co.,210.65%,D,Dominion Energy
176,467.56%,BDX,Becton Dickinson,407.29%,UHS,"Universal Health Services, Inc.",281.30%,SBAC,SBA Communications,116.83%,AMG,Affiliated Managers Group Inc,120.44%,STZ,Constellation Brands,111.10%,X,United States Steel Corporation,226.72%,IFF,Intl Flavors & Fragrances,230.17%,KMX,Carmax Inc,407.82%,HSIC,Henry Schein,317.25%,XEC,Cimarex Energy,215.25%,DISCK,Discovery Communications,321.13%,FTI,TechnipFMC,209.53%,LEG,Leggett & Platt
177,466.18%,STZ,Constellation Brands,405.91%,LSI,LSI Corporation,278.88%,SIG,Signet Jewelers,115.52%,GME,GameStop,115.50%,IR,Ingersoll-Rand PLC,110.80%,XEL,Xcel Energy Inc,225.67%,CNX,Consol Energy,226.26%,STX,Seagate Technology,407.43%,CNX,Consol Energy,316.36%,LNT,Alliant Energy Corp,214.73%,MYL,Mylan N.V.,313.26%,AME,AMETEK Inc,209.14%,TEL,TE Connectivity Ltd.
178,466.02%,LLL,L-3 Communications Holdings,401.89%,PPL,PPL Corp.,276.33%,RE,Everest Re,115.48%,FDX,FedEx Corporation,115.39%,LMT,Lockheed Martin Corp.,106.47%,WFC,Wells Fargo,225.42%,ABC,AmerisourceBergen Corp,226.17%,VNO,Vornado Realty Trust,406.34%,BCR,Bard (C.R.) Inc.,311.82%,VRSN,Verisign Inc.,214.14%,AIZ,Assurant Inc,273.82%,ADP,Automatic Data Processing,208.71%,TIF,Tiffany & Co.
179,462.59%,BK,The Bank of New York Mellon Corp.,401.87%,HP,Helmerich & Payne,273.43%,PSA,Public Storage,115.30%,GRMN,Garmin Ltd.,114.97%,CL,Colgate-Palmolive,105.13%,CCE,Coca-Cola Enterprises,217.37%,APA,Apache Corporation,225.34%,CBG,CBRE Group,406.08%,PKG,Packaging Corporation of America,309.97%,BDX,Becton Dickinson,213.21%,SIG,Signet Jewelers,256.58%,ITW,Illinois Tool Works,205.71%,HP,Helmerich & Payne
180,459.60%,SYY,Sysco Corp.,401.52%,ZION,Zions Bancorp,271.74%,FAST,Fastenal Co,114.42%,REGN,Regeneron,113.01%,IRM,Iron Mountain Incorporated,104.58%,MYL,Mylan N.V.,213.94%,DNB,Dun & Bradstreet,223.18%,UDR,UDR Inc,405.93%,COST,Costco Wholesale Corp.,309.18%,LSI,LSI Corporation,210.79%,MPC,Marathon Petroleum,254.65%,RMD,ResMed,203.48%,SCHW,Charles Schwab Corporation
181,459.03%,SIG,Signet Jewelers,400.10%,ETR,Entergy Corp.,269.57%,WFC,Wells Fargo,113.27%,USB,U.S. Bancorp,112.06%,FISV,Fiserv Inc,103.01%,NRG,NRG Energy,212.05%,ECL,Ecolab,223.12%,CB,Chubb Corp,404.42%,HES,Hess Corporation,308.09%,HCN,Welltower Inc.,210.56%,TRIP,TripAdvisor,249.77%,SPG,Simon Property Group Inc,203.24%,PSA,Public Storage
182,458.96%,ALL,Allstate Corp,399.72%,TXN,Texas Instruments,267.37%,UHS,"Universal Health Services, Inc.",111.27%,ENDP,Endo International plc,111.29%,VFC,V.F. Corp.,102.45%,BAX,Baxter International Inc.,208.48%,PH,Parker-Hannifin,222.91%,ITT,ITT Corp.,404.17%,LRCX,Lam Research,305.75%,ACN,Accenture plc,210.11%,OXY,Occidental Petroleum,249.65%,PXD,Pioneer Natural Resources,202.15%,XYL,Xylem Inc.
183,458.41%,ARE,Alexandria Real Estate Equities Inc,398.89%,FFIV,F5 Networks,266.87%,HRL,Hormel Foods Corp.,110.04%,ICE,Intercontinental Exchange,106.06%,FL,Foot Locker Inc,99.29%,EXR,Extra Space Storage,208.35%,HRS,Harris Corporation,221.98%,AN,AutoNation Inc,401.67%,COO,The Cooper Companies,304.64%,ETN,Eaton Corporation,209.57%,LOW,Lowe's Cos.,235.59%,CTAS,Cintas Corporation,201.35%,DOV,Dover Corp.
184,458.07%,MAR,Marriott Int'l.,397.93%,XOM,Exxon Mobil Corp.,266.68%,DLR,Digital Realty,109.66%,HSIC,Henry Schein,105.85%,MAR,Marriott Int'l.,94.88%,BA,Boeing Company,208.27%,ANF,Abercrombie & Fitch,221.03%,ES,Eversource Energy,400.85%,HON,Honeywell Int'l Inc.,303.10%,DUK,Duke Energy,209.28%,CTXS,Citrix Systems,234.55%,WM,Waste Management Inc.,201.15%,HSY,The Hershey Company
185,458.07%,BWA,BorgWarner,396.96%,ADSK,Autodesk Inc,264.48%,CRM,Salesforce.com,108.84%,BRK.B,Berkshire Hathaway,102.96%,BA,Boeing Company,94.03%,ITW,Illinois Tool Works,207.13%,ICE,Intercontinental Exchange,220.58%,UNH,United Health Group Inc.,398.86%,ITT,ITT Corp.,302.93%,HSIC,Henry Schein,209.21%,CBG,CBRE Group,228.01%,AMP,Ameriprise Financial,198.53%,INTC,Intel Corp.
186,456.23%,BF.B,Brown-Forman Corp.,394.56%,HCP,HCP Inc.,257.24%,HSIC,Henry Schein,108.56%,PAYX,Paychex Inc.,100.66%,R,Ryder Systems Inc.,91.74%,IFF,Intl Flavors & Fragrances,201.26%,BEN,Franklin Resources,220.15%,SNA,Snap-On Inc.,398.80%,PH,Parker-Hannifin,302.10%,MAR,Marriott Int'l.,206.94%,DTE,DTE Energy,224.41%,MDLZ,Mondelez International,197.74%,JNJ,Johnson & Johnson
