,1995-2006,ticker,company,1996-2007,ticker,company,1997-2008,ticker,company,1998-2009,ticker,company,1999-2010,ticker,company,2000-2011,ticker,company,2001-2012,ticker,company,2002-2013,ticker,company,2003-2014,ticker,company,2004-2015,ticker,company,2005-2016,ticker,company,2006-2017,ticker,company,2007-2018,ticker,company
11,2307.66%,AMZN,Amazon.com Inc,1553.89%,NTAP,NetApp,1721.09%,FLIR,FLIR Systems,1132.17%,QCOM,QUALCOMM Inc.,1558.79%,URBN,Urban Outfitters,1364.62%,FLIR,FLIR Systems,1849.96%,ANSS,ANSYS,1434.21%,ALXN,Alexion Pharmaceuticals,2726.17%,ANDV,Andeavor,1699.45%,CF,CF Industries Holdings Inc,1426.06%,AMZN,Amazon.com Inc,703.44%,EXR,Extra Space Storage,1055.97%,CRM,Salesforce.com
12,2294.98%,ROST,Ross Stores,1532.43%,SRCL,Stericycle Inc,1669.86%,ISRG,Intuitive Surgical Inc.,1082.84%,FLIR,FLIR Systems,1480.36%,ANSS,ANSYS,1251.25%,ESRX,Express Scripts,1833.32%,TPR,"Tapestry, Inc.",1349.21%,CCK,Crown Holdings,2647.95%,SWN,Southwestern Energy,1455.70%,CMG,Chipotle Mexican Grill,1333.46%,CF,CF Industries Holdings Inc,676.86%,IT,Gartner Inc,1044.88%,ISRG,Intuitive Surgical Inc.
13,2178.56%,LEN,Lennar Corp.,1492.15%,GILD,Gilead Sciences,1589.51%,QCOM,QUALCOMM Inc.,1009.34%,CHRW,C. H. Robinson Worldwide,1441.00%,QCOM,QUALCOMM Inc.,1209.22%,HOLX,Hologic,1654.84%,VTR,Ventas Inc,1278.09%,CMI,Cummins Inc.,2627.17%,AKAM,Akamai Technologies Inc,1301.76%,TDG,TransDigm Group,1264.72%,ISRG,Intuitive Surgical Inc.,650.38%,OKE,ONEOK,1016.33%,ROST,Ross Stores
14,2089.51%,EBAY,eBay,1468.00%,URBN,Urban Outfitters,1581.39%,EBAY,eBay,966.10%,RMD,ResMed,1409.90%,TPR,"Tapestry, Inc.",1188.21%,JBHT,J. B. Hunt Transport Services,1424.00%,KMX,Carmax Inc,1205.47%,URBN,Urban Outfitters,2317.39%,CMI,Cummins Inc.,1298.91%,CMI,Cummins Inc.,1174.47%,UAA,Under Armour,614.83%,SHW,Sherwin-Williams,997.89%,ILMN,Illumina Inc
15,2027.79%,TWX,Time Warner Inc.,1446.65%,DGX,Quest Diagnostics,1578.25%,APH,Amphenol Corp,932.18%,BLK,BlackRock,1317.91%,DGX,Quest Diagnostics,1159.44%,BLK,BlackRock,1326.96%,RRC,Range Resources Corp.,1200.78%,CF,CF Industries Holdings Inc,2316.47%,RRC,Range Resources Corp.,1279.30%,CRM,Salesforce.com,1090.44%,VRTX,Vertex Pharmaceuticals Inc,586.38%,DLR,Digital Realty,960.47%,CXO,Concho Resources
16,2007.32%,NTAP,NetApp,1443.22%,BIIB,Biogen Inc.,1577.54%,URBN,Urban Outfitters,921.94%,SBR,Sabre Holdings,1272.75%,DNR,Denbury Resources,1154.94%,AAPL,Apple Inc.,1300.80%,HOLX,Hologic,1195.12%,COG,Cabot Oil & Gas,2237.58%,AMT,American Tower Corp A,1266.66%,CERN,Cerner,1081.07%,LKQ,LKQ Corporation,537.31%,APH,Amphenol Corp,922.97%,DLTR,Dollar Tree
17,1975.64%,SLM,SLM Corporation,1439.81%,PCAR,PACCAR Inc.,1558.92%,CME,CME Group Inc.,921.34%,AMZN,Amazon.com Inc,1268.56%,SRCL,Stericycle Inc,1095.47%,CHK,Chesapeake Energy,1260.59%,GRA,W.R. Grace,1177.68%,WYNN,Wynn Resorts,2193.86%,WYNN,Wynn Resorts,1193.89%,GILD,Gilead Sciences,1070.58%,GILD,Gilead Sciences,500.05%,STZ,Constellation Brands,896.85%,V,Visa Inc.
18,1970.77%,VLO,Valero Energy,1423.33%,EBAY,eBay,1539.20%,BLK,BlackRock,880.07%,TSCO,Tractor Supply Company,1216.26%,OXY,Occidental Petroleum,1056.83%,CMI,Cummins Inc.,1238.38%,WDC,Western Digital,1099.71%,TPR,"Tapestry, Inc.",2101.46%,WMB,Williams Cos.,1153.26%,LKQ,LKQ Corporation,1032.22%,SBAC,SBA Communications,471.98%,NOC,Northrop Grumman Corp.,852.68%,CF,CF Industries Holdings Inc
19,1749.38%,ESRX,Express Scripts,1409.06%,LM,Legg Mason,1525.85%,EXPD,Expeditors International,752.10%,TPR,"Tapestry, Inc.",1136.33%,APH,Amphenol Corp,996.46%,EOG,EOG Resources,1180.66%,JBHT,J. B. Hunt Transport Services,1077.83%,FTI,TechnipFMC,2011.12%,AMZN,Amazon.com Inc,1151.24%,COG,Cabot Oil & Gas,1025.06%,ORLY,O'Reilly Automotive,468.37%,LB,L Brands Inc.,839.09%,CHTR,Charter Communications
20,1694.99%,SBUX,Starbucks Corp.,1403.90%,NVDA,Nvidia Corporation,1518.87%,SWN,Southwestern Energy,731.36%,BIIB,Biogen Inc.,1098.38%,ATVI,Activision Blizzard,971.30%,GILD,Gilead Sciences,1175.43%,FOSL,Fossil Group,1047.96%,JBHT,J. B. Hunt Transport Services,1970.29%,ALGN,Align Technology,1149.26%,NFLX,Netflix Inc.,990.57%,CMG,Chipotle Mexican Grill,463.38%,ATVI,Activision Blizzard,736.19%,NVDA,Nvidia Corporation
21,1678.12%,SBR,Sabre Holdings,1359.11%,QCOM,QUALCOMM Inc.,1502.56%,VLO,Valero Energy,658.23%,JEC,Jacobs Engineering Group,1088.75%,EOG,EOG Resources,914.02%,AME,AMETEK Inc,1162.04%,PRGO,Perrigo,1005.55%,NFLX,Netflix Inc.,1858.13%,CCI,Crown Castle International Corp.,1047.83%,VRTX,Vertex Pharmaceuticals Inc,985.59%,INCY,Incyte,450.97%,NKE,Nike,729.25%,ATVI,Activision Blizzard
22,1635.58%,ATVI,Activision Blizzard,1353.13%,SBUX,Starbucks Corp.,1474.25%,FOSL,Fossil Group,632.55%,MON,Monsanto Co.,1038.59%,NVDA,Nvidia Corporation,913.83%,CELG,Celgene Corp.,1147.57%,AMZN,Amazon.com Inc,992.74%,ANSS,ANSYS,1847.98%,COG,Cabot Oil & Gas,1039.79%,PRGO,Perrigo,978.46%,EXR,Extra Space Storage,446.58%,PKG,Packaging Corporation of America,709.89%,MTD,Mettler Toledo
23,1600.09%,COF,Capital One Financial,1328.89%,FOSL,Fossil Group,1339.85%,DGX,Quest Diagnostics,627.16%,EXPD,Expeditors International,1026.19%,FLIR,FLIR Systems,904.67%,PXD,Pioneer Natural Resources,1145.42%,ROST,Ross Stores,988.53%,MA,Mastercard Inc.,1757.86%,MA,Mastercard Inc.,1034.47%,ANDV,Andeavor,898.96%,AGN,"Allergan, Inc",426.46%,HAS,Hasbro Inc.,706.42%,STZ,Constellation Brands
24,1585.01%,AN,AutoNation Inc,1259.48%,VLO,Valero Energy,1337.98%,BIIB,Biogen Inc.,620.62%,BBY,Best Buy Co. Inc.,987.64%,CLF,Cliffs Natural Resources,888.18%,ATVI,Activision Blizzard,1067.86%,FCX,Freeport-McMoRan Inc.,983.21%,PVH,PVH Corp.,1667.06%,GILD,Gilead Sciences,973.52%,UAA,Under Armour,898.71%,AYI,Acuity Brands Inc,393.69%,ROP,Roper Technologies,704.06%,CNC,Centene Corporation
25,1529.77%,COO,The Cooper Companies,1234.35%,DISH,Dish Network,1313.71%,DISH,Dish Network,607.21%,EBAY,eBay,929.96%,ESRX,Express Scripts,879.88%,EW,Edwards Lifesciences,1065.81%,AZO,AutoZone Inc,969.03%,LKQ,LKQ Corporation,1630.04%,FLS,Flowserve Corporation,968.86%,INCY,Incyte,888.76%,ALK,Alaska Air Group Inc,367.24%,ANSS,ANSYS,674.34%,DXC,DXC Technology
26,1391.83%,DGX,Quest Diagnostics,1219.93%,GGP,General Growth Properties Inc.,1284.08%,ATVI,Activision Blizzard,595.84%,ISRG,Intuitive Surgical Inc.,929.35%,CHRW,C. H. Robinson Worldwide,870.07%,ABC,AmerisourceBergen Corp,1058.63%,CMI,Cummins Inc.,903.64%,VTR,Ventas Inc,1626.73%,ANSS,ANSYS,956.67%,GOOGL,Alphabet Inc Class A,865.44%,TSCO,Tractor Supply Company,367.13%,LYB,LyondellBasell,651.94%,SHW,Sherwin-Williams
27,1386.09%,URBN,Urban Outfitters,1210.39%,TJX,TJX Companies Inc.,1239.83%,CNX,Consol Energy,567.02%,CHD,Church & Dwight,912.14%,APA,Apache Corporation,862.44%,CERN,Cerner,1054.77%,WYNN,Wynn Resorts,897.50%,FOSL,Fossil Group,1603.27%,TSCO,Tractor Supply Company,950.28%,GOOG,Alphabet Inc Class C,830.63%,AOS,A.O. Smith,350.75%,KMX,Carmax Inc,650.08%,ORLY,O'Reilly Automotive
28,1355.14%,PHM,Pulte Homes Inc.,1198.77%,SIG,Signet Jewelers,1155.23%,PCAR,PACCAR Inc.,562.42%,EOG,EOG Resources,899.64%,SBR,Sabre Holdings,853.71%,LH,Laboratory Corp. of America Holding,986.63%,ATVI,Activision Blizzard,883.33%,CELG,Celgene Corp.,1591.99%,FFIV,F5 Networks,939.60%,FFIV,F5 Networks,814.81%,ESRX,Express Scripts,349.53%,BLK,BlackRock,631.02%,EXR,Extra Space Storage
29,1338.23%,PBCT,People's United Financial,1180.29%,ROST,Ross Stores,1154.56%,TPR,"Tapestry, Inc.",556.66%,URBN,Urban Outfitters,889.57%,VAR,Varian Medical Systems,824.14%,PCAR,PACCAR Inc.,942.67%,FTI,TechnipFMC,877.33%,CRM,Salesforce.com,1577.64%,CTSH,Cognizant Technology Solutions,933.42%,ADS,Alliance Data Systems,809.77%,DLR,Digital Realty,349.06%,PSA,Public Storage,625.01%,PKG,Packaging Corporation of America
30,1267.80%,TPR,"Tapestry, Inc.",1158.05%,PBCT,People's United Financial,1128.44%,ANSS,ANSYS,537.68%,EXC,Exelon Corp.,864.79%,FCX,Freeport-McMoRan Inc.,788.08%,NOV,National Oilwell Varco Inc.,893.76%,OXY,Occidental Petroleum,845.41%,ILMN,Illumina Inc,1566.88%,LKQ,LKQ Corporation,919.66%,ESRX,Express Scripts,805.32%,CERN,Cerner,342.31%,CTSH,Cognizant Technology Solutions,615.12%,EL,Estee Lauder Cos.
31,1220.83%,TJX,TJX Companies Inc.,1128.47%,ESS,"Essex Property Trust, Inc.",1054.40%,MON,Monsanto Co.,518.30%,BCR,Bard (C.R.) Inc.,850.81%,CNX,Consol Energy,758.54%,IDXX,IDEXX Laboratories,820.51%,CF,CF Industries Holdings Inc,844.78%,PRGO,Perrigo,1408.02%,CF,CF Industries Holdings Inc,899.07%,ORLY,O'Reilly Automotive,794.56%,PRGO,Perrigo,338.65%,IFF,Intl Flavors & Fragrances,608.37%,CMI,Cummins Inc.
32,1218.29%,DISH,Dish Network,1125.79%,LEN,Lennar Corp.,1005.87%,CLF,Cliffs Natural Resources,506.49%,JBHT,J. B. Hunt Transport Services,825.39%,COG,Cabot Oil & Gas,757.28%,FTI,TechnipFMC,784.95%,SPG,Simon Property Group Inc,823.87%,ESRX,Express Scripts,1386.98%,REGN,Regeneron,882.38%,WDC,Western Digital,738.39%,ROST,Ross Stores,331.58%,HD,Home Depot,604.51%,EQIX,Equinix
33,1204.36%,USB,U.S. Bancorp,1125.48%,CME,CME Group Inc.,979.79%,FSLR,First Solar,506.47%,DISH,Dish Network,802.33%,KMX,Carmax Inc,754.55%,MO,Altria Group Inc,783.48%,GILD,Gilead Sciences,802.04%,FFIV,F5 Networks,1383.80%,ADS,Alliance Data Systems,870.54%,FTI,TechnipFMC,727.97%,SWKS,Skyworks Solutions,305.18%,COG,Cabot Oil & Gas,600.71%,LKQ,LKQ Corporation
