,1995-1997,ticker,company,1996-1998,ticker,company,1997-1999,ticker,company,1998-2000,ticker,company,1999-2001,ticker,company,2000-2002,ticker,company,2001-2003,ticker,company,2002-2004,ticker,company,2003-2005,ticker,company,2004-2006,ticker,company,2005-2007,ticker,company,2006-2008,ticker,company,2007-2009,ticker,company,2008-2010,ticker,company,2009-2011,ticker,company,2010-2012,ticker,company,2011-2013,ticker,company,2012-2014,ticker,company,2013-2015,ticker,company,2014-2016,ticker,company,2015-2017,ticker,company,2016-2018,ticker,company
100,106.13%,SNPS,Synopsys Inc.,108.74%,TGNA,"Tegna, Inc.",103.17%,ED,Consolidated Edison,77.10%,CCL,Carnival Corp.,72.49%,COF,Capital One Financial,66.68%,COO,The Cooper Companies,36.38%,DRI,Darden Restaurants,53.30%,AME,AMETEK Inc,119.75%,SVU,Supervalu Inc.,84.22%,SBR,Sabre Holdings,65.19%,LVLT,Level 3 Communications,39.91%,UTX,United Technologies,-14.13%,DISCA,Discovery Communications,4.33%,ED,Consolidated Edison,102.43%,SPG,Simon Property Group Inc,50.14%,BBBY,Bed Bath & Beyond,40.40%,MCK,McKesson Corp.,104.91%,NYT,The New York Times Co.,93.78%,KLAC,KLA-Tencor Corp.,44.55%,SPG,Simon Property Group Inc,15.85%,CSCO,Cisco Systems,7.85%,EQT,EQT Corporation
101,105.20%,AFL,AFLAC Inc,108.32%,AOS,A.O. Smith,102.85%,STZ,Constellation Brands,76.73%,F,Ford Motor,71.03%,DNB,Dun & Bradstreet,66.54%,DUK,Duke Energy,36.14%,AMZN,Amazon.com Inc,53.25%,UDR,UDR Inc,119.74%,BWA,BorgWarner,84.21%,FTI,TechnipFMC,65.17%,ESS,"Essex Property Trust, Inc.",38.80%,DIS,The Walt Disney Company,-14.44%,FE,FirstEnergy Corp,4.24%,DVA,DaVita,101.78%,DLTR,Dollar Tree,49.97%,LYB,LyondellBasell,40.34%,MON,Monsanto Co.,104.77%,DISH,Dish Network,93.28%,TWX,Time Warner Inc.,44.47%,BDX,Becton Dickinson,15.84%,OMC,Omnicom Group,7.85%,AKAM,Akamai Technologies Inc
102,104.65%,RMD,ResMed,108.11%,BBBY,Bed Bath & Beyond,101.98%,AIG,"American International Group, Inc.",75.90%,AMT,American Tower Corp A,69.64%,RJF,Raymond James Financial Inc.,66.15%,NBL,Noble Energy Inc,35.39%,FHN,First Horizon,53.07%,MCO,Moody's Corp,119.08%,INCY,Incyte,83.81%,GGP,General Growth Properties Inc.,64.75%,AIV,Apartment Investment & Management,38.26%,KMX,Carmax Inc,-14.53%,PH,Parker-Hannifin,4.22%,MMM,3M Company,101.52%,UNP,Union Pacific,48.80%,AIV,Apartment Investment & Management,39.37%,AMZN,Amazon.com Inc,104.76%,IT,Gartner Inc,93.23%,R,Ryder Systems Inc.,44.43%,CMS,CMS Energy,15.38%,FLIR,FLIR Systems,7.79%,REG,Regency Centers Corporation
103,104.23%,ABC,AmerisourceBergen Corp,107.92%,CAH,Cardinal Health,101.54%,IVZ,Invesco Ltd.,75.71%,A,Agilent Technologies Inc,69.37%,THC,Tenet Healthcare,65.69%,FISV,Fiserv Inc,33.56%,DTE,DTE Energy,52.86%,USB,U.S. Bancorp,118.50%,CHK,Chesapeake Energy,83.47%,MSI,Motorola Solutions Inc.,64.71%,WMB,Williams Cos.,38.20%,AFL,AFLAC Inc,-14.93%,CERN,Cerner,4.10%,FMC,FMC Corporation,101.36%,TSN,Tyson Foods,48.76%,DISH,Dish Network,38.77%,GGP,General Growth Properties Inc.,104.46%,WYN,Wyndham Worldwide,92.94%,ADBE,Adobe Systems Inc,44.34%,SHW,Sherwin-Williams,13.53%,PH,Parker-Hannifin,5.97%,EXR,Extra Space Storage
104,103.73%,GPS,Gap Inc.,107.50%,GE,General Electric,101.09%,BDX,Becton Dickinson,75.60%,DLTR,Dollar Tree,68.75%,HOG,Harley-Davidson,65.42%,PSA,Public Storage,33.29%,DNB,Dun & Bradstreet,52.66%,MAA,Mid-America Apartments,117.75%,HAL,Halliburton Co.,82.87%,NBL,Noble Energy Inc,64.59%,BEN,Franklin Resources,38.14%,CCE,Coca-Cola Enterprises,-14.98%,FTI,TechnipFMC,3.77%,TER,Teradyne,100.37%,APC,Anadarko Petroleum Corp,48.68%,MAT,Mattel Inc.,38.61%,IT,Gartner Inc,104.38%,TJX,TJX Companies Inc.,92.73%,CI,CIGNA Corp.,44.16%,IFF,Intl Flavors & Fragrances,12.79%,ANSS,ANSYS,5.88%,NKE,Nike
105,103.71%,HON,Honeywell Int'l Inc.,107.27%,SIG,Signet Jewelers,100.42%,FDX,FedEx Corporation,75.48%,FISV,Fiserv Inc,66.55%,AFL,AFLAC Inc,64.74%,KIM,Kimco Realty,32.58%,EXPD,Expeditors International,52.56%,DHR,Danaher Corp.,116.25%,OXY,Occidental Petroleum,82.53%,NBR,Nabors Industries,64.31%,SRCL,Stericycle Inc,37.44%,RMD,ResMed,-14.99%,PSA,Public Storage,3.69%,XEL,Xcel Energy Inc,100.06%,CTL,CenturyLink Inc,48.59%,CERN,Cerner,38.52%,BAX,Baxter International Inc.,103.98%,PKI,PerkinElmer,92.46%,UNH,United Health Group Inc.,43.55%,ALXN,Alexion Pharmaceuticals,12.47%,WBA,Walgreens Boots Alliance,4.46%,AVB,"AvalonBay Communities, Inc."
106,103.62%,GE,General Electric,106.40%,KEY,KeyCorp,100.39%,ABT,Abbott Laboratories,75.37%,BCR,Bard (C.R.) Inc.,65.68%,TRV,The Travelers Companies Inc.,64.44%,REG,Regency Centers Corporation,32.55%,PDCO,Patterson Companies,51.95%,GHC,Graham Holdings,116.21%,SIG,Signet Jewelers,81.00%,SBUX,Starbucks Corp.,64.22%,SCHW,Charles Schwab Corporation,36.89%,APC,Anadarko Petroleum Corp,-15.53%,HRL,Hormel Foods Corp.,3.54%,ILMN,Illumina Inc,99.36%,EBAY,eBay,47.88%,CVX,Chevron Corp.,38.43%,MAS,Masco Corp.,103.82%,HD,Home Depot,92.44%,TIF,Tiffany & Co.,43.38%,RTN,Raytheon Co.,11.83%,PFE,Pfizer Inc.,2.88%,FSLR,First Solar
107,102.82%,MS,Morgan Stanley,105.66%,MHK,Mohawk Industries,99.66%,JWN,Nordstrom,74.91%,ES,Eversource Energy,65.37%,LLL,L-3 Communications Holdings,64.15%,SWK,Stanley Black & Decker,32.41%,RF,Regions Financial Corp.,51.58%,CHD,Church & Dwight,115.27%,GT,Goodyear Tire & Rubber,80.96%,EXPD,Expeditors International,63.94%,COL,Rockwell Collins,36.87%,NOC,Northrop Grumman Corp.,-16.07%,NOV,National Oilwell Varco Inc.,3.21%,UDR,UDR Inc,99.30%,CMS,CMS Energy,47.64%,MDLZ,Mondelez International,37.04%,DIS,The Walt Disney Company,103.66%,SNI,Scripps Networks Interactive Inc.,92.28%,HIG,Hartford Financial Svc.Gp.,43.28%,COST,Costco Wholesale Corp.,11.62%,CA,"CA, Inc.",2.81%,SBUX,Starbucks Corp.
108,102.53%,BBT,BB&T Corporation,104.87%,PH,Parker-Hannifin,97.89%,BIIB,Biogen Inc.,73.24%,SPGI,"S&P Global, Inc.",65.33%,ROP,Roper Technologies,63.80%,ETR,Entergy Corp.,32.37%,LEG,Leggett & Platt,51.52%,ANTM,Anthem Inc.,115.13%,GRMN,Garmin Ltd.,80.80%,SPG,Simon Property Group Inc,63.84%,FE,FirstEnergy Corp,36.49%,NDAQ,"Nasdaq, Inc.",-16.26%,AEP,American Electric Power,3.08%,RHI,Robert Half International,99.22%,HBI,Hanesbrands Inc,46.36%,PH,Parker-Hannifin,36.89%,CL,Colgate-Palmolive,102.68%,CI,CIGNA Corp.,91.93%,CSX,CSX Corp.,43.03%,BCR,Bard (C.R.) Inc.,9.80%,DOV,Dover Corp.,1.21%,OMC,Omnicom Group
109,101.67%,UNP,Union Pacific,104.44%,ETFC,E*Trade,97.78%,ECL,Ecolab,72.33%,FOX,Twenty-First Century Fox Class B,64.85%,CSCO,Cisco Systems,62.28%,PPL,PPL Corp.,32.03%,PXD,Pioneer Natural Resources,51.25%,FL,Foot Locker Inc,114.95%,AVB,"AvalonBay Communities, Inc.",80.55%,EQT,EQT Corporation,63.45%,KSU,Kansas City Southern,35.01%,HUM,Humana Inc.,-16.42%,NRG,NRG Energy,2.88%,LSI,LSI Corporation,98.63%,AAP,Advance Auto Parts,46.27%,HON,Honeywell Int'l Inc.,36.47%,TRV,The Travelers Companies Inc.,102.64%,COG,Cabot Oil & Gas,91.86%,AMGN,Amgen Inc,42.86%,GGP,General Growth Properties Inc.,9.52%,XRAY,Dentsply Sirona,-0.65%,APC,Anadarko Petroleum Corp
110,101.40%,AXP,American Express Co,103.69%,DHR,Danaher Corp.,96.11%,PWR,Quanta Services Inc.,70.80%,ANF,Abercrombie & Fitch,64.33%,MDT,Medtronic plc,62.05%,ESS,"Essex Property Trust, Inc.",30.86%,MAA,Mid-America Apartments,51.16%,UTX,United Technologies,114.83%,WAT,Waters Corporation,80.41%,PWR,Quanta Services Inc.,63.04%,OKE,ONEOK,34.97%,IT,Gartner Inc,-16.74%,MO,Altria Group Inc,2.75%,MCHP,Microchip Technology,98.51%,PRGO,Perrigo,45.94%,PNW,Pinnacle West Capital,36.23%,CINF,Cincinnati Financial,102.58%,STI,SunTrust Banks,91.48%,PFG,Principal Financial Group,42.81%,MNK,Mallinckrodt,9.45%,SEE,Sealed Air,-0.73%,NOV,National Oilwell Varco Inc.
111,100.86%,BMY,Bristol-Myers Squibb,103.37%,ETN,Eaton Corporation,96.11%,AAPL,Apple Inc.,70.59%,MCD,McDonald's Corp.,64.06%,FTR,Frontier Communications,61.63%,GPC,Genuine Parts,30.56%,MKC,McCormick & Co.,50.80%,FAST,Fastenal Co,114.37%,LH,Laboratory Corp. of America Holding,80.40%,GILD,Gilead Sciences,62.84%,MCK,McKesson Corp.,34.79%,FOXA,Twenty-First Century Fox Class A,-17.03%,ITT,ITT Corp.,2.73%,IT,Gartner Inc,98.49%,GT,Goodyear Tire & Rubber,45.73%,DOV,Dover Corp.,35.87%,EQT,EQT Corporation,102.51%,SLM,SLM Corporation,91.31%,TDG,TransDigm Group,42.29%,KLAC,KLA-Tencor Corp.,8.54%,BRK.B,Berkshire Hathaway,-1.34%,LVLT,Level 3 Communications
112,100.83%,WAT,Waters Corporation,103.20%,WMB,Williams Cos.,96.07%,SBUX,Starbucks Corp.,70.52%,FOXA,Twenty-First Century Fox Class A,64.06%,AVB,"AvalonBay Communities, Inc.",61.57%,HOLX,Hologic,30.38%,BCR,Bard (C.R.) Inc.,50.39%,VNO,Vornado Realty Trust,112.02%,MCO,Moody's Corp,79.48%,GNW,Genworth Financial,61.60%,CI,CIGNA Corp.,34.28%,PKG,Packaging Corporation of America,-17.08%,LLY,Lilly (Eli) & Co.,2.73%,WIN,Windstream Holdings Inc,98.26%,RJF,Raymond James Financial Inc.,44.85%,VZ,Verizon Communications,35.39%,HCP,HCP Inc.,102.26%,HRS,Harris Corporation,91.31%,HRB,Block H&R,42.28%,CCL,Carnival Corp.,6.57%,WFC,Wells Fargo,-2.19%,KMB,Kimberly-Clark
113,100.23%,AVP,Avon Products,102.63%,HIG,Hartford Financial Svc.Gp.,95.96%,CAH,Cardinal Health,68.54%,AVY,Avery Dennison Corp,63.19%,INTU,Intuit,61.19%,SWN,Southwestern Energy,29.99%,BWA,BorgWarner,49.89%,ITT,ITT Corp.,111.87%,SPG,Simon Property Group Inc,79.34%,PRU,Prudential Financial,61.23%,AES,AES Corp,34.14%,DISH,Dish Network,-17.33%,AYI,Acuity Brands Inc,2.68%,JNJ,Johnson & Johnson,97.54%,TGNA,"Tegna, Inc.",44.58%,AIZ,Assurant Inc,35.21%,RE,Everest Re,101.67%,FISV,Fiserv Inc,91.29%,FDX,FedEx Corporation,42.20%,ISRG,Intuitive Surgical Inc.,6.40%,CTSH,Cognizant Technology Solutions,-2.99%,CPB,Campbell Soup
114,99.32%,DVN,Devon Energy,102.27%,CPB,Campbell Soup,95.85%,MYL,Mylan N.V.,63.81%,ORLY,O'Reilly Automotive,62.98%,AXP,American Express Co,59.83%,PCAR,PACCAR Inc.,29.57%,HRL,Hormel Foods Corp.,49.88%,BEN,Franklin Resources,111.73%,XEC,Cimarex Energy,78.97%,AIZ,Assurant Inc,61.22%,HAL,Halliburton Co.,33.96%,CTSH,Cognizant Technology Solutions,-17.38%,KMB,Kimberly-Clark,2.57%,DIS,The Walt Disney Company,97.40%,AME,AMETEK Inc,44.53%,ANF,Abercrombie & Fitch,34.96%,IBM,International Business Machines,101.53%,LOW,Lowe's Cos.,91.20%,NKE,Nike,42.13%,PCG,PG&E Corp.,6.39%,LUK,Leucadia National Corp.,-4.72%,ORLY,O'Reilly Automotive
115,99.21%,TXT,Textron Inc.,101.92%,UNM,Unum Group,95.60%,RHI,Robert Half International,63.80%,IRM,Iron Mountain Incorporated,60.55%,D,Dominion Energy,59.63%,XEL,Xcel Energy Inc,29.43%,INTU,Intuit,49.85%,AFL,AFLAC Inc,111.30%,XRX,Xerox Corp.,78.84%,AME,AMETEK Inc,60.72%,NBL,Noble Energy Inc,33.50%,SHW,Sherwin-Williams,-18.32%,DNR,Denbury Resources,2.48%,ADP,Automatic Data Processing,96.90%,DFS,Discover Financial Services,44.39%,COST,Costco Wholesale Corp.,34.87%,AAL,American Airlines Group,100.90%,LEN,Lennar Corp.,90.30%,GLW,Corning Inc.,42.05%,CRM,Salesforce.com,6.25%,BF.B,Brown-Forman Corp.,-5.53%,BMY,Bristol-Myers Squibb
116,99.14%,DHI,D. R. Horton,100.91%,DOV,Dover Corp.,92.30%,AMGN,Amgen Inc,63.03%,AMD,Advanced Micro Devices,60.11%,ADP,Automatic Data Processing,59.26%,MON,Monsanto Co.,29.43%,SVU,Supervalu Inc.,49.65%,MMM,3M Company,111.02%,UNH,United Health Group Inc.,76.96%,OI,Owens-Illinois,60.33%,MCO,Moody's Corp,33.39%,AMP,Ameriprise Financial,-18.58%,VMC,Vulcan Materials,2.47%,GPS,Gap Inc.,96.80%,MCHP,Microchip Technology,43.99%,IDXX,IDEXX Laboratories,34.62%,RTN,Raytheon Co.,100.87%,TWX,Time Warner Inc.,89.61%,RHI,Robert Half International,42.02%,DRI,Darden Restaurants,5.91%,AKAM,Akamai Technologies Inc,-6.01%,FRT,Federal Realty Investment Trust
117,99.03%,WFC,Wells Fargo,99.24%,RF,Regions Financial Corp.,91.67%,MRK,Merck & Co.,62.28%,TAP,Molson Coors Brewing Company,58.99%,BXP,Boston Properties,59.04%,ABT,Abbott Laboratories,29.37%,BBY,Best Buy Co. Inc.,49.56%,AVP,Avon Products,110.40%,SLG,SL Green Realty,76.64%,TPR,"Tapestry, Inc.",60.28%,ALXN,Alexion Pharmaceuticals,33.37%,HAS,Hasbro Inc.,-18.66%,CPB,Campbell Soup,2.03%,CTL,CenturyLink Inc,96.70%,IFF,Intl Flavors & Fragrances,43.76%,DLR,Digital Realty,34.59%,PNW,Pinnacle West Capital,100.16%,UAL,United Continental Holdings,88.82%,INTC,Intel Corp.,41.75%,CELG,Celgene Corp.,5.24%,APA,Apache Corporation,-7.69%,APA,Apache Corporation
118,98.16%,FHN,First Horizon,98.61%,PG,Procter & Gamble,91.29%,WFC,Wells Fargo,60.32%,AES,AES Corp,58.76%,OXY,Occidental Petroleum,58.89%,SUN,Sunoco Inc.,28.17%,ENDP,Endo International plc,49.37%,DVN,Devon Energy,109.81%,ETN,Eaton Corporation,73.82%,BXP,Boston Properties,60.25%,FMC,FMC Corporation,32.13%,AON,Aon plc,-19.14%,CNP,CenterPoint Energy,1.98%,ABT,Abbott Laboratories,96.62%,ESRX,Express Scripts,43.22%,FRT,Federal Realty Investment Trust,34.19%,VTR,Ventas Inc,100.08%,VFC,V.F. Corp.,88.62%,NCLH,Norwegian Cruise Line,41.40%,NWL,Newell Brands,4.76%,KO,Coca-Cola Company,-8.70%,PSA,Public Storage
119,98.11%,KSS,Kohl's,98.29%,PBI,Pitney Bowes Inc,90.32%,ADP,Automatic Data Processing,59.59%,URBN,Urban Outfitters,57.68%,SBUX,Starbucks Corp.,57.71%,SLG,SL Green Realty,27.82%,EA,Electronic Arts,48.99%,AN,AutoNation Inc,109.40%,KIM,Kimco Realty,72.98%,AMG,Affiliated Managers Group Inc,59.89%,ES,Eversource Energy,32.10%,PEP,PepsiCo Inc.,-19.20%,EXPD,Expeditors International,1.43%,AMT,American Tower Corp A,96.55%,ORLY,O'Reilly Automotive,42.46%,AMG,Affiliated Managers Group Inc,34.13%,BMY,Bristol-Myers Squibb,99.79%,RTN,Raytheon Co.,88.42%,TGNA,"Tegna, Inc.",41.00%,DIS,The Walt Disney Company,4.55%,XOM,Exxon Mobil Corp.,-8.83%,SUN,Sunoco Inc.
120,97.10%,DOV,Dover Corp.,97.01%,JPM,JPMorgan Chase & Co.,88.66%,MTD,Mettler Toledo,58.53%,C,Citigroup Inc.,57.40%,EQR,Equity Residential,57.69%,GGP,General Growth Properties Inc.,27.80%,ALB,Albemarle Corp,48.86%,SLG,SL Green Realty,107.18%,BEN,Franklin Resources,72.24%,BA,Boeing Company,59.81%,CMS,CMS Energy,32.06%,IRM,Iron Mountain Incorporated,-19.25%,MDLZ,Mondelez International,0.95%,SBAC,SBA Communications,95.99%,NBR,Nabors Industries,42.29%,BA,Boeing Company,34.07%,IDXX,IDEXX Laboratories,99.59%,ALK,Alaska Air Group Inc,86.15%,NSC,Norfolk Southern Corp.,40.23%,RSG,Republic Services Inc,4.42%,SHW,Sherwin-Williams,-9.65%,GNW,Genworth Financial
121,96.99%,HAL,Halliburton Co.,97.01%,SWK,Stanley Black & Decker,87.47%,EA,Electronic Arts,56.34%,LLL,L-3 Communications Holdings,55.75%,PDCO,Patterson Companies,57.11%,SBUX,Starbucks Corp.,27.76%,ARE,Alexandria Real Estate Equities Inc,48.66%,MKC,McCormick & Co.,106.24%,MCD,McDonald's Corp.,71.94%,ROK,Rockwell Automation Inc.,59.71%,PRU,Prudential Financial,32.04%,AES,AES Corp,-19.41%,CA,"CA, Inc.",0.82%,FLS,Flowserve Corporation,95.84%,ABC,AmerisourceBergen Corp,42.16%,DISCK,Discovery Communications,34.04%,S,Sprint Nextel Corp.,99.07%,MS,Morgan Stanley,85.98%,ARNC,Arconic Inc,39.92%,HCN,Welltower Inc.,3.32%,EXC,Exelon Corp.,-9.88%,NCLH,Norwegian Cruise Line
122,96.70%,UNM,Unum Group,96.90%,HBAN,Huntington Bancshares,87.09%,NYT,The New York Times Co.,55.47%,WY,Weyerhaeuser Corp.,55.38%,ABC,AmerisourceBergen Corp,56.84%,RL,Polo Ralph Lauren Corp.,27.11%,ED,Consolidated Edison,48.43%,EXC,Exelon Corp.,106.19%,NKE,Nike,71.87%,FRT,Federal Realty Investment Trust,59.34%,CNX,Consol Energy,32.01%,VFC,V.F. Corp.,-19.68%,GD,General Dynamics,0.77%,PBCT,People's United Financial,95.45%,AZO,AutoZone Inc,41.87%,CTSH,Cognizant Technology Solutions,33.91%,EOG,EOG Resources,98.98%,PXD,Pioneer Natural Resources,85.84%,XEC,Cimarex Energy,39.80%,MTD,Mettler Toledo,1.03%,GHC,Graham Holdings,-13.21%,HRB,Block H&R
123,96.58%,MAR,Marriott Int'l.,96.79%,SBUX,Starbucks Corp.,86.81%,CB,Chubb Corp,55.15%,NTRS,Northern Trust Corp.,55.33%,KLAC,KLA-Tencor Corp.,56.53%,FLS,Flowserve Corporation,26.86%,MDLZ,Mondelez International,48.07%,TSS,Total System Services,105.82%,GILD,Gilead Sciences,71.38%,EXC,Exelon Corp.,59.23%,CF,CF Industries Holdings Inc,31.36%,SNA,Snap-On Inc.,-19.81%,TROW,T. Rowe Price Group,0.75%,SPG,Simon Property Group Inc,94.87%,DISH,Dish Network,41.75%,SPGI,"S&P Global, Inc.",33.90%,DPS,Dr Pepper Snapple Group,98.37%,TXT,Textron Inc.,85.38%,FIS,Fidelity National Information Services,39.43%,GT,Goodyear Tire & Rubber,0.46%,TPR,"Tapestry, Inc.",-14.17%,WBA,Walgreens Boots Alliance
124,96.33%,XLNX,Xilinx Inc,96.79%,TMK,Torchmark Corp.,85.77%,EXC,Exelon Corp.,53.25%,DHR,Danaher Corp.,55.21%,ES,Eversource Energy,56.24%,HP,Helmerich & Payne,26.67%,RSG,Republic Services Inc,46.56%,SIG,Signet Jewelers,105.23%,CI,CIGNA Corp.,70.90%,APA,Apache Corporation,58.96%,GLW,Corning Inc.,31.21%,MAT,Mattel Inc.,-19.93%,RE,Everest Re,0.71%,MKC,McCormick & Co.,94.40%,ADSK,Autodesk Inc,41.56%,IRM,Iron Mountain Incorporated,33.77%,VZ,Verizon Communications,98.18%,LMT,Lockheed Martin Corp.,85.34%,MMM,3M Company,39.21%,MAR,Marriott Int'l.,0.21%,UTX,United Technologies,-19.11%,CHK,Chesapeake Energy
125,96.25%,KMB,Kimberly-Clark,96.00%,KR,Kroger Co.,85.55%,SLM,SLM Corporation,52.65%,HON,Honeywell Int'l Inc.,54.83%,MUR,Murphy Oil,56.17%,LOW,Lowe's Cos.,26.46%,HBAN,Huntington Bancshares,46.52%,SYY,Sysco Corp.,104.92%,M,Macy's Inc.,70.60%,KSU,Kansas City Southern,58.85%,GPN,Global Payments Inc,30.47%,VLO,Valero Energy,-20.07%,ITW,Illinois Tool Works,0.67%,COO,The Cooper Companies,93.81%,ALK,Alaska Air Group Inc,41.53%,GRMN,Garmin Ltd.,33.20%,CNP,CenterPoint Energy,97.57%,VIAB,Viacom Inc.,85.06%,BDX,Becton Dickinson,39.20%,MDT,Medtronic plc,-3.29%,KMX,Carmax Inc,-19.80%,DNR,Denbury Resources
126,95.74%,BEN,Franklin Resources,95.66%,PNC,PNC Financial Services,84.97%,AXP,American Express Co,52.18%,EXC,Exelon Corp.,54.54%,XRAY,Dentsply Sirona,56.12%,GD,General Dynamics,26.35%,OXY,Occidental Petroleum,46.51%,TXT,Textron Inc.,104.69%,NVDA,Nvidia Corporation,70.31%,CMS,CMS Energy,58.83%,IT,Gartner Inc,29.84%,RJF,Raymond James Financial Inc.,-20.12%,DTE,DTE Energy,0.59%,JPM,JPMorgan Chase & Co.,93.80%,NWL,Newell Brands,41.27%,KEY,KeyCorp,32.72%,TMK,Torchmark Corp.,96.96%,APH,Amphenol Corp,84.07%,MSFT,Microsoft Corp.,38.77%,DGX,Quest Diagnostics,-3.53%,LEN,Lennar Corp.,-21.01%,CTL,CenturyLink Inc
127,95.54%,NBL,Noble Energy Inc,93.88%,GGP,General Growth Properties Inc.,84.97%,SYK,Stryker Corp.,52.02%,NYT,The New York Times Co.,53.78%,PHM,Pulte Homes Inc.,56.03%,ITT,ITT Corp.,26.32%,KSU,Kansas City Southern,46.39%,DRE,Duke Realty Corp,103.11%,FRT,Federal Realty Investment Trust,70.02%,JBHT,J. B. Hunt Transport Services,58.46%,STX,Seagate Technology,29.27%,AZO,AutoZone Inc,-20.32%,NDAQ,"Nasdaq, Inc.",0.56%,CPB,Campbell Soup,93.57%,ESV,Ensco plc,41.24%,SRCL,Stericycle Inc,32.69%,CELG,Celgene Corp.,95.94%,MYL,Mylan N.V.,83.94%,V,Visa Inc.,38.70%,GOOGL,Alphabet Inc Class A,-4.82%,TROW,T. Rowe Price Group,-21.04%,ESRX,Express Scripts
128,95.15%,COST,Costco Wholesale Corp.,93.73%,HSY,The Hershey Company,84.34%,BCR,Bard (C.R.) Inc.,51.87%,FTR,Frontier Communications,53.45%,SYMC,Symantec Corp.,55.21%,JCI,Johnson Controls Inc,25.89%,SLG,SL Green Realty,46.15%,SYK,Stryker Corp.,102.01%,AMG,Affiliated Managers Group Inc,69.40%,VNO,Vornado Realty Trust,58.45%,ESV,Ensco plc,28.71%,HBI,Hanesbrands Inc,-20.33%,COP,ConocoPhillips,0.50%,JCI,Johnson Controls Inc,93.35%,BBBY,Bed Bath & Beyond,41.13%,CTAS,Cintas Corporation,32.21%,GPC,Genuine Parts,94.16%,GM,General Motors,83.79%,PCLN,Priceline.com Inc,38.50%,BXP,Boston Properties,-5.19%,GGP,General Growth Properties Inc.,-24.89%,DISCA,Discovery Communications
129,95.06%,PGR,Progressive Corp.,93.35%,HOG,Harley-Davidson,83.83%,EXPD,Expeditors International,51.72%,ANSS,ANSYS,53.35%,GS,Goldman Sachs Group,54.78%,SRE,Sempra Energy,25.81%,COO,The Cooper Companies,45.81%,CCL,Carnival Corp.,101.24%,FLR,Fluor Corp.,69.30%,PHM,Pulte Homes Inc.,58.29%,CNP,CenterPoint Energy,28.32%,ITT,ITT Corp.,-21.33%,XLNX,Xilinx Inc,0.25%,HCP,HCP Inc.,93.07%,GOOGL,Alphabet Inc Class A,40.69%,MTD,Mettler Toledo,32.18%,CCE,Coca-Cola Enterprises,94.06%,WYNN,Wynn Resorts,83.68%,MGM,MGM Resorts International,38.48%,CAH,Cardinal Health,-6.29%,QCOM,QUALCOMM Inc.,-26.00%,MYL,Mylan N.V.
130,94.42%,CAH,Cardinal Health,92.67%,AON,Aon plc,83.26%,MTB,M&T Bank Corp.,48.91%,REGN,Regeneron,52.73%,AIV,Apartment Investment & Management,54.57%,MAC,Macerich,25.71%,MTB,M&T Bank Corp.,45.69%,WLTW,Willis Towers Watson,100.81%,BIIB,Biogen Inc.,68.96%,MUR,Murphy Oil,57.68%,MGM,MGM Resorts International,27.89%,BA,Boeing Company,-21.66%,FRT,Federal Realty Investment Trust,0.23%,DFS,Discover Financial Services,93.07%,GOOG,Alphabet Inc Class C,40.69%,KLAC,KLA-Tencor Corp.,32.09%,FOSL,Fossil Group,93.30%,ENDP,Endo International plc,83.19%,AOS,A.O. Smith,38.48%,ROP,Roper Technologies,-9.05%,NCLH,Norwegian Cruise Line,-29.57%,CAH,Cardinal Health
131,93.35%,MCHP,Microchip Technology,92.47%,ECL,Ecolab,83.16%,PHM,Pulte Homes Inc.,48.44%,JPM,JPMorgan Chase & Co.,52.33%,ESRX,Express Scripts,53.90%,GIS,General Mills,25.54%,ROK,Rockwell Automation Inc.,45.48%,JEC,Jacobs Engineering Group,100.66%,BLK,BlackRock,68.78%,DHI,D. R. Horton,56.33%,PLD,Prologis,26.93%,TJX,TJX Companies Inc.,-22.62%,MMM,3M Company,0.12%,REGN,Regeneron,91.85%,IDXX,IDEXX Laboratories,39.70%,AMT,American Tower Corp A,31.60%,D,Dominion Energy,93.26%,HRB,Block H&R,83.15%,FTR,Frontier Communications,38.45%,HSIC,Henry Schein,-13.37%,RHI,Robert Half International,-30.49%,ANF,Abercrombie & Fitch
132,92.47%,AIV,Apartment Investment & Management,91.35%,VLO,Valero Energy,81.63%,INTC,Intel Corp.,47.72%,LUV,Southwest Airlines,51.91%,SCHW,Charles Schwab Corporation,53.34%,MUR,Murphy Oil,25.52%,GPC,Genuine Parts,45.32%,ESS,"Essex Property Trust, Inc.",100.11%,IR,Ingersoll-Rand PLC,68.27%,MLM,Martin Marietta Materials,55.87%,NEE,NextEra Energy,26.86%,RSG,Republic Services Inc,-22.84%,AMT,American Tower Corp A,-0.05%,APH,Amphenol Corp,91.72%,CCL,Carnival Corp.,39.50%,JCP,J.C. Penney,31.47%,JWN,Nordstrom,92.85%,LVLT,Level 3 Communications,83.10%,MDT,Medtronic plc,38.22%,SWK,Stanley Black & Decker,-13.87%,APC,Anadarko Petroleum Corp,-31.25%,DF,Dean Foods
