,1995-1997,ticker,company,1996-1998,ticker,company,1997-1999,ticker,company,1998-2000,ticker,company,1999-2001,ticker,company,2000-2002,ticker,company,2001-2003,ticker,company,2002-2004,ticker,company,2003-2005,ticker,company,2004-2006,ticker,company,2005-2007,ticker,company,2006-2008,ticker,company,2007-2009,ticker,company,2008-2010,ticker,company,2009-2011,ticker,company,2010-2012,ticker,company,2011-2013,ticker,company,2012-2014,ticker,company,2013-2015,ticker,company,2014-2016,ticker,company,2015-2017,ticker,company,2016-2018,ticker,company
10,277.98%,INCY,Incyte,239.75%,NOV,National Oilwell Varco Inc.,306.79%,ETFC,E*Trade,683.33%,AAPL,Apple Inc.,385.51%,ALXN,Alexion Pharmaceuticals,189.88%,DHI,D. R. Horton,144.20%,HOLX,Hologic,178.42%,CLF,Cliffs Natural Resources,433.49%,CME,CME Group Inc.,320.80%,RRC,Range Resources Corp.,196.34%,SBAC,SBA Communications,193.21%,GRMN,Garmin Ltd.,56.48%,ESRX,Express Scripts,61.16%,V,Visa Inc.,400.58%,SIG,Signet Jewelers,136.83%,EL,Estee Lauder Cos.,120.76%,STX,Seagate Technology,238.39%,WHR,Whirlpool Corp.,229.91%,AVGO,Broadcom,117.47%,NFLX,Netflix Inc.,58.86%,STZ,Constellation Brands,102.36%,TER,Teradyne
11,272.89%,CSCO,Cisco Systems,228.87%,BIG,Big Lots Inc.,298.63%,SCHW,Charles Schwab Corporation,666.39%,FFIV,F5 Networks,380.67%,VRTX,Vertex Pharmaceuticals Inc,189.21%,LEN,Lennar Corp.,141.40%,SYMC,Symantec Corp.,164.37%,RHT,Red Hat Inc.,424.45%,CLF,Cliffs Natural Resources,313.45%,GOOGL,Alphabet Inc Class A,179.46%,DLR,Digital Realty,186.16%,CMI,Cummins Inc.,49.65%,MCD,McDonald's Corp.,48.59%,F,Ford Motor,374.07%,CBG,CBRE Group,136.47%,FOSL,Fossil Group,120.22%,MA,Mastercard Inc.,237.76%,INCY,Incyte,223.83%,EA,Electronic Arts,115.42%,AYI,Acuity Brands Inc,56.56%,CINF,Cincinnati Financial,96.11%,MAR,Marriott Int'l.
12,262.00%,RDC,Rowan Companies Plc,228.77%,USB,U.S. Bancorp,274.22%,ESRX,Express Scripts,653.36%,ORCL,Oracle Corp.,378.18%,REGN,Regeneron,179.71%,CNX,Consol Energy,134.80%,BLL,Ball Corp,160.21%,GRMN,Garmin Ltd.,421.25%,AMT,American Tower Corp A,313.45%,GOOG,Alphabet Inc Class C,179.02%,AAL,American Airlines Group,184.18%,MON,Monsanto Co.,49.30%,MA,Mastercard Inc.,48.27%,RHT,Red Hat Inc.,364.31%,GNW,Genworth Financial,130.35%,FL,Foot Locker Inc,118.30%,BIIB,Biogen Inc.,221.75%,MU,Micron Technology,219.09%,HBI,Hanesbrands Inc,114.20%,INCY,Incyte,49.52%,EFX,Equifax Inc.,92.57%,TXN,Texas Instruments
13,258.21%,BSX,Boston Scientific,222.26%,PBCT,People's United Financial,272.72%,CTXS,Citrix Systems,476.46%,CSCO,Cisco Systems,362.68%,SBAC,SBA Communications,178.32%,CHK,Chesapeake Energy,130.99%,AN,AutoNation Inc,156.77%,NEM,Newmont Mining Corporation,410.45%,WYNN,Wynn Resorts,272.28%,NDAQ,"Nasdaq, Inc.",176.58%,SWN,Southwestern Energy,175.65%,FLIR,FLIR Systems,45.37%,OI,Owens-Illinois,46.17%,CERN,Cerner,336.94%,INCY,Incyte,129.24%,REGN,Regeneron,118.17%,NSM,National Semiconductor Corp.,219.88%,HBI,Hanesbrands Inc,200.09%,AGN,"Allergan, Inc",112.90%,NVDA,Nvidia Corporation,49.33%,GOOGL,Alphabet Inc Class A,91.87%,PKG,Packaging Corporation of America
14,255.13%,RIG,Transocean,220.00%,INCY,Incyte,272.50%,JBL,Jabil Circuit,471.64%,BIIB,Biogen Inc.,338.15%,NBR,Nabors Industries,178.16%,HSIC,Henry Schein,130.05%,JCP,J.C. Penney,139.22%,GGP,General Growth Properties Inc.,353.63%,FFIV,F5 Networks,265.76%,GRA,W.R. Grace,174.90%,ICE,Intercontinental Exchange,167.03%,NVDA,Nvidia Corporation,37.99%,MON,Monsanto Co.,45.66%,MU,Micron Technology,325.14%,CMI,Cummins Inc.,127.83%,ROST,Ross Stores,113.00%,DFS,Discover Financial Services,215.13%,PHM,Pulte Homes Inc.,193.62%,HPQ,HP Inc.,103.91%,STZ,Constellation Brands,49.33%,RSG,Republic Services Inc,84.58%,RF,Regions Financial Corp.
15,245.65%,NE,Noble Corp,212.82%,RDC,Rowan Companies Plc,268.77%,HD,Home Depot,445.08%,BBY,Best Buy Co. Inc.,304.35%,ORCL,Oracle Corp.,166.71%,UNH,United Health Group Inc.,129.88%,VTR,Ventas Inc,132.84%,JBHT,J. B. Hunt Transport Services,352.65%,AES,AES Corp,251.38%,CLF,Cliffs Natural Resources,163.48%,AAPL,Apple Inc.,164.99%,AAPL,Apple Inc.,37.69%,SRCL,Stericycle Inc,45.21%,AMZN,Amazon.com Inc,322.04%,FOSL,Fossil Group,121.35%,EXR,Extra Space Storage,110.87%,KORS,Michael Kors Holdings,211.04%,TRIP,TripAdvisor,193.09%,FB,"Facebook, Inc.",101.42%,DPS,Dr Pepper Snapple Group,48.80%,HAS,Hasbro Inc.,78.26%,CME,CME Group Inc.
16,241.38%,HOLX,Hologic,212.50%,FOSL,Fossil Group,262.65%,WMT,Wal-Mart Stores,433.14%,SWKS,Skyworks Solutions,287.81%,PKI,PerkinElmer,162.07%,CB,Chubb Corp,124.66%,EBAY,eBay,130.52%,ZBH,Zimmer Biomet Holdings,349.41%,AAPL,Apple Inc.,250.59%,ADSK,Autodesk Inc,156.69%,MRO,Marathon Oil Corp.,149.03%,X,United States Steel Corporation,35.84%,DLTR,Dollar Tree,40.85%,DLR,Digital Realty,312.37%,CRM,Salesforce.com,119.25%,FAST,Fastenal Co,109.27%,LEN,Lennar Corp.,199.04%,KORS,Michael Kors Holdings,186.10%,UAL,United Continental Holdings,98.98%,GPN,Global Payments Inc,48.74%,CAG,Conagra Brands,75.00%,ABBV,AbbVie Inc.
17,237.04%,WDC,Western Digital,208.79%,SCHW,Charles Schwab Corporation,252.58%,NTAP,NetApp,418.72%,XLNX,Xilinx Inc,282.81%,WAT,Waters Corporation,158.30%,RMD,ResMed,118.05%,CTSH,Cognizant Technology Solutions,130.35%,AYI,Acuity Brands Inc,343.73%,CCI,Crown Castle International Corp.,245.04%,DO,Diamond Offshore Drilling,146.47%,GME,GameStop,146.84%,FTI,TechnipFMC,35.64%,ILMN,Illumina Inc,38.18%,ALK,Alaska Air Group Inc,310.63%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,117.27%,ALK,Alaska Air Group Inc,107.45%,TDG,TransDigm Group,187.55%,MPC,Marathon Petroleum,185.10%,CELG,Celgene Corp.,97.24%,REGN,Regeneron,48.58%,CFG,Citizens Financial Group,73.74%,AMZN,Amazon.com Inc
18,234.66%,NKE,Nike,203.51%,ESV,Ensco plc,235.70%,MSFT,Microsoft Corp.,401.19%,TIF,Tiffany & Co.,276.23%,DISH,Dish Network,154.79%,ATVI,Activision Blizzard,117.93%,FOSL,Fossil Group,129.81%,SWN,Southwestern Energy,342.71%,SWN,Southwestern Energy,227.53%,DNR,Denbury Resources,145.88%,PWR,Quanta Services Inc.,144.05%,DNR,Denbury Resources,34.41%,ISRG,Intuitive Surgical Inc.,37.66%,NTAP,NetApp,305.81%,CTSH,Cognizant Technology Solutions,117.00%,WYNN,Wynn Resorts,106.44%,DISH,Dish Network,179.01%,WDC,Western Digital,183.53%,VRTX,Vertex Pharmaceuticals Inc,96.89%,ORLY,O'Reilly Automotive,46.89%,TSS,Total System Services,73.61%,APH,Amphenol Corp
19,223.24%,DLTR,Dollar Tree,198.59%,RJF,Raymond James Financial Inc.,234.60%,KSU,Kansas City Southern,385.53%,CTXS,Citrix Systems,258.75%,VAR,Varian Medical Systems,153.61%,CERN,Cerner,115.42%,GPN,Global Payments Inc,126.35%,LEN,Lennar Corp.,318.95%,VRSN,Verisign Inc.,220.71%,CBG,CBRE Group,139.63%,ISRG,Intuitive Surgical Inc.,135.43%,PRGO,Perrigo,34.02%,RRC,Range Resources Corp.,33.68%,DRI,Darden Restaurants,304.57%,KMX,Carmax Inc,114.14%,PCLN,Priceline.com Inc,105.27%,CBS,CBS Corp.,178.33%,AGN,"Allergan, Inc",182.01%,ALK,Alaska Air Group Inc,95.57%,MMI,Motorola Mobility,45.80%,JPM,JPMorgan Chase & Co.,73.17%,FLIR,FLIR Systems
20,217.04%,TJX,TJX Companies Inc.,198.00%,DNR,Denbury Resources,233.24%,CTL,CenturyLink Inc,354.35%,ETFC,E*Trade,257.18%,GLW,Corning Inc.,149.99%,THC,Tenet Healthcare,108.99%,MHK,Mohawk Industries,126.07%,RCL,Royal Caribbean Cruises Ltd,299.85%,JNPR,Juniper Networks,220.12%,EOG,EOG Resources,138.85%,GOOGL,Alphabet Inc Class A,132.18%,OI,Owens-Illinois,32.91%,OXY,Occidental Petroleum,33.56%,CTSH,Cognizant Technology Solutions,293.41%,NTAP,NetApp,109.73%,ORLY,O'Reilly Automotive,102.68%,GILD,Gilead Sciences,175.70%,VLO,Valero Energy,179.83%,UAA,Under Armour,91.67%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,44.54%,ORLY,O'Reilly Automotive,70.40%,ATVI,Activision Blizzard
21,209.20%,TSS,Total System Services,195.28%,EXPD,Expeditors International,232.89%,USB,U.S. Bancorp,343.88%,AMGN,Amgen Inc,245.81%,NOV,National Oilwell Varco Inc.,143.79%,DNB,Dun & Bradstreet,106.60%,HRB,Block H&R,121.30%,VTR,Ventas Inc,297.83%,X,United States Steel Corporation,202.22%,SUN,Sunoco Inc.,138.85%,GOOG,Alphabet Inc Class C,127.51%,MGM,MGM Resorts International,32.87%,AON,Aon plc,32.34%,HAS,Hasbro Inc.,284.18%,CXO,Concho Resources,108.80%,CXO,Concho Resources,102.14%,MNST,Monster Beverage,175.10%,HCA,HCA Holdings,177.39%,STZ,Constellation Brands,91.51%,FB,"Facebook, Inc.",44.25%,CPB,Campbell Soup,70.02%,CNP,CenterPoint Energy
