,1995-2001,ticker,company,1996-2002,ticker,company,1997-2003,ticker,company,1998-2004,ticker,company,1999-2005,ticker,company,2000-2006,ticker,company,2001-2007,ticker,company,2002-2008,ticker,company,2003-2009,ticker,company,2004-2010,ticker,company,2005-2011,ticker,company,2006-2012,ticker,company,2007-2013,ticker,company,2008-2014,ticker,company,2009-2015,ticker,company,2010-2016,ticker,company,2011-2017,ticker,company,2012-2018,ticker,company
122,344.10%,KR,Kroger Co.,210.48%,DRI,Darden Restaurants,133.16%,SCHW,Charles Schwab Corporation,138.22%,FRT,Federal Realty Investment Trust,173.33%,PNR,Pentair Ltd.,225.75%,ETR,Entergy Corp.,220.87%,OI,Owens-Illinois,194.64%,MO,Altria Group Inc,91.15%,R,Ryder Systems Inc.,90.27%,EIX,Edison Int'l,94.44%,SNA,Snap-On Inc.,93.80%,CL,Colgate-Palmolive,95.88%,UAA,Under Armour,113.35%,SNI,Scripps Networks Interactive Inc.,348.75%,MTD,Mettler Toledo,157.31%,FRT,Federal Realty Investment Trust,130.33%,FOXA,Twenty-First Century Fox Class A,206.90%,SEE,Sealed Air
123,339.33%,JPM,JPMorgan Chase & Co.,209.75%,LLY,Lilly (Eli) & Co.,132.81%,ORCL,Oracle Corp.,137.87%,STZ,Constellation Brands,173.09%,PX,Praxair Inc.,224.99%,RJF,Raymond James Financial Inc.,220.50%,SRE,Sempra Energy,193.52%,RHT,Red Hat Inc.,90.93%,REG,Regency Centers Corporation,89.25%,TMO,Thermo Fisher Scientific,93.89%,AVB,"AvalonBay Communities, Inc.",93.55%,GIS,General Mills,95.31%,ETN,Eaton Corporation,110.42%,MKC,McCormick & Co.,343.90%,AZO,AutoZone Inc,155.99%,AIG,"American International Group, Inc.",130.28%,EOG,EOG Resources,206.82%,FII,Federated Investors
124,337.25%,AIV,Apartment Investment & Management,209.36%,PGR,Progressive Corp.,130.90%,BCR,Bard (C.R.) Inc.,137.58%,MMM,3M Company,172.71%,MET,MetLife Inc.,223.72%,SRE,Sempra Energy,219.96%,DNB,Dun & Bradstreet,191.95%,RCL,Royal Caribbean Cruises Ltd,89.31%,DGX,Quest Diagnostics,88.68%,AET,Aetna Inc,93.73%,SPG,Simon Property Group Inc,91.83%,NSC,Norfolk Southern Corp.,93.97%,DG,Dollar General,110.32%,ANSS,ANSYS,342.99%,EQIX,Equinix,155.41%,ADBE,Adobe Systems Inc,129.12%,MAR,Marriott Int'l.,205.46%,ZION,Zions Bancorp
125,332.00%,RDC,Rowan Companies Plc,207.98%,FLIR,FLIR Systems,130.77%,CAH,Cardinal Health,137.21%,TGT,Target Corp.,169.22%,ZBH,Zimmer Biomet Holdings,223.10%,NFLX,Netflix Inc.,217.99%,BWA,BorgWarner,187.31%,HCP,HCP Inc.,89.07%,RTN,Raytheon Co.,88.53%,ADBE,Adobe Systems Inc,93.05%,ETN,Eaton Corporation,90.91%,ABC,AmerisourceBergen Corp,93.88%,RL,Polo Ralph Lauren Corp.,110.12%,ETN,Eaton Corporation,342.74%,SPG,Simon Property Group Inc,153.90%,VRSK,Verisk Analytics,128.68%,ADI,"Analog Devices, Inc.",202.92%,WDC,Western Digital
126,329.17%,PWR,Quanta Services Inc.,204.29%,VAR,Varian Medical Systems,129.41%,MYL,Mylan N.V.,136.73%,YUM,Yum! Brands Inc,168.07%,ETR,Entergy Corp.,222.41%,BWA,BorgWarner,217.35%,DLR,Digital Realty,187.01%,VNO,Vornado Realty Trust,87.45%,OI,Owens-Illinois,87.92%,XOM,Exxon Mobil Corp.,92.10%,HCP,HCP Inc.,89.80%,AGN,"Allergan, Inc",93.04%,SNA,Snap-On Inc.,109.92%,GIS,General Mills,341.89%,NWL,Newell Brands,153.84%,BCR,Bard (C.R.) Inc.,128.26%,MCHP,Microchip Technology,202.83%,RHT,Red Hat Inc.
127,327.85%,CMA,Comerica Inc.,204.12%,JNJ,Johnson & Johnson,128.69%,AIG,"American International Group, Inc.",136.56%,ZBH,Zimmer Biomet Holdings,166.18%,FII,Federated Investors,221.90%,SO,Southern Co.,215.41%,ESS,"Essex Property Trust, Inc.",185.26%,IRM,Iron Mountain Incorporated,84.22%,PKI,PerkinElmer,86.86%,CL,Colgate-Palmolive,90.72%,EL,Estee Lauder Cos.,89.59%,TPR,"Tapestry, Inc.",92.23%,SPG,Simon Property Group Inc,109.08%,DISH,Dish Network,337.12%,CXO,Concho Resources,151.97%,HAS,Hasbro Inc.,127.84%,SIG,Signet Jewelers,199.73%,MGM,MGM Resorts International
128,327.51%,ABC,AmerisourceBergen Corp,201.64%,WFC,Wells Fargo,127.22%,PGR,Progressive Corp.,136.21%,LUK,Leucadia National Corp.,165.17%,BSX,Boston Scientific,220.71%,CBG,CBRE Group,214.56%,BEN,Franklin Resources,182.62%,HCN,Welltower Inc.,84.18%,BWA,BorgWarner,86.80%,ORCL,Oracle Corp.,90.48%,CB,Chubb Corp,88.89%,TIF,Tiffany & Co.,91.77%,MKC,McCormick & Co.,108.43%,QCOM,QUALCOMM Inc.,335.60%,CMS,CMS Energy,151.30%,GE,General Electric,127.81%,SPG,Simon Property Group Inc,199.09%,HUM,Humana Inc.
129,325.19%,PNC,PNC Financial Services,201.16%,UTX,United Technologies,125.55%,ABC,AmerisourceBergen Corp,133.04%,COO,The Cooper Companies,164.74%,RDC,Rowan Companies Plc,220.36%,PPL,PPL Corp.,214.36%,ROP,Roper Technologies,179.64%,AIZ,Assurant Inc,83.11%,FE,FirstEnergy Corp,86.18%,RSG,Republic Services Inc,90.41%,TJX,TJX Companies Inc.,88.84%,PH,Parker-Hannifin,91.69%,CSX,CSX Corp.,108.23%,TMK,Torchmark Corp.,335.22%,NOC,Northrop Grumman Corp.,150.73%,GOOGL,Alphabet Inc Class A,126.90%,RSG,Republic Services Inc,198.72%,MMC,Marsh & McLennan
130,322.95%,IPG,Interpublic Group,197.65%,ABT,Abbott Laboratories,125.45%,GGP,General Growth Properties Inc.,132.91%,FII,Federated Investors,163.97%,NUE,Nucor Corp.,219.70%,O,Realty Income Corporation,214.21%,AMG,Affiliated Managers Group Inc,176.66%,XRAY,Dentsply Sirona,80.56%,LSI,LSI Corporation,85.51%,AZO,AutoZone Inc,90.13%,CCE,Coca-Cola Enterprises,88.53%,MON,Monsanto Co.,90.22%,DPS,Dr Pepper Snapple Group,107.28%,THC,Tenet Healthcare,334.96%,DAL,Delta Air Lines,149.75%,KIM,Kimco Realty,124.68%,RF,Regions Financial Corp.,198.32%,CSX,CSX Corp.
131,320.21%,JNJ,Johnson & Johnson,196.56%,GD,General Dynamics,125.25%,MKC,McCormick & Co.,132.21%,CNX,Consol Energy,162.76%,ANDV,Andeavor,219.14%,LUK,Leucadia National Corp.,211.86%,PRU,Prudential Financial,176.52%,ADBE,Adobe Systems Inc,77.61%,VFC,V.F. Corp.,83.89%,QCOM,QUALCOMM Inc.,89.58%,PCAR,PACCAR Inc.,88.33%,PM,Philip Morris International,90.02%,CTSH,Cognizant Technology Solutions,106.42%,FOXA,Twenty-First Century Fox Class A,330.60%,VIAB,Viacom Inc.,149.54%,ROK,Rockwell Automation Inc.,124.45%,JNJ,Johnson & Johnson,196.64%,ROP,Roper Technologies
132,320.04%,PBCT,People's United Financial,195.22%,BLK,BlackRock,124.75%,FHN,First Horizon,131.53%,XRAY,Dentsply Sirona,162.50%,EQR,Equity Residential,216.18%,LMT,Lockheed Martin Corp.,211.65%,CHD,Church & Dwight,175.85%,GPN,Global Payments Inc,76.90%,CXO,Concho Resources,83.88%,AYI,Acuity Brands Inc,87.98%,FRT,Federal Realty Investment Trust,88.05%,ESS,"Essex Property Trust, Inc.",89.93%,VRSN,Verisign Inc.,106.41%,GPS,Gap Inc.,327.29%,RL,Polo Ralph Lauren Corp.,149.12%,MGM,MGM Resorts International,122.92%,O,Realty Income Corporation,195.91%,PPG,PPG Industries
133,317.94%,EBAY,eBay,194.97%,ECL,Ecolab,123.84%,XLNX,Xilinx Inc,130.60%,HCN,Welltower Inc.,162.42%,MMM,3M Company,215.79%,EXPD,Expeditors International,208.78%,NFLX,Netflix Inc.,175.83%,ITT,ITT Corp.,76.55%,KR,Kroger Co.,83.40%,HCN,Welltower Inc.,87.78%,KO,Coca-Cola Company,87.17%,MKC,McCormick & Co.,87.59%,ALB,Albemarle Corp,104.63%,IFF,Intl Flavors & Fragrances,327.05%,HOG,Harley-Davidson,145.66%,REG,Regency Centers Corporation,122.21%,TEL,TE Connectivity Ltd.,195.73%,DRE,Duke Realty Corp
134,312.16%,SRCL,Stericycle Inc,193.17%,SYMC,Symantec Corp.,123.36%,COST,Costco Wholesale Corp.,129.99%,GD,General Dynamics,162.18%,HOG,Harley-Davidson,214.48%,BEN,Franklin Resources,208.34%,PLD,Prologis,174.59%,IGT,International Game Technology,75.60%,ROK,Rockwell Automation Inc.,82.35%,IVZ,Invesco Ltd.,87.55%,BXP,Boston Properties,86.79%,BLL,Ball Corp,87.25%,VRSK,Verisk Analytics,103.50%,EFX,Equifax Inc.,326.19%,AYI,Acuity Brands Inc,145.25%,SLG,SL Green Realty,121.94%,AMP,Ameriprise Financial,195.67%,TXT,Textron Inc.
135,310.26%,AGN,"Allergan, Inc",191.64%,HIG,Hartford Financial Svc.Gp.,122.86%,CTL,CenturyLink Inc,129.60%,APH,Amphenol Corp,161.54%,HCN,Welltower Inc.,213.43%,PDCO,Patterson Companies,208.15%,VAR,Varian Medical Systems,172.51%,PSA,Public Storage,72.24%,ADBE,Adobe Systems Inc,82.20%,COP,ConocoPhillips,87.29%,PH,Parker-Hannifin,85.09%,DUK,Duke Energy,86.65%,AN,AutoNation Inc,101.94%,BIG,Big Lots Inc.,317.23%,AKAM,Akamai Technologies Inc,143.35%,ICE,Intercontinental Exchange,121.13%,HBAN,Huntington Bancshares,195.17%,BK,The Bank of New York Mellon Corp.
136,308.92%,GD,General Dynamics,190.82%,CI,CIGNA Corp.,120.85%,HD,Home Depot,129.22%,ATVI,Activision Blizzard,161.29%,DVN,Devon Energy,213.11%,AAP,Advance Auto Parts,207.73%,DF,Dean Foods,172.05%,XOM,Exxon Mobil Corp.,71.99%,LLL,L-3 Communications Holdings,80.52%,LLL,L-3 Communications Holdings,86.55%,FLIR,FLIR Systems,84.88%,HAS,Hasbro Inc.,86.53%,PNR,Pentair Ltd.,99.83%,CTAS,Cintas Corporation,316.52%,ISRG,Intuitive Surgical Inc.,142.28%,TXN,Texas Instruments,120.21%,MDT,Medtronic plc,192.83%,CINF,Cincinnati Financial
137,305.74%,BAX,Baxter International Inc.,190.71%,ZION,Zions Bancorp,117.90%,BRK.B,Berkshire Hathaway,127.64%,HCP,HCP Inc.,161.24%,PLD,Prologis,212.59%,JWN,Nordstrom,206.68%,SVU,Supervalu Inc.,172.03%,BDX,Becton Dickinson,71.35%,SO,Southern Co.,79.39%,GT,Goodyear Tire & Rubber,86.44%,COP,ConocoPhillips,84.76%,EQR,Equity Residential,85.46%,CVX,Chevron Corp.,99.43%,ROK,Rockwell Automation Inc.,312.18%,NKE,Nike,141.88%,RE,Everest Re,120.05%,CCI,Crown Castle International Corp.,191.27%,GS,Goldman Sachs Group
138,304.21%,SPGI,"S&P Global, Inc.",190.12%,THC,Tenet Healthcare,117.32%,JBHT,J. B. Hunt Transport Services,127.48%,UDR,UDR Inc,159.73%,X,United States Steel Corporation,211.56%,NVDA,Nvidia Corporation,205.90%,ESRX,Express Scripts,171.95%,AFL,AFLAC Inc,69.33%,TMO,Thermo Fisher Scientific,78.95%,FOSL,Fossil Group,86.03%,VFC,V.F. Corp.,84.61%,HP,Helmerich & Payne,84.45%,OXY,Occidental Petroleum,98.97%,MDLZ,Mondelez International,310.95%,IDXX,IDEXX Laboratories,141.77%,GPN,Global Payments Inc,119.83%,DRI,Darden Restaurants,190.22%,XYL,Xylem Inc.
139,303.50%,VAR,Varian Medical Systems,186.72%,ARNC,Arconic Inc,116.79%,DLTR,Dollar Tree,127.45%,REG,Regency Centers Corporation,157.71%,NBL,Noble Energy Inc,209.35%,FLR,Fluor Corp.,205.05%,KSU,Kansas City Southern,170.70%,BF.B,Brown-Forman Corp.,69.06%,APC,Anadarko Petroleum Corp,78.62%,AON,Aon plc,84.57%,HCN,Welltower Inc.,84.45%,BLK,BlackRock,84.16%,HRL,Hormel Foods Corp.,98.91%,MCD,McDonald's Corp.,310.25%,XEC,Cimarex Energy,141.24%,ITT,ITT Corp.,118.78%,USB,U.S. Bancorp,189.75%,TWX,Time Warner Inc.
140,301.38%,ALL,Allstate Corp,185.13%,FHN,First Horizon,116.66%,ETR,Entergy Corp.,127.06%,MTB,M&T Bank Corp.,156.99%,MKC,McCormick & Co.,200.24%,MRO,Marathon Oil Corp.,204.00%,ETFC,E*Trade,170.14%,GLW,Corning Inc.,68.56%,IRM,Iron Mountain Incorporated,78.19%,EXC,Exelon Corp.,84.37%,HUM,Humana Inc.,83.94%,AVB,"AvalonBay Communities, Inc.",84.09%,PH,Parker-Hannifin,98.01%,TPR,"Tapestry, Inc.",308.96%,UNH,United Health Group Inc.,140.80%,XL,XL Capital,118.73%,SNPS,Synopsys Inc.,189.33%,NKE,Nike
141,297.98%,NYT,The New York Times Co.,184.35%,AES,AES Corp,115.53%,MTD,Mettler Toledo,125.52%,SLG,SL Green Realty,155.87%,HP,Helmerich & Payne,197.77%,ORLY,O'Reilly Automotive,203.94%,CAT,Caterpillar Inc.,167.31%,PH,Parker-Hannifin,65.91%,SNA,Snap-On Inc.,77.64%,TJX,TJX Companies Inc.,84.02%,CNP,CenterPoint Energy,82.13%,AOS,A.O. Smith,83.84%,CL,Colgate-Palmolive,97.96%,TRV,The Travelers Companies Inc.,306.64%,AME,AMETEK Inc,140.17%,AMT,American Tower Corp A,117.63%,GHC,Graham Holdings,189.17%,SBUX,Starbucks Corp.
142,289.56%,TSS,Total System Services,183.88%,VMC,Vulcan Materials,115.42%,GPN,Global Payments Inc,125.21%,EOG,EOG Resources,155.65%,DE,Deere & Co.,197.68%,AMG,Affiliated Managers Group Inc,201.39%,PX,Praxair Inc.,166.69%,IR,Ingersoll-Rand PLC,65.25%,ABT,Abbott Laboratories,74.83%,APD,Air Products & Chemicals Inc,83.78%,LB,L Brands Inc.,81.88%,ATVI,Activision Blizzard,83.36%,FL,Foot Locker Inc,97.41%,PHM,Pulte Homes Inc.,304.70%,CELG,Celgene Corp.,139.79%,ADSK,Autodesk Inc,116.16%,OMC,Omnicom Group,188.99%,RE,Everest Re
143,284.47%,NOV,National Oilwell Varco Inc.,182.34%,FDX,FedEx Corporation,112.39%,IBM,International Business Machines,123.96%,MET,MetLife Inc.,155.10%,AYI,Acuity Brands Inc,195.03%,FII,Federated Investors,200.26%,HSIC,Henry Schein,166.33%,XEC,Cimarex Energy,64.22%,LUK,Leucadia National Corp.,74.13%,PCAR,PACCAR Inc.,83.37%,TMO,Thermo Fisher Scientific,81.81%,FRT,Federal Realty Investment Trust,82.90%,WEC,Wec Energy Group Inc,96.42%,APH,Amphenol Corp,302.62%,TWX,Time Warner Inc.,139.00%,SWK,Stanley Black & Decker,115.49%,FRT,Federal Realty Investment Trust,188.16%,MLM,Martin Marietta Materials
144,283.18%,PHM,Pulte Homes Inc.,181.96%,BMY,Bristol-Myers Squibb,111.80%,PPL,PPL Corp.,122.80%,LUV,Southwest Airlines,154.54%,TIF,Tiffany & Co.,193.19%,MGM,MGM Resorts International,198.57%,PGR,Progressive Corp.,164.81%,FFIV,F5 Networks,64.17%,ORCL,Oracle Corp.,72.73%,DGX,Quest Diagnostics,82.94%,HRL,Hormel Foods Corp.,81.61%,EMN,Eastman Chemical,82.73%,APC,Anadarko Petroleum Corp,96.30%,SWK,Stanley Black & Decker,302.56%,HUM,Humana Inc.,137.80%,ALL,Allstate Corp,114.90%,ROK,Rockwell Automation Inc.,187.27%,AGN,"Allergan, Inc"
145,278.40%,BBY,Best Buy Co. Inc.,176.48%,INCY,Incyte,110.17%,AVP,Avon Products,122.60%,MMC,Marsh & McLennan,154.40%,SO,Southern Co.,189.65%,APC,Anadarko Petroleum Corp,198.22%,EQT,EQT Corporation,163.33%,ROP,Roper Technologies,63.88%,AFL,AFLAC Inc,70.64%,HAS,Hasbro Inc.,82.45%,A,Agilent Technologies Inc,81.61%,CAT,Caterpillar Inc.,81.35%,QCOM,QUALCOMM Inc.,96.27%,COST,Costco Wholesale Corp.,302.01%,EBAY,eBay,137.52%,YUM,Yum! Brands Inc,113.96%,BF.B,Brown-Forman Corp.,186.57%,ITT,ITT Corp.
146,277.88%,EXC,Exelon Corp.,176.03%,AVP,Avon Products,109.25%,TGNA,"Tegna, Inc.",122.47%,FDX,FedEx Corporation,154.28%,PH,Parker-Hannifin,189.49%,COP,ConocoPhillips,197.90%,PFG,Principal Financial Group,160.57%,UTX,United Technologies,63.49%,JPM,JPMorgan Chase & Co.,69.44%,VNO,Vornado Realty Trust,82.35%,EXR,Extra Space Storage,81.10%,ED,Consolidated Edison,81.25%,WMB,Williams Cos.,96.17%,HRB,Block H&R,301.19%,LYB,LyondellBasell,137.35%,DVA,DaVita,113.18%,HOLX,Hologic,186.02%,DPS,Dr Pepper Snapple Group
147,277.08%,RE,Everest Re,175.32%,AXP,American Express Co,108.35%,VMC,Vulcan Materials,120.00%,ETFC,E*Trade,152.73%,EXC,Exelon Corp.,188.57%,BHGE,"Baker Hughes, a GE Company",197.32%,IT,Gartner Inc,160.23%,FE,FirstEnergy Corp,63.07%,HSIC,Henry Schein,69.05%,COST,Costco Wholesale Corp.,80.17%,PCG,PG&E Corp.,81.08%,AVGO,Broadcom,80.72%,HD,Home Depot,95.57%,SRCL,Stericycle Inc,301.09%,MSI,Motorola Solutions Inc.,137.21%,AMG,Affiliated Managers Group Inc,112.85%,CAH,Cardinal Health,185.07%,BIIB,Biogen Inc.
148,275.54%,APC,Anadarko Petroleum Corp,174.89%,BLL,Ball Corp,106.97%,NTRS,Northern Trust Corp.,118.69%,OMC,Omnicom Group,151.88%,NEM,Newmont Mining Corporation,187.37%,MTB,M&T Bank Corp.,193.26%,COP,ConocoPhillips,160.19%,SYK,Stryker Corp.,60.40%,ITT,ITT Corp.,68.10%,NTAP,NetApp,80.01%,CL,Colgate-Palmolive,80.99%,DG,Dollar General,80.72%,GPS,Gap Inc.,95.28%,O,Realty Income Corporation,299.82%,SNA,Snap-On Inc.,136.86%,LVLT,Level 3 Communications,111.93%,BBT,BB&T Corporation,185.06%,EBAY,eBay
149,266.95%,HP,Helmerich & Payne,174.69%,ROP,Roper Technologies,105.70%,ED,Consolidated Edison,117.43%,SPG,Simon Property Group Inc,151.64%,WLTW,Willis Towers Watson,187.23%,CAT,Caterpillar Inc.,192.79%,LMT,Lockheed Martin Corp.,160.07%,AVB,"AvalonBay Communities, Inc.",60.28%,LMT,Lockheed Martin Corp.,67.34%,X,United States Steel Corporation,79.59%,APD,Air Products & Chemicals Inc,78.74%,COST,Costco Wholesale Corp.,80.63%,UHS,"Universal Health Services, Inc.",95.24%,EOG,EOG Resources,298.65%,ROK,Rockwell Automation Inc.,136.76%,FOXA,Twenty-First Century Fox Class A,111.53%,GE,General Electric,184.46%,CCI,Crown Castle International Corp.
150,265.55%,MTD,Mettler Toledo,174.29%,PHM,Pulte Homes Inc.,103.67%,VLO,Valero Energy,115.30%,WYNN,Wynn Resorts,150.06%,EW,Edwards Lifesciences,186.68%,FE,FirstEnergy Corp,191.20%,LKQ,LKQ Corporation,159.91%,SBAC,SBA Communications,58.98%,GD,General Dynamics,66.78%,GD,General Dynamics,79.11%,LRCX,Lam Research,78.39%,CMS,CMS Energy,80.44%,WYN,Wyndham Worldwide,95.06%,AXP,American Express Co,295.86%,TXN,Texas Instruments,136.42%,GT,Goodyear Tire & Rubber,111.03%,PFG,Principal Financial Group,179.82%,ADI,"Analog Devices, Inc."
151,261.93%,AVP,Avon Products,173.27%,EQR,Equity Residential,103.33%,UTX,United Technologies,115.24%,ADS,Alliance Data Systems,149.14%,CAT,Caterpillar Inc.,185.45%,ODP,Office Depot Inc.,191.00%,CHRW,C. H. Robinson Worldwide,159.57%,PXD,Pioneer Natural Resources,58.65%,AEP,American Electric Power,66.03%,HRL,Hormel Foods Corp.,76.48%,LH,Laboratory Corp. of America Holding,77.89%,NEE,NextEra Energy,79.32%,APTV,Aptiv Plc,94.70%,NOC,Northrop Grumman Corp.,291.05%,VRTX,Vertex Pharmaceuticals Inc,136.39%,NCLH,Norwegian Cruise Line,110.68%,IRM,Iron Mountain Incorporated,178.77%,PNC,PNC Financial Services
152,257.31%,DVN,Devon Energy,168.04%,EQT,EQT Corporation,101.68%,CERN,Cerner,114.82%,PGR,Progressive Corp.,145.88%,HRB,Block H&R,183.95%,AZO,AutoZone Inc,190.96%,NRG,NRG Energy,154.63%,FAST,Fastenal Co,57.01%,HON,Honeywell Int'l Inc.,65.74%,BWA,BorgWarner,75.79%,DVA,DaVita,77.51%,IFF,Intl Flavors & Fragrances,78.23%,WAT,Waters Corporation,94.05%,JWN,Nordstrom,290.27%,FISV,Fiserv Inc,136.38%,CCI,Crown Castle International Corp.,108.31%,MCK,McKesson Corp.,176.37%,CMS,CMS Energy
153,257.29%,VLO,Valero Energy,167.84%,ALXN,Alexion Pharmaceuticals,101.67%,MUR,Murphy Oil,113.83%,MS,Morgan Stanley,145.40%,AMGN,Amgen Inc,182.88%,EFX,Equifax Inc.,190.52%,CSX,CSX Corp.,154.47%,CVX,Chevron Corp.,56.20%,XRAY,Dentsply Sirona,64.92%,BF.B,Brown-Forman Corp.,74.65%,HON,Honeywell Int'l Inc.,77.30%,ETN,Eaton Corporation,77.83%,KO,Coca-Cola Company,93.64%,CL,Colgate-Palmolive,287.49%,IFF,Intl Flavors & Fragrances,135.37%,DTE,DTE Energy,108.30%,WFC,Wells Fargo,175.77%,RSG,Republic Services Inc
154,254.63%,AVY,Avery Dennison Corp,166.50%,TAP,Molson Coors Brewing Company,100.51%,VNO,Vornado Realty Trust,113.61%,UHS,"Universal Health Services, Inc.",145.09%,MCHP,Microchip Technology,180.80%,FCX,Freeport-McMoRan Inc.,190.23%,LM,Legg Mason,153.84%,DNB,Dun & Bradstreet,54.19%,JWN,Nordstrom,64.79%,FE,FirstEnergy Corp,74.61%,ESV,Ensco plc,76.33%,BXP,Boston Properties,77.65%,CMS,CMS Energy,93.45%,IBM,International Business Machines,284.60%,CTAS,Cintas Corporation,134.70%,PM,Philip Morris International,108.19%,PXD,Pioneer Natural Resources,172.93%,PH,Parker-Hannifin
155,253.80%,PPL,PPL Corp.,166.30%,XRAY,Dentsply Sirona,99.83%,HCN,Welltower Inc.,113.37%,ECL,Ecolab,142.10%,BHGE,"Baker Hughes, a GE Company",179.69%,AAPL,Apple Inc.,189.49%,BAC,Bank of America Corp,150.85%,RSG,Republic Services Inc,53.84%,WFC,Wells Fargo,64.62%,RHT,Red Hat Inc.,74.21%,TRV,The Travelers Companies Inc.,76.23%,AWK,American Water Works Company Inc,76.59%,CB,Chubb Corp,93.43%,CMS,CMS Energy,284.59%,CMCSA,Comcast Corp.,134.54%,APH,Amphenol Corp,107.81%,FDX,FedEx Corporation,172.82%,DRI,Darden Restaurants
156,253.17%,INTU,Intuit,165.96%,AMG,Affiliated Managers Group Inc,99.27%,KLAC,KLA-Tencor Corp.,112.45%,RE,Everest Re,140.24%,COP,ConocoPhillips,179.36%,HST,Host Hotels & Resorts,188.99%,FDX,FedEx Corporation,150.44%,MCD,McDonald's Corp.,52.49%,DIS,The Walt Disney Company,64.42%,LMT,Lockheed Martin Corp.,73.53%,RJF,Raymond James Financial Inc.,76.06%,SO,Southern Co.,76.21%,PSA,Public Storage,92.50%,ADI,"Analog Devices, Inc.",282.72%,CSX,CSX Corp.,134.52%,GD,General Dynamics,106.23%,GRMN,Garmin Ltd.,172.77%,PLD,Prologis
157,249.69%,DO,Diamond Offshore Drilling,165.57%,MUR,Murphy Oil,99.08%,FII,Federated Investors,111.11%,C,Citigroup Inc.,138.16%,RE,Everest Re,176.83%,ADS,Alliance Data Systems,188.16%,SHW,Sherwin-Williams,149.99%,AMG,Affiliated Managers Group Inc,51.65%,XEC,Cimarex Energy,64.38%,REGN,Regeneron,72.24%,UTX,United Technologies,75.26%,PPG,PPG Industries,76.09%,CLF,Cliffs Natural Resources,92.44%,ESRX,Express Scripts,278.43%,AIV,Apartment Investment & Management,134.08%,FITB,Fifth Third Bancorp,105.70%,CPB,Campbell Soup,172.44%,UNP,Union Pacific
158,248.31%,CNP,CenterPoint Energy,163.80%,CHRW,C. H. Robinson Worldwide,99.08%,RE,Everest Re,110.31%,SPGI,"S&P Global, Inc.",137.73%,PPL,PPL Corp.,176.19%,EBAY,eBay,185.79%,FAST,Fastenal Co,149.52%,BA,Boeing Company,50.45%,PH,Parker-Hannifin,64.18%,UTX,United Technologies,71.24%,GLW,Corning Inc.,75.21%,TROW,T. Rowe Price Group,75.82%,URI,"United Rentals, Inc.",92.42%,TWX,Time Warner Inc.,276.46%,HRL,Hormel Foods Corp.,132.74%,M,Macy's Inc.,105.34%,ABBV,AbbVie Inc.,171.96%,GHC,Graham Holdings
159,246.75%,HPQ,HP Inc.,163.04%,NFX,Newfield Exploration Co,99.00%,DTE,DTE Energy,109.40%,MGM,MGM Resorts International,136.80%,ADI,"Analog Devices, Inc.",174.08%,NUE,Nucor Corp.,184.80%,HAS,Hasbro Inc.,148.41%,PCG,PG&E Corp.,48.99%,MCK,McKesson Corp.,63.10%,SWKS,Skyworks Solutions,70.09%,XEL,Xcel Energy Inc,74.64%,ECL,Ecolab,75.69%,MPC,Marathon Petroleum,90.72%,KMB,Kimberly-Clark,276.29%,A,Agilent Technologies Inc,132.48%,BXP,Boston Properties,104.68%,UNM,Unum Group,171.48%,COST,Costco Wholesale Corp.
160,246.37%,OKE,ONEOK,161.38%,REG,Regency Centers Corporation,98.08%,D,Dominion Energy,109.11%,IR,Ingersoll-Rand PLC,136.53%,RJF,Raymond James Financial Inc.,172.98%,BF.B,Brown-Forman Corp.,184.40%,AMZN,Amazon.com Inc,145.39%,LMT,Lockheed Martin Corp.,47.74%,HRL,Hormel Foods Corp.,60.48%,XRAY,Dentsply Sirona,69.97%,ENDP,Endo International plc,73.88%,MRO,Marathon Oil Corp.,75.66%,F,Ford Motor,90.47%,PH,Parker-Hannifin,275.61%,LRCX,Lam Research,131.49%,SEE,Sealed Air,103.45%,BRK.B,Berkshire Hathaway,170.08%,A,Agilent Technologies Inc
161,245.35%,IRM,Iron Mountain Incorporated,160.75%,GGP,General Growth Properties Inc.,97.81%,AXP,American Express Co,106.69%,WLTW,Willis Towers Watson,135.95%,DRI,Darden Restaurants,172.03%,RSG,Republic Services Inc,184.28%,COL,Rockwell Collins,144.10%,ESV,Ensco plc,47.72%,CPB,Campbell Soup,59.86%,SWK,Stanley Black & Decker,69.27%,ALK,Alaska Air Group Inc,73.26%,PXD,Pioneer Natural Resources,75.31%,XLNX,Xilinx Inc,90.36%,AON,Aon plc,275.59%,TMO,Thermo Fisher Scientific,130.17%,WFC,Wells Fargo,103.27%,MRK,Merck & Co.,169.69%,BF.B,Brown-Forman Corp.
162,244.79%,CCL,Carnival Corp.,156.47%,CMA,Comerica Inc.,97.69%,AIV,Apartment Investment & Management,106.29%,CMCSA,Comcast Corp.,135.40%,XEC,Cimarex Energy,170.00%,BCR,Bard (C.R.) Inc.,183.49%,LOW,Lowe's Cos.,143.97%,GD,General Dynamics,47.49%,CL,Colgate-Palmolive,59.50%,IT,Gartner Inc,69.16%,GIS,General Mills,72.31%,GPC,Genuine Parts,74.70%,ECL,Ecolab,89.90%,WMT,Wal-Mart Stores,273.50%,ROP,Roper Technologies,129.58%,MCD,McDonald's Corp.,102.94%,CNP,CenterPoint Energy,169.60%,NTRS,Northern Trust Corp.
