,1995-2001,ticker,company,1996-2002,ticker,company,1997-2003,ticker,company,1998-2004,ticker,company,1999-2005,ticker,company,2000-2006,ticker,company,2001-2007,ticker,company,2002-2008,ticker,company,2003-2009,ticker,company,2004-2010,ticker,company,2005-2011,ticker,company,2006-2012,ticker,company,2007-2013,ticker,company,2008-2014,ticker,company,2009-2015,ticker,company,2010-2016,ticker,company,2011-2017,ticker,company,2012-2018,ticker,company
10,1383.72%,RMD,ResMed,820.84%,NTAP,NetApp,478.97%,CELG,Celgene Corp.,674.36%,TPR,"Tapestry, Inc.",750.34%,BIIB,Biogen Inc.,996.65%,VLO,Valero Energy,1040.71%,AAPL,Apple Inc.,979.79%,FSLR,First Solar,772.25%,AKAM,Akamai Technologies Inc,521.35%,MOS,The Mosaic Company,531.73%,CLF,Cliffs Natural Resources,369.29%,TDG,TransDigm Group,419.02%,ISRG,Intuitive Surgical Inc.,424.02%,CXO,Concho Resources,1226.14%,MU,Micron Technology,687.42%,LB,L Brands Inc.,380.83%,EA,Electronic Arts,693.30%,LUV,Southwest Airlines
11,1369.38%,PAYX,Paychex Inc.,792.09%,WAT,Waters Corporation,470.19%,KSS,Kohl's,540.58%,BIIB,Biogen Inc.,719.69%,UNH,United Health Group Inc.,972.00%,DNR,Denbury Resources,1019.53%,SHLD,Sears Holding Corporation,909.84%,CCK,Crown Holdings,730.59%,AMT,American Tower Corp A,517.88%,GOOGL,Alphabet Inc Class A,490.73%,SWN,Southwestern Energy,359.20%,GRA,W.R. Grace,418.70%,MA,Mastercard Inc.,419.63%,LB,L Brands Inc.,1221.56%,SWKS,Skyworks Solutions,681.44%,ALXN,Alexion Pharmaceuticals,362.54%,NOC,Northrop Grumman Corp.,629.74%,DAL,Delta Air Lines
12,1272.63%,ORCL,Oracle Corp.,785.28%,EXPD,Expeditors International,469.57%,BBBY,Bed Bath & Beyond,538.63%,SRCL,Stericycle Inc,608.19%,SWN,Southwestern Energy,898.93%,DHI,D. R. Horton,951.19%,VTR,Ventas Inc,893.85%,CTSH,Cognizant Technology Solutions,690.00%,MON,Monsanto Co.,517.88%,GOOG,Alphabet Inc Class C,481.73%,FTI,TechnipFMC,344.48%,MNST,Monster Beverage,366.04%,CRM,Salesforce.com,411.12%,AOS,A.O. Smith,1042.89%,NFLX,Netflix Inc.,675.83%,MNST,Monster Beverage,360.79%,ORLY,O'Reilly Automotive,564.51%,ILMN,Illumina Inc
13,1181.61%,COF,Capital One Financial,779.68%,TJX,TJX Companies Inc.,462.96%,SRCL,Stericycle Inc,529.06%,SYMC,Symantec Corp.,590.29%,COO,The Cooper Companies,838.20%,UNH,United Health Group Inc.,821.85%,CLF,Cliffs Natural Resources,876.70%,GRMN,Garmin Ltd.,667.19%,PCLN,Priceline.com Inc,514.87%,DO,Diamond Offshore Drilling,471.09%,CMI,Cummins Inc.,320.34%,CMI,Cummins Inc.,305.31%,FOSL,Fossil Group,403.78%,INCY,Incyte,1039.26%,UAA,Under Armour,639.45%,URI,"United Rentals, Inc.",337.29%,HD,Home Depot,555.90%,AMZN,Amazon.com Inc
14,1138.09%,JCI,Johnson Controls Inc,749.75%,CTXS,Citrix Systems,458.76%,SYMC,Symantec Corp.,509.46%,GILD,Gilead Sciences,581.69%,GILD,Gilead Sciences,778.63%,CME,CME Group Inc.,784.76%,WDC,Western Digital,864.88%,WYNN,Wynn Resorts,507.15%,ANDV,Andeavor,507.09%,MON,Monsanto Co.,465.67%,ESRX,Express Scripts,311.61%,ILMN,Illumina Inc,300.96%,CMI,Cummins Inc.,379.48%,TJX,TJX Companies Inc.,1018.53%,URI,"United Rentals, Inc.",600.18%,TDG,TransDigm Group,322.94%,BIIB,Biogen Inc.,538.19%,AOS,A.O. Smith
15,1131.55%,KSS,Kohl's,747.28%,EBAY,eBay,455.82%,RMD,ResMed,490.79%,RMD,ResMed,577.40%,MNST,Monster Beverage,756.91%,EOG,EOG Resources,720.18%,JCP,J.C. Penney,835.11%,FCX,Freeport-McMoRan Inc.,501.65%,GILD,Gilead Sciences,474.02%,ALXN,Alexion Pharmaceuticals,434.32%,FFIV,F5 Networks,299.84%,ISRG,Intuitive Surgical Inc.,296.48%,DLTR,Dollar Tree,363.15%,V,Visa Inc.,1004.40%,CMG,Chipotle Mexican Grill,585.97%,AYI,Acuity Brands Inc,316.59%,AMZN,Amazon.com Inc,497.50%,NOC,Northrop Grumman Corp.
16,1081.33%,AES,AES Corp,719.60%,CTSH,Cognizant Technology Solutions,444.00%,GILD,Gilead Sciences,474.54%,IGT,International Game Technology,559.67%,SHLD,Sears Holding Corporation,750.16%,LEN,Lennar Corp.,706.06%,FCX,Freeport-McMoRan Inc.,804.15%,URBN,Urban Outfitters,474.68%,WMB,Williams Cos.,470.24%,CF,CF Industries Holdings Inc,426.03%,FSLR,First Solar,297.56%,OKE,ONEOK,295.35%,TSCO,Tractor Supply Company,350.91%,PRGO,Perrigo,1001.52%,THC,Tenet Healthcare,564.80%,ORLY,O'Reilly Automotive,293.82%,HUM,Humana Inc.,474.72%,CHTR,Charter Communications
17,1063.73%,VRSN,Verisign Inc.,688.69%,JCI,Johnson Controls Inc,435.64%,ESRX,Express Scripts,451.74%,VAR,Varian Medical Systems,536.52%,DNR,Denbury Resources,717.03%,CNX,Consol Energy,670.48%,WYNN,Wynn Resorts,756.19%,AMZN,Amazon.com Inc,465.71%,PWR,Quanta Services Inc.,463.11%,MA,Mastercard Inc.,394.28%,MA,Mastercard Inc.,277.87%,ALGN,Align Technology,284.96%,DISCA,Discovery Communications,330.47%,AMZN,Amazon.com Inc,976.02%,XL,XL Capital,525.65%,ILMN,Illumina Inc,292.86%,PKG,Packaging Corporation of America,471.11%,ETFC,E*Trade
18,971.87%,TXN,Texas Instruments,680.49%,HOG,Harley-Davidson,408.50%,FOSL,Fossil Group,447.59%,ANSS,ANSYS,520.17%,TSCO,Tractor Supply Company,677.02%,GILD,Gilead Sciences,640.26%,ANSS,ANSYS,670.43%,VLO,Valero Energy,457.64%,FSLR,First Solar,447.29%,FSLR,First Solar,385.07%,MOS,The Mosaic Company,265.69%,DLR,Digital Realty,278.92%,ROST,Ross Stores,329.27%,VFC,V.F. Corp.,922.55%,ALXN,Alexion Pharmaceuticals,521.73%,CNC,Centene Corporation,283.40%,LVLT,Level 3 Communications,466.76%,ATVI,Activision Blizzard
19,970.59%,DISH,Dish Network,633.09%,CELG,Celgene Corp.,397.19%,LEN,Lennar Corp.,418.38%,TIF,Tiffany & Co.,512.20%,ATVI,Activision Blizzard,676.18%,ANSS,ANSYS,638.86%,ATVI,Activision Blizzard,649.25%,CMI,Cummins Inc.,452.28%,ANSS,ANSYS,422.99%,FTI,TechnipFMC,383.32%,CMG,Chipotle Mexican Grill,263.81%,AMZN,Amazon.com Inc,276.18%,EW,Edwards Lifesciences,324.56%,URI,"United Rentals, Inc.",911.56%,WDC,Western Digital,468.43%,SBUX,Starbucks Corp.,277.79%,SBUX,Starbucks Corp.,441.84%,AMAT,Applied Materials Inc
20,964.62%,REGN,Regeneron,632.97%,BBBY,Bed Bath & Beyond,364.50%,PDCO,Patterson Companies,404.38%,EA,Electronic Arts,501.74%,RRC,Range Resources Corp.,670.20%,SHLD,Sears Holding Corporation,624.00%,FFIV,F5 Networks,640.07%,ANDV,Andeavor,442.96%,NFLX,Netflix Inc.,420.37%,ESRX,Express Scripts,382.86%,DLR,Digital Realty,263.58%,EL,Estee Lauder Cos.,276.11%,LKQ,LKQ Corporation,305.18%,SBUX,Starbucks Corp.,906.32%,TDG,TransDigm Group,450.23%,SWKS,Skyworks Solutions,261.55%,EFX,Equifax Inc.,439.21%,PKG,Packaging Corporation of America
21,944.68%,EXPD,Expeditors International,613.07%,COF,Capital One Financial,358.84%,WMT,Wal-Mart Stores,395.48%,LEN,Lennar Corp.,482.91%,ANSS,ANSYS,616.70%,PHM,Pulte Homes Inc.,611.94%,ATI,Allegheny Technologies,635.74%,MOS,The Mosaic Company,440.44%,NUE,Nucor Corp.,416.46%,DLR,Digital Realty,352.87%,FLS,Flowserve Corporation,261.06%,FOSL,Fossil Group,265.62%,DISCK,Discovery Communications,304.61%,IT,Gartner Inc,895.26%,COO,The Cooper Companies,444.29%,CMG,Chipotle Mexican Grill,245.48%,SHW,Sherwin-Williams,433.22%,CBOE,CBOE Holdings
22,915.03%,MS,Morgan Stanley,582.46%,TGT,Target Corp.,354.12%,SYK,Stryker Corp.,376.47%,DHI,D. R. Horton,478.90%,IGT,International Game Technology,595.21%,URBN,Urban Outfitters,610.80%,CELG,Celgene Corp.,624.83%,MON,Monsanto Co.,412.61%,ALXN,Alexion Pharmaceuticals,398.47%,CME,CME Group Inc.,352.82%,LKQ,LKQ Corporation,256.56%,MCD,McDonald's Corp.,251.65%,COG,Cabot Oil & Gas,299.82%,UAA,Under Armour,887.84%,AGN,"Allergan, Inc",427.73%,HD,Home Depot,245.17%,TSS,Total System Services,429.75%,RCL,Royal Caribbean Cruises Ltd
23,914.29%,DGX,Quest Diagnostics,577.80%,ROST,Ross Stores,346.86%,INTU,Intuit,374.26%,LOW,Lowe's Cos.,478.69%,EBAY,eBay,593.38%,GGP,General Growth Properties Inc.,600.76%,GILD,Gilead Sciences,612.86%,NOV,National Oilwell Varco Inc.,408.44%,URBN,Urban Outfitters,396.26%,CELG,Celgene Corp.,346.00%,CELG,Celgene Corp.,250.33%,AZO,AutoZone Inc,247.95%,NFLX,Netflix Inc.,298.58%,AZO,AutoZone Inc,855.97%,AAPL,Apple Inc.,418.81%,VLO,Valero Energy,215.60%,LOW,Lowe's Cos.,424.56%,EQIX,Equinix
24,904.37%,C,Citigroup Inc.,571.07%,COO,The Cooper Companies,343.31%,AJG,Arthur J. Gallagher & Co.,371.36%,NVDA,Nvidia Corporation,477.67%,KMX,Carmax Inc,588.27%,AET,Aetna Inc,563.51%,MAC,Macerich,607.62%,X,United States Steel Corporation,408.15%,CME,CME Group Inc.,380.85%,BLK,BlackRock,341.16%,SBAC,SBA Communications,249.53%,MOS,The Mosaic Company,242.96%,CERN,Cerner,297.06%,DFS,Discover Financial Services,833.81%,FL,Foot Locker Inc,412.02%,HBI,Hanesbrands Inc,211.41%,ATVI,Activision Blizzard,420.23%,LRCX,Lam Research
25,897.56%,NTRS,Northern Trust Corp.,558.16%,SRCL,Stericycle Inc,337.85%,SBR,Sabre Holdings,369.50%,UNH,United Health Group Inc.,469.92%,SRCL,Stericycle Inc,583.38%,DGX,Quest Diagnostics,558.59%,NUE,Nucor Corp.,602.95%,AET,Aetna Inc,402.95%,FLIR,FLIR Systems,368.37%,FLS,Flowserve Corporation,306.41%,AMZN,Amazon.com Inc,248.62%,REGN,Regeneron,237.27%,AGN,"Allergan, Inc",296.89%,ORLY,O'Reilly Automotive,831.48%,SBUX,Starbucks Corp.,402.77%,IT,Gartner Inc,207.84%,LB,L Brands Inc.,404.33%,TDG,TransDigm Group
26,887.10%,MDT,Medtronic plc,558.10%,SBR,Sabre Holdings,331.37%,LOW,Lowe's Cos.,364.56%,MNST,Monster Beverage,466.74%,DISH,Dish Network,575.42%,VAR,Varian Medical Systems,547.91%,ADSK,Autodesk Inc,589.36%,FTI,TechnipFMC,375.50%,OXY,Occidental Petroleum,355.10%,COG,Cabot Oil & Gas,294.78%,NOV,National Oilwell Varco Inc.,244.70%,ROST,Ross Stores,235.65%,GRA,W.R. Grace,295.32%,CERN,Cerner,826.79%,PXD,Pioneer Natural Resources,402.45%,AMZN,Amazon.com Inc,205.33%,CDNS,Cadence Design Systems,399.62%,EA,Electronic Arts
27,884.00%,XLNX,Xilinx Inc,553.52%,SIG,Signet Jewelers,325.37%,BLL,Ball Corp,362.08%,SIG,Signet Jewelers,463.04%,SBR,Sabre Holdings,567.06%,SUN,Sunoco Inc.,530.93%,GPN,Global Payments Inc,589.14%,GOOGL,Alphabet Inc Class A,373.75%,ATVI,Activision Blizzard,337.88%,ANSS,ANSYS,291.86%,EW,Edwards Lifesciences,243.49%,FFIV,F5 Networks,233.20%,ULTA,Ulta Salon Cosmetics & Fragrance Inc,294.99%,MA,Mastercard Inc.,808.56%,TSCO,Tractor Supply Company,379.75%,SIG,Signet Jewelers,204.43%,IT,Gartner Inc,396.74%,HCA,HCA Holdings
