,1995-2000,ticker,company,1996-2001,ticker,company,1997-2002,ticker,company,1998-2003,ticker,company,1999-2004,ticker,company,2000-2005,ticker,company,2001-2006,ticker,company,2002-2007,ticker,company,2003-2008,ticker,company,2004-2009,ticker,company,2005-2010,ticker,company,2006-2011,ticker,company,2007-2012,ticker,company,2008-2013,ticker,company,2009-2014,ticker,company,2010-2015,ticker,company,2011-2016,ticker,company,2012-2017,ticker,company,2013-2018,ticker,company
10,1614.66%,LVLT,Level 3 Communications,846.59%,SCHW,Charles Schwab Corporation,730.48%,SWKS,Skyworks Solutions,334.77%,RMD,ResMed,493.70%,IGT,International Game Technology,618.13%,CHK,Chesapeake Energy,734.67%,CLF,Cliffs Natural Resources,781.68%,TPR,"Tapestry, Inc.",1295.47%,WMB,Williams Cos.,325.51%,ALXN,Alexion Pharmaceuticals,352.22%,ESRX,Express Scripts,394.28%,MA,Mastercard Inc.,306.21%,DLTR,Dollar Tree,265.62%,DISCK,Discovery Communications,877.68%,XL,XL Capital,558.50%,AGN,"Allergan, Inc",405.50%,V,Visa Inc.,290.87%,PKG,Packaging Corporation of America,547.15%,STZ,Constellation Brands
11,1492.98%,SCHW,Charles Schwab Corporation,814.29%,KSS,Kohl's,719.60%,CTSH,Cognizant Technology Solutions,296.04%,VAR,Varian Medical Systems,479.22%,SRCL,Stericycle Inc,591.88%,IGT,International Game Technology,704.76%,WDC,Western Digital,723.62%,CCK,Crown Holdings,1144.93%,MON,Monsanto Co.,316.41%,CLF,Cliffs Natural Resources,346.80%,NFLX,Netflix Inc.,383.32%,CMG,Chipotle Mexican Grill,292.68%,MA,Mastercard Inc.,247.82%,NFLX,Netflix Inc.,837.96%,LB,L Brands Inc.,534.49%,BIIB,Biogen Inc.,386.01%,HBI,Hanesbrands Inc,272.96%,EXR,Extra Space Storage,541.81%,ATVI,Activision Blizzard
12,1451.82%,MSFT,Microsoft Corp.,807.15%,ORCL,Oracle Corp.,617.86%,KSS,Kohl's,292.95%,BBY,Best Buy Co. Inc.,475.44%,KMX,Carmax Inc,564.33%,UNH,United Health Group Inc.,670.20%,SHLD,Sears Holding Corporation,674.79%,AAPL,Apple Inc.,1106.80%,AMT,American Tower Corp A,311.45%,PCLN,Priceline.com Inc,335.48%,CRM,Salesforce.com,333.91%,PRGO,Perrigo,285.81%,FTI,TechnipFMC,244.58%,ALK,Alaska Air Group Inc,826.61%,SIG,Signet Jewelers,520.09%,NFLX,Netflix Inc.,373.62%,ALXN,Alexion Pharmaceuticals,258.66%,RF,Regions Financial Corp.,527.54%,BBY,Best Buy Co. Inc.
13,1223.19%,ORCL,Oracle Corp.,801.47%,CSCO,Cisco Systems,587.80%,NTAP,NetApp,284.98%,AJG,Arthur J. Gallagher & Co.,467.72%,GILD,Gilead Sciences,559.67%,SHLD,Sears Holding Corporation,660.64%,VTR,Ventas Inc,670.48%,WYNN,Wynn Resorts,1024.32%,HOLX,Hologic,291.80%,NUE,Nucor Corp.,319.91%,CELG,Celgene Corp.,331.52%,AAPL,Apple Inc.,245.49%,FOSL,Fossil Group,240.64%,FFIV,F5 Networks,815.65%,THC,Tenet Healthcare,519.89%,TSCO,Tractor Supply Company,370.21%,CHTR,Charter Communications,256.25%,ORLY,O'Reilly Automotive,441.12%,ETFC,E*Trade
14,1217.65%,CELG,Celgene Corp.,768.23%,COF,Capital One Financial,496.71%,VRSN,Verisign Inc.,276.23%,AMZN,Amazon.com Inc,462.11%,DISH,Dish Network,552.15%,JBHT,J. B. Hunt Transport Services,626.64%,ANSS,ANSYS,663.85%,URBN,Urban Outfitters,1009.33%,CCI,Crown Castle International Corp.,251.00%,GILD,Gilead Sciences,307.29%,WDC,Western Digital,321.30%,FFIV,F5 Networks,229.86%,ROST,Ross Stores,216.03%,TJX,TJX Companies Inc.,786.04%,TSCO,Tractor Supply Company,516.26%,STZ,Constellation Brands,361.76%,TDG,TransDigm Group,253.25%,HD,Home Depot,429.15%,LRCX,Lam Research
15,1173.61%,SWKS,Skyworks Solutions,743.75%,CTXS,Citrix Systems,462.43%,LH,Laboratory Corp. of America Holding,269.32%,SYMC,Symantec Corp.,444.00%,LRCX,Lam Research,545.88%,DNR,Denbury Resources,618.90%,ISRG,Intuitive Surgical Inc.,660.33%,DNR,Denbury Resources,979.79%,FSLR,First Solar,249.07%,MOS,The Mosaic Company,305.39%,VRTX,Vertex Pharmaceuticals Inc,307.74%,FTI,TechnipFMC,220.21%,CMI,Cummins Inc.,215.05%,EXR,Extra Space Storage,776.74%,SBUX,Starbucks Corp.,501.80%,TDG,TransDigm Group,356.90%,BIIB,Biogen Inc.,227.67%,LVLT,Level 3 Communications,401.16%,NOC,Northrop Grumman Corp.
16,1159.01%,AMAT,Applied Materials Inc,731.56%,EXPD,Expeditors International,459.18%,BBBY,Bed Bath & Beyond,263.13%,SYK,Stryker Corp.,441.49%,UNH,United Health Group Inc.,544.11%,RRC,Range Resources Corp.,613.60%,FCX,Freeport-McMoRan Inc.,620.93%,CELG,Celgene Corp.,953.10%,DNR,Denbury Resources,236.22%,FLIR,FLIR Systems,290.43%,LKQ,LKQ Corporation,290.53%,EW,Edwards Lifesciences,211.37%,TSCO,Tractor Supply Company,206.31%,PVH,PVH Corp.,759.60%,CMG,Chipotle Mexican Grill,501.63%,ILMN,Illumina Inc,355.70%,NFLX,Netflix Inc.,225.28%,EFX,Equifax Inc.,394.28%,DAL,Delta Air Lines
17,993.13%,CTSH,Cognizant Technology Solutions,714.68%,SWKS,Skyworks Solutions,452.51%,AMZN,Amazon.com Inc,258.75%,BBBY,Bed Bath & Beyond,371.36%,NVDA,Nvidia Corporation,529.89%,DGX,Quest Diagnostics,592.00%,KMX,Carmax Inc,517.54%,ATI,Allegheny Technologies,864.36%,X,United States Steel Corporation,231.06%,ESRX,Express Scripts,287.46%,ALXN,Alexion Pharmaceuticals,285.51%,CRM,Salesforce.com,194.95%,EW,Edwards Lifesciences,205.56%,V,Visa Inc.,754.71%,URI,"United Rentals, Inc.",489.68%,EXR,Extra Space Storage,343.72%,MA,Mastercard Inc.,212.79%,ATVI,Activision Blizzard,391.27%,AMAT,Applied Materials Inc
18,991.47%,TXN,Texas Instruments,703.80%,TXN,Texas Instruments,432.84%,LOW,Lowe's Cos.,257.25%,AMGN,Amgen Inc,368.51%,BIIB,Biogen Inc.,509.79%,URBN,Urban Outfitters,587.78%,ADSK,Autodesk Inc,481.62%,PBCT,People's United Financial,825.24%,URBN,Urban Outfitters,225.13%,DLR,Digital Realty,278.44%,FTI,TechnipFMC,278.31%,AMZN,Amazon.com Inc,191.49%,EL,Estee Lauder Cos.,204.77%,PRGO,Perrigo,742.32%,CBS,CBS Corp.,471.89%,ANDV,Andeavor,328.87%,AAL,American Airlines Group,212.36%,SHW,Sherwin-Williams,383.02%,CNC,Centene Corporation
19,963.59%,GPS,Gap Inc.,694.68%,AMZN,Amazon.com Inc,429.39%,SRCL,Stericycle Inc,255.56%,GILD,Gilead Sciences,360.45%,COO,The Cooper Companies,482.91%,ANSS,ANSYS,534.00%,GPN,Global Payments Inc,458.65%,VLO,Valero Energy,786.71%,NVDA,Nvidia Corporation,214.02%,DNR,Denbury Resources,278.07%,MOS,The Mosaic Company,253.19%,TDG,TransDigm Group,188.82%,GWW,Grainger (W.W.) Inc.,195.58%,AZO,AutoZone Inc,723.86%,MU,Micron Technology,464.32%,MNST,Monster Beverage,323.03%,LB,L Brands Inc.,209.20%,CME,CME Group Inc.,368.08%,AMZN,Amazon.com Inc
