,1995-2000,ticker,company,1996-2001,ticker,company,1997-2002,ticker,company,1998-2003,ticker,company,1999-2004,ticker,company,2000-2005,ticker,company,2001-2006,ticker,company,2002-2007,ticker,company,2003-2008,ticker,company,2004-2009,ticker,company,2005-2010,ticker,company,2006-2011,ticker,company,2007-2012,ticker,company,2008-2013,ticker,company,2009-2014,ticker,company,2010-2015,ticker,company,2011-2016,ticker,company,2012-2017,ticker,company,2013-2018,ticker,company
94,326.46%,CI,CIGNA Corp.,288.03%,IBM,International Business Machines,198.90%,UHS,"Universal Health Services, Inc.",90.75%,ECL,Ecolab,139.48%,ARE,Alexandria Real Estate Equities Inc,209.81%,LUK,Leucadia National Corp.,213.11%,AAP,Advance Auto Parts,202.43%,CCI,Crown Castle International Corp.,181.35%,AON,Aon plc,59.30%,CNP,CenterPoint Energy,61.60%,HCN,Welltower Inc.,88.45%,MO,Altria Group Inc,76.06%,CHRW,C. H. Robinson Worldwide,84.08%,ROP,Roper Technologies,259.93%,MTD,Mettler Toledo,180.95%,SPG,Simon Property Group Inc,141.07%,SPG,Simon Property Group Inc,144.20%,AMP,Ameriprise Financial,170.31%,TMK,Torchmark Corp.
95,320.64%,MMC,Marsh & McLennan,286.63%,MSFT,Microsoft Corp.,197.84%,BAX,Baxter International Inc.,90.42%,WBA,Walgreens Boots Alliance,138.55%,JBHT,J. B. Hunt Transport Services,207.68%,MUR,Murphy Oil,210.63%,EIX,Edison Int'l,201.98%,PHM,Pulte Homes Inc.,179.64%,AIZ,Assurant Inc,58.28%,CTSH,Cognizant Technology Solutions,61.26%,EQT,EQT Corporation,86.31%,KO,Coca-Cola Company,75.08%,BF.B,Brown-Forman Corp.,84.06%,ESS,"Essex Property Trust, Inc.",259.87%,DIS,The Walt Disney Company,179.78%,NWL,Newell Brands,139.44%,MDLZ,Mondelez International,144.02%,ADP,Automatic Data Processing,170.02%,ORLY,O'Reilly Automotive
96,320.26%,ARNC,Arconic Inc,284.47%,NOV,National Oilwell Varco Inc.,197.70%,ORCL,Oracle Corp.,90.04%,LUK,Leucadia National Corp.,137.69%,MAA,Mid-America Apartments,199.25%,SO,Southern Co.,208.50%,FAST,Fastenal Co,201.20%,LUK,Leucadia National Corp.,172.89%,HSIC,Henry Schein,57.80%,RSG,Republic Services Inc,61.06%,CNP,CenterPoint Energy,84.63%,LB,L Brands Inc.,74.76%,VRSN,Verisign Inc.,83.93%,CMI,Cummins Inc.,254.30%,MAT,Mattel Inc.,178.42%,CAH,Cardinal Health,138.92%,COO,The Cooper Companies,140.21%,ADSK,Autodesk Inc,170.02%,UAL,United Continental Holdings
97,317.44%,SPGI,"S&P Global, Inc.",281.84%,BMY,Bristol-Myers Squibb,195.22%,BLK,BlackRock,89.76%,XRAY,Dentsply Sirona,137.27%,XLNX,Xilinx Inc,196.30%,EXC,Exelon Corp.,207.33%,NEM,Newmont Mining Corporation,200.99%,ARE,Alexandria Real Estate Equities Inc,167.86%,UTX,United Technologies,57.65%,IT,Gartner Inc,60.49%,YUM,Yum! Brands Inc,84.51%,IFF,Intl Flavors & Fragrances,74.48%,ABC,AmerisourceBergen Corp,82.22%,VTR,Ventas Inc,251.33%,FMC,FMC Corporation,178.25%,KLAC,KLA-Tencor Corp.,138.54%,RE,Everest Re,139.58%,SBAC,SBA Communications,169.13%,HIG,Hartford Financial Svc.Gp.
98,311.90%,RCL,Royal Caribbean Cruises Ltd,278.19%,WFC,Wells Fargo,191.77%,COO,The Cooper Companies,89.01%,DHI,D. R. Horton,136.84%,RDC,Rowan Companies Plc,194.22%,NBL,Noble Energy Inc,205.54%,BCR,Bard (C.R.) Inc.,199.47%,SBR,Sabre Holdings,167.11%,PSA,Public Storage,57.33%,BXP,Boston Properties,58.22%,PBCT,People's United Financial,84.32%,MON,Monsanto Co.,73.34%,AN,AutoNation Inc,80.23%,AVB,"AvalonBay Communities, Inc.",245.66%,NOV,National Oilwell Varco Inc.,177.40%,IDXX,IDEXX Laboratories,137.84%,ADP,Automatic Data Processing,139.07%,SLM,SLM Corporation,168.40%,GHC,Graham Holdings
99,309.47%,ECL,Ecolab,278.14%,PDCO,Patterson Companies,191.71%,BLL,Ball Corp,88.46%,PPL,PPL Corp.,136.56%,ZBH,Zimmer Biomet Holdings,194.09%,JEC,Jacobs Engineering Group,204.33%,UDR,UDR Inc,198.47%,CHRW,C. H. Robinson Worldwide,164.04%,FE,FirstEnergy Corp,57.22%,APC,Anadarko Petroleum Corp,57.97%,TMO,Thermo Fisher Scientific,84.28%,CAT,Caterpillar Inc.,73.31%,XEC,Cimarex Energy,79.61%,BF.B,Brown-Forman Corp.,244.63%,MO,Altria Group Inc,176.16%,AWK,American Water Works Company Inc,137.58%,CRM,Salesforce.com,138.94%,PAYX,Paychex Inc.,168.27%,MMC,Marsh & McLennan
100,308.22%,WMB,Williams Cos.,272.85%,TROW,T. Rowe Price Group,191.55%,SPGI,"S&P Global, Inc.",86.83%,ABC,AmerisourceBergen Corp,136.38%,AMGN,Amgen Inc,194.02%,ARE,Alexandria Real Estate Equities Inc,202.49%,SIG,Signet Jewelers,197.57%,UDR,UDR Inc,161.98%,RJF,Raymond James Financial Inc.,56.89%,AVB,"AvalonBay Communities, Inc.",57.78%,FRT,Federal Realty Investment Trust,83.76%,VFC,V.F. Corp.,71.43%,O,Realty Income Corporation,77.99%,BIG,Big Lots Inc.,242.68%,AZO,AutoZone Inc,176.06%,VIAB,Viacom Inc.,136.79%,IFF,Intl Flavors & Fragrances,138.90%,RSG,Republic Services Inc,167.78%,SAIC,SAIC
101,298.33%,FOSL,Fossil Group,272.17%,ORLY,O'Reilly Automotive,186.36%,ADP,Automatic Data Processing,86.22%,ETR,Entergy Corp.,136.33%,SBUX,Starbucks Corp.,193.71%,EA,Electronic Arts,201.72%,LOW,Lowe's Cos.,196.85%,NOV,National Oilwell Varco Inc.,161.88%,PH,Parker-Hannifin,56.16%,NKE,Nike,57.77%,KO,Coca-Cola Company,82.83%,TMO,Thermo Fisher Scientific,71.11%,IT,Gartner Inc,75.69%,MPC,Marathon Petroleum,239.03%,KLAC,KLA-Tencor Corp.,175.79%,SLM,SLM Corporation,136.39%,NCLH,Norwegian Cruise Line,137.95%,GOOGL,Alphabet Inc Class A,167.48%,NKE,Nike
102,293.02%,WFC,Wells Fargo,270.36%,LEN,Lennar Corp.,184.54%,VAR,Varian Medical Systems,85.86%,MTD,Mettler Toledo,135.63%,JEC,Jacobs Engineering Group,191.77%,CHRW,C. H. Robinson Worldwide,201.35%,VNO,Vornado Realty Trust,196.58%,LM,Legg Mason,161.56%,CNP,CenterPoint Energy,55.92%,IDXX,IDEXX Laboratories,56.49%,CME,CME Group Inc.,82.28%,CELG,Celgene Corp.,71.11%,HCN,Welltower Inc.,75.58%,SWK,Stanley Black & Decker,237.59%,SPG,Simon Property Group Inc,174.94%,COG,Cabot Oil & Gas,134.75%,CLX,The Clorox Company,137.67%,BA,Boeing Company,165.58%,NEE,NextEra Energy
103,291.83%,FISV,Fiserv Inc,269.81%,ADBE,Adobe Systems Inc,182.00%,RJF,Raymond James Financial Inc.,85.37%,BSX,Boston Scientific,133.67%,LSI,LSI Corporation,190.79%,MGM,MGM Resorts International,200.75%,X,United States Steel Corporation,195.66%,RL,Polo Ralph Lauren Corp.,157.78%,COST,Costco Wholesale Corp.,55.36%,CB,Chubb Corp,56.20%,KMX,Carmax Inc,81.99%,CVX,Chevron Corp.,69.29%,HRL,Hormel Foods Corp.,75.10%,MCD,McDonald's Corp.,235.50%,KORS,Michael Kors Holdings,174.56%,KMX,Carmax Inc,134.61%,EBAY,eBay,133.82%,HON,Honeywell Int'l Inc.,165.38%,DHI,D. R. Horton
104,290.14%,MCHP,Microchip Technology,269.18%,AMAT,Applied Materials Inc,181.32%,ALXN,Alexion Pharmaceuticals,85.18%,APA,Apache Corporation,133.26%,SPG,Simon Property Group Inc,188.15%,AVB,"AvalonBay Communities, Inc.",199.55%,MON,Monsanto Co.,193.76%,NSC,Norfolk Southern Corp.,156.47%,ORLY,O'Reilly Automotive,54.57%,BF.B,Brown-Forman Corp.,56.09%,APD,Air Products & Chemicals Inc,81.27%,RMD,ResMed,69.24%,BMY,Bristol-Myers Squibb,74.48%,PHM,Pulte Homes Inc.,235.33%,SHW,Sherwin-Williams,173.35%,FOX,Twenty-First Century Fox Class B,134.53%,CMS,CMS Energy,133.18%,LSI,LSI Corporation,164.96%,XYL,Xylem Inc.
105,287.61%,RHT,Red Hat Inc.,265.55%,MTD,Mettler Toledo,179.37%,JEC,Jacobs Engineering Group,83.93%,MKC,McCormick & Co.,133.25%,CHD,Church & Dwight,185.50%,MKC,McCormick & Co.,197.63%,YUM,Yum! Brands Inc,191.20%,LKQ,LKQ Corporation,154.02%,BF.B,Brown-Forman Corp.,53.34%,SO,Southern Co.,55.43%,BF.B,Brown-Forman Corp.,80.91%,ATVI,Activision Blizzard,68.93%,CAT,Caterpillar Inc.,73.86%,NKE,Nike,233.06%,NKE,Nike,172.08%,COST,Costco Wholesale Corp.,133.93%,TWX,Time Warner Inc.,132.70%,ADI,"Analog Devices, Inc.",162.18%,LOW,Lowe's Cos.
106,287.17%,ESV,Ensco plc,265.23%,CTAS,Cintas Corporation,179.21%,KLAC,KLA-Tencor Corp.,83.92%,TGT,Target Corp.,132.94%,AMG,Affiliated Managers Group Inc,185.02%,BWA,BorgWarner,195.49%,JEC,Jacobs Engineering Group,190.96%,NRG,NRG Energy,152.67%,SVU,Supervalu Inc.,52.05%,MO,Altria Group Inc,54.80%,NKE,Nike,78.48%,CTL,CenturyLink Inc,68.65%,VTR,Ventas Inc,73.46%,CCI,Crown Castle International Corp.,232.19%,TMO,Thermo Fisher Scientific,171.99%,TRIP,TripAdvisor,132.87%,MDT,Medtronic plc,131.32%,RJF,Raymond James Financial Inc.,161.65%,RF,Regions Financial Corp.
107,286.86%,MRK,Merck & Co.,261.93%,LLY,Lilly (Eli) & Co.,176.56%,XL,XL Capital,83.57%,MGM,MGM Resorts International,132.74%,PX,Praxair Inc.,184.69%,COG,Cabot Oil & Gas,194.34%,PVH,PVH Corp.,190.91%,EXPD,Expeditors International,152.33%,IRM,Iron Mountain Incorporated,52.03%,CL,Colgate-Palmolive,54.74%,TJX,TJX Companies Inc.,74.11%,APA,Apache Corporation,68.56%,BLL,Ball Corp,73.27%,NI,NiSource Inc.,231.54%,PH,Parker-Hannifin,171.97%,IFF,Intl Flavors & Fragrances,132.34%,PRGO,Perrigo,126.74%,UNM,Unum Group,160.86%,IT,Gartner Inc
108,286.54%,RIG,Transocean,261.71%,UTX,United Technologies,175.78%,FLIR,FLIR Systems,83.15%,KLAC,KLA-Tencor Corp.,132.61%,KIM,Kimco Realty,183.02%,MAA,Mid-America Apartments,192.87%,ITT,ITT Corp.,190.06%,CNX,Consol Energy,149.80%,MCK,McKesson Corp.,51.30%,APH,Amphenol Corp,53.97%,SHW,Sherwin-Williams,73.08%,ABC,AmerisourceBergen Corp,67.94%,WEC,Wec Energy Group Inc,73.20%,HCP,HCP Inc.,231.25%,NOC,Northrop Grumman Corp.,171.22%,KEY,KeyCorp,131.48%,BF.B,Brown-Forman Corp.,126.35%,CAG,Conagra Brands,160.52%,DRI,Darden Restaurants
109,285.48%,ADP,Automatic Data Processing,260.44%,ADP,Automatic Data Processing,172.74%,DLTR,Dollar Tree,82.05%,UTX,United Technologies,132.21%,CNX,Consol Energy,182.58%,AZO,AutoZone Inc,188.23%,XRX,Xerox Corp.,189.81%,HST,Host Hotels & Resorts,149.60%,NTAP,NetApp,50.64%,HAS,Hasbro Inc.,53.29%,VFC,V.F. Corp.,71.88%,PPG,PPG Industries,67.38%,EOG,EOG Resources,72.64%,CTXS,Citrix Systems,231.22%,AYI,Acuity Brands Inc,171.10%,BF.B,Brown-Forman Corp.,130.92%,EL,Estee Lauder Cos.,125.55%,FDX,FedEx Corporation,160.10%,AON,Aon plc
110,284.91%,REGN,Regeneron,257.27%,FISV,Fiserv Inc,169.14%,EQT,EQT Corporation,81.46%,UDR,UDR Inc,130.83%,VLO,Valero Energy,181.17%,ANTM,Anthem Inc.,187.97%,KIM,Kimco Realty,189.20%,OKE,ONEOK,148.99%,REG,Regency Centers Corporation,50.39%,LLL,L-3 Communications Holdings,53.22%,PEG,Public Serv. Enterprise Inc.,71.32%,SLB,Schlumberger Ltd.,67.24%,COST,Costco Wholesale Corp.,72.47%,LOW,Lowe's Cos.,230.74%,RJF,Raymond James Financial Inc.,169.52%,BA,Boeing Company,130.53%,AAP,Advance Auto Parts,125.09%,EBAY,eBay,159.32%,NSC,Norfolk Southern Corp.
111,284.72%,SYK,Stryker Corp.,254.61%,AIV,Apartment Investment & Management,168.56%,THC,Tenet Healthcare,80.84%,LM,Legg Mason,130.44%,HCN,Welltower Inc.,179.64%,SYK,Stryker Corp.,187.86%,IRM,Iron Mountain Incorporated,189.15%,APA,Apache Corporation,147.67%,XRAY,Dentsply Sirona,47.88%,COST,Costco Wholesale Corp.,51.36%,ADM,Archer-Daniels-Midland Co,70.91%,APD,Air Products & Chemicals Inc,66.99%,NSC,Norfolk Southern Corp.,70.86%,FTI,TechnipFMC,229.40%,ROP,Roper Technologies,169.29%,WHR,Whirlpool Corp.,130.42%,CINF,Cincinnati Financial,124.91%,NKE,Nike,158.01%,DLTR,Dollar Tree
112,282.50%,CLX,The Clorox Company,254.17%,ROST,Ross Stores,167.53%,CL,Colgate-Palmolive,80.72%,MTB,M&T Bank Corp.,128.94%,AME,AMETEK Inc,179.46%,MTB,M&T Bank Corp.,186.38%,ETN,Eaton Corporation,188.35%,HCP,HCP Inc.,147.03%,IGT,International Game Technology,47.37%,KR,Kroger Co.,51.06%,HSIC,Henry Schein,70.62%,HRL,Hormel Foods Corp.,66.94%,KO,Coca-Cola Company,70.78%,HRL,Hormel Foods Corp.,228.82%,DOV,Dover Corp.,168.32%,TMO,Thermo Fisher Scientific,129.91%,AIZ,Assurant Inc,124.89%,HOLX,Hologic,157.55%,EQIX,Equinix
113,281.03%,PG,Procter & Gamble,253.78%,INCY,Incyte,166.85%,MTB,M&T Bank Corp.,80.33%,JBL,Jabil Circuit,128.70%,FAST,Fastenal Co,178.87%,PPL,PPL Corp.,185.38%,SBUX,Starbucks Corp.,185.03%,IGT,International Game Technology,144.58%,PFG,Principal Financial Group,47.34%,DGX,Quest Diagnostics,50.94%,AKS,AK Steel Holding Corp.,69.97%,VZ,Verizon Communications,66.81%,EXR,Extra Space Storage,70.34%,QCOM,QUALCOMM Inc.,226.65%,AAL,American Airlines Group,166.50%,PSA,Public Storage,129.89%,TRV,The Travelers Companies Inc.,123.21%,WFC,Wells Fargo,156.77%,ACN,Accenture plc
114,280.15%,DHR,Danaher Corp.,251.39%,NFX,Newfield Exploration Co,166.20%,SBUX,Starbucks Corp.,80.07%,CTAS,Cintas Corporation,127.84%,STZ,Constellation Brands,178.79%,FAST,Fastenal Co,182.85%,ETFC,E*Trade,184.70%,PLD,Prologis,143.87%,LLL,L-3 Communications Holdings,46.14%,REG,Regency Centers Corporation,50.82%,SPG,Simon Property Group Inc,69.41%,TPR,"Tapestry, Inc.",66.18%,ED,Consolidated Edison,69.83%,CMS,CMS Energy,224.72%,FISV,Fiserv Inc,165.50%,ITT,ITT Corp.,129.36%,ICE,Intercontinental Exchange,121.36%,COST,Costco Wholesale Corp.,153.03%,TER,Teradyne
115,274.77%,DXC,DXC Technology,245.35%,IRM,Iron Mountain Incorporated,165.96%,AMG,Affiliated Managers Group Inc,79.64%,MCO,Moody's Corp,126.54%,C,Citigroup Inc.,178.75%,MON,Monsanto Co.,181.80%,CAT,Caterpillar Inc.,184.61%,NBL,Noble Energy Inc,140.50%,TSS,Total System Services,44.22%,VFC,V.F. Corp.,50.48%,SWKS,Skyworks Solutions,68.88%,IVZ,Invesco Ltd.,65.41%,CTSH,Cognizant Technology Solutions,69.81%,CELG,Celgene Corp.,223.08%,IFF,Intl Flavors & Fragrances,165.27%,AIV,Apartment Investment & Management,128.15%,MSFT,Microsoft Corp.,120.45%,LEN,Lennar Corp.,150.75%,RSG,Republic Services Inc
116,273.77%,CTL,CenturyLink Inc,240.87%,XL,XL Capital,165.66%,ROST,Ross Stores,79.20%,MUR,Murphy Oil,123.96%,MET,MetLife Inc.,175.55%,ANDV,Andeavor,181.46%,ATI,Allegheny Technologies,182.11%,SRE,Sempra Energy,139.91%,MET,MetLife Inc.,40.86%,CMG,Chipotle Mexican Grill,49.49%,LMT,Lockheed Martin Corp.,68.67%,CCK,Crown Holdings,65.32%,BIG,Big Lots Inc.,66.10%,UDR,UDR Inc,221.86%,GPS,Gap Inc.,164.17%,ROK,Rockwell Automation Inc.,127.77%,NVDA,Nvidia Corporation,119.50%,LB,L Brands Inc.,149.13%,STI,SunTrust Banks
117,268.55%,RHI,Robert Half International,240.17%,ZION,Zions Bancorp,164.95%,ROP,Roper Technologies,79.20%,KIM,Kimco Realty,123.84%,RE,Everest Re,174.72%,BXP,Boston Properties,181.44%,BLK,BlackRock,180.99%,DO,Diamond Offshore Drilling,139.31%,HAS,Hasbro Inc.,40.78%,GPN,Global Payments Inc,48.60%,DVA,DaVita,68.67%,MKC,McCormick & Co.,64.65%,DPS,Dr Pepper Snapple Group,66.07%,GPC,Genuine Parts,221.00%,HRL,Hormel Foods Corp.,164.07%,ALL,Allstate Corp,126.83%,TMK,Torchmark Corp.,118.45%,GT,Goodyear Tire & Rubber,148.64%,IFF,Intl Flavors & Fragrances
118,267.80%,JNJ,Johnson & Johnson,239.84%,SIG,Signet Jewelers,163.99%,BK,The Bank of New York Mellon Corp.,79.14%,MDT,Medtronic plc,123.76%,VNO,Vornado Realty Trust,173.95%,PNR,Pentair Ltd.,181.26%,R,Ryder Systems Inc.,180.57%,RCL,Royal Caribbean Cruises Ltd,138.78%,RSG,Republic Services Inc,40.72%,IRM,Iron Mountain Incorporated,48.26%,UTX,United Technologies,68.59%,EXPD,Expeditors International,62.70%,GIS,General Mills,65.43%,M,Macy's Inc.,219.92%,SLM,SLM Corporation,162.92%,AON,Aon plc,125.59%,VRSK,Verisk Analytics,116.79%,REG,Regency Centers Corporation,148.55%,LNT,Alliant Energy Corp
119,266.74%,DOV,Dover Corp.,232.86%,NVDA,Nvidia Corporation,163.80%,CHRW,C. H. Robinson Worldwide,79.06%,UHS,"Universal Health Services, Inc.",123.61%,ARNC,Arconic Inc,172.71%,MET,MetLife Inc.,181.23%,SLM,SLM Corporation,179.02%,AAL,American Airlines Group,128.17%,TXN,Texas Instruments,40.35%,SPG,Simon Property Group Inc,47.83%,RTN,Raytheon Co.,68.50%,SNA,Snap-On Inc.,62.69%,CHTR,Charter Communications,65.28%,DIS,The Walt Disney Company,218.99%,HON,Honeywell Int'l Inc.,161.34%,PH,Parker-Hannifin,125.53%,ITT,ITT Corp.,116.45%,AAPL,Apple Inc.,148.42%,DRE,Duke Realty Corp
120,265.96%,ORLY,O'Reilly Automotive,230.80%,MTB,M&T Bank Corp.,163.54%,ABC,AmerisourceBergen Corp,78.65%,CAH,Cardinal Health,120.61%,LLL,L-3 Communications Holdings,171.36%,LMT,Lockheed Martin Corp.,179.55%,EOG,EOG Resources,178.15%,IDXX,IDEXX Laboratories,127.89%,R,Ryder Systems Inc.,40.24%,AKAM,Akamai Technologies Inc,47.83%,HUM,Humana Inc.,68.12%,PSA,Public Storage,62.21%,COO,The Cooper Companies,65.27%,INCY,Incyte,216.46%,TXN,Texas Instruments,159.24%,RJF,Raymond James Financial Inc.,124.70%,DF,Dean Foods,115.02%,OMC,Omnicom Group,148.07%,PH,Parker-Hannifin
121,265.70%,IRM,Iron Mountain Incorporated,226.56%,APH,Amphenol Corp,161.09%,AZO,AutoZone Inc,78.59%,SPGI,"S&P Global, Inc.",120.15%,FOSL,Fossil Group,171.26%,OKE,ONEOK,178.52%,GRA,W.R. Grace,177.09%,EQT,EQT Corporation,127.41%,ITT,ITT Corp.,40.17%,QCOM,QUALCOMM Inc.,46.74%,XOM,Exxon Mobil Corp.,67.95%,PXD,Pioneer Natural Resources,62.10%,ADS,Alliance Data Systems,64.90%,GIS,General Mills,215.90%,LVLT,Level 3 Communications,157.88%,DVA,DaVita,122.14%,ABT,Abbott Laboratories,114.71%,CCI,Crown Castle International Corp.,148.04%,CRM,Salesforce.com
122,265.21%,HON,Honeywell Int'l Inc.,225.99%,SLB,Schlumberger Ltd.,161.00%,GE,General Electric,78.52%,MET,MetLife Inc.,119.88%,DE,Deere & Co.,170.07%,CERN,Cerner,177.96%,EXPD,Expeditors International,175.31%,PRU,Prudential Financial,126.34%,QCOM,QUALCOMM Inc.,39.64%,SNA,Snap-On Inc.,46.70%,CB,Chubb Corp,67.40%,DIS,The Walt Disney Company,61.85%,PH,Parker-Hannifin,64.55%,JWN,Nordstrom,215.89%,BBBY,Bed Bath & Beyond,155.14%,AIZ,Assurant Inc,120.96%,CAG,Conagra Brands,113.98%,SIG,Signet Jewelers,147.93%,IGT,International Game Technology
123,262.62%,SBUX,Starbucks Corp.,223.03%,RE,Everest Re,160.56%,DHR,Danaher Corp.,78.51%,MYL,Mylan N.V.,119.48%,ETR,Entergy Corp.,169.45%,PLD,Prologis,176.83%,ADS,Alliance Data Systems,175.22%,ETR,Entergy Corp.,126.14%,SHW,Sherwin-Williams,39.29%,TDG,TransDigm Group,45.59%,AYI,Acuity Brands Inc,66.77%,FAST,Fastenal Co,60.74%,CNC,Centene Corporation,64.21%,PKG,Packaging Corporation of America,215.36%,SNA,Snap-On Inc.,155.09%,ADP,Automatic Data Processing,120.66%,PFE,Pfizer Inc.,113.80%,ROP,Roper Technologies,147.84%,COL,Rockwell Collins
124,262.57%,SLB,Schlumberger Ltd.,222.68%,HIG,Hartford Financial Svc.Gp.,160.45%,VMC,Vulcan Materials,78.10%,FDX,FedEx Corporation,119.00%,SO,Southern Co.,169.22%,ZBH,Zimmer Biomet Holdings,174.45%,CNX,Consol Energy,174.90%,ICE,Intercontinental Exchange,125.86%,SYK,Stryker Corp.,38.55%,ABT,Abbott Laboratories,45.12%,OI,Owens-Illinois,66.07%,RRC,Range Resources Corp.,59.92%,FCX,Freeport-McMoRan Inc.,63.73%,HAS,Hasbro Inc.,215.12%,PKI,PerkinElmer,155.04%,WY,Weyerhaeuser Corp.,120.20%,FOXA,Twenty-First Century Fox Class A,112.96%,C,Citigroup Inc.,147.63%,PRU,Prudential Financial
125,259.49%,MU,Micron Technology,220.78%,BBT,BB&T Corporation,157.72%,USB,U.S. Bancorp,77.24%,SJM,JM Smucker,118.95%,LOW,Lowe's Cos.,168.47%,ITT,ITT Corp.,174.19%,FDX,FedEx Corporation,174.18%,GME,GameStop,124.40%,BAX,Baxter International Inc.,37.11%,GD,General Dynamics,44.78%,IT,Gartner Inc,65.15%,GIS,General Mills,59.59%,SO,Southern Co.,63.35%,TER,Teradyne,212.66%,AKAM,Akamai Technologies Inc,155.01%,SUN,Sunoco Inc.,119.20%,CCE,Coca-Cola Enterprises,112.14%,MCHP,Microchip Technology,146.67%,IR,Ingersoll-Rand PLC
126,259.02%,LOW,Lowe's Cos.,218.22%,MRK,Merck & Co.,157.00%,MCHP,Microchip Technology,74.37%,ARE,Alexandria Real Estate Equities Inc,118.73%,INTU,Intuit,165.13%,SJM,JM Smucker,174.10%,DF,Dean Foods,173.99%,GPN,Global Payments Inc,120.92%,KMX,Carmax Inc,36.84%,VNO,Vornado Realty Trust,42.70%,XEC,Cimarex Energy,64.39%,UAA,Under Armour,59.16%,ACN,Accenture plc,63.24%,CBS,CBS Corp.,212.66%,ANSS,ANSYS,154.30%,DISCK,Discovery Communications,118.18%,HON,Honeywell Int'l Inc.,110.98%,KMX,Carmax Inc,146.28%,INTC,Intel Corp.
127,258.92%,AON,Aon plc,214.75%,DF,Dean Foods,156.17%,CSCO,Cisco Systems,74.09%,REG,Regency Centers Corporation,115.30%,WYNN,Wynn Resorts,164.33%,RJF,Raymond James Financial Inc.,172.76%,ARE,Alexandria Real Estate Equities Inc,173.54%,TROW,T. Rowe Price Group,120.39%,INCY,Incyte,35.20%,TMO,Thermo Fisher Scientific,42.52%,BXP,Boston Properties,64.13%,CL,Colgate-Palmolive,59.15%,CCK,Crown Holdings,62.42%,ANSS,ANSYS,212.12%,WY,Weyerhaeuser Corp.,152.61%,R,Ryder Systems Inc.,115.97%,FRT,Federal Realty Investment Trust,110.29%,GLW,Corning Inc.,145.74%,Q,Qwest Communications
128,253.10%,ESRX,Express Scripts,214.29%,EA,Electronic Arts,153.74%,JNJ,Johnson & Johnson,74.06%,JNJ,Johnson & Johnson,115.24%,ADS,Alliance Data Systems,160.10%,BCR,Bard (C.R.) Inc.,172.74%,SVU,Supervalu Inc.,173.48%,ETN,Eaton Corporation,120.32%,RTN,Raytheon Co.,35.18%,AFL,AFLAC Inc,42.04%,GD,General Dynamics,63.79%,LH,Laboratory Corp. of America Holding,58.86%,AMT,American Tower Corp A,62.25%,FLS,Flowserve Corporation,211.01%,ITT,ITT Corp.,152.04%,NDAQ,"Nasdaq, Inc.",112.37%,AON,Aon plc,110.28%,ITT,ITT Corp.,143.64%,COO,The Cooper Companies
129,251.76%,F,Ford Motor,213.71%,ESV,Ensco plc,153.19%,RE,Everest Re,73.45%,AMG,Affiliated Managers Group Inc,113.37%,NFX,Newfield Exploration Co,160.09%,EXPD,Expeditors International,172.18%,CMI,Cummins Inc.,171.98%,ANF,Abercrombie & Fitch,120.01%,AFL,AFLAC Inc,35.00%,PCAR,PACCAR Inc.,41.37%,SNA,Snap-On Inc.,62.94%,CCI,Crown Castle International Corp.,58.71%,ILMN,Illumina Inc,62.00%,ALB,Albemarle Corp,210.78%,ADI,"Analog Devices, Inc.",148.46%,AKAM,Akamai Technologies Inc,111.15%,AME,AMETEK Inc,109.81%,BRK.B,Berkshire Hathaway,143.01%,AYI,Acuity Brands Inc
130,248.09%,IR,Ingersoll-Rand PLC,213.21%,IPG,Interpublic Group,152.66%,BCR,Bard (C.R.) Inc.,73.43%,DTE,DTE Energy,111.79%,PSA,Public Storage,158.87%,WDC,Western Digital,171.27%,MGM,MGM Resorts International,171.57%,BCR,Bard (C.R.) Inc.,118.62%,BK,The Bank of New York Mellon Corp.,34.01%,ORCL,Oracle Corp.,41.30%,FE,FirstEnergy Corp,62.75%,RHT,Red Hat Inc.,58.57%,CL,Colgate-Palmolive,61.89%,GPS,Gap Inc.,208.92%,OMC,Omnicom Group,148.23%,IRM,Iron Mountain Incorporated,110.69%,IDXX,IDEXX Laboratories,109.80%,USB,U.S. Bancorp,140.65%,SBUX,Starbucks Corp.
131,247.00%,RDC,Rowan Companies Plc,211.79%,HP,Helmerich & Payne,151.70%,CAH,Cardinal Health,73.20%,FITB,Fifth Third Bancorp,110.77%,BXP,Boston Properties,158.03%,HSY,The Hershey Company,170.99%,PXD,Pioneer Natural Resources,170.98%,COP,ConocoPhillips,118.40%,JPM,JPMorgan Chase & Co.,33.68%,ENDP,Endo International plc,40.87%,PXD,Pioneer Natural Resources,62.05%,APC,Anadarko Petroleum Corp,58.34%,PSA,Public Storage,61.09%,COST,Costco Wholesale Corp.,202.45%,ISRG,Intuitive Surgical Inc.,147.76%,MMI,Motorola Mobility,110.55%,CCI,Crown Castle International Corp.,109.35%,CPB,Campbell Soup,140.59%,FBHS,Fortune Brands Home & Security
