Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-15.38,-19.11,-20.81,-17.16,-13.61,-47.28,-12.61,-9.95,-10.59,-11.95,-11.95
Financial Leverage (Average),1.1,1.5,1.05,1.05,1.06,1.05,1.39,1.02,1.03,1.02,1.02
Return on Equity %,-16.65,-24.84,-25.32,-18.01,-14.37,-49.88,-15.56,-11.87,-10.83,-12.25,-12.25
Return on Invested Capital %,-20.33,-25.78,-26.21,-18.53,-15.32,-50.21,-11.5,-11.13,-10.94,-12.48,-12.48
Interest Coverage,,,,,,,,-13.21,,,
