Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,59.1,60.16,56.19,56.88,57.39,56.99,56.55,56.73,55.31,55.63,56.37
Gross Margin,40.9,39.84,43.81,43.12,42.61,43.01,43.45,43.27,44.69,44.37,43.63
SG&A,12.66,12.15,12.15,11.82,11.01,11.32,11.31,10.66,10.69,10.87,9.88
R&D,1.04,0.9,0.83,0.78,0.8,0.87,0.82,0.78,0.86,0.87,0.83
Other,8.2,9.35,13.25,9.93,8.86,9.11,9.3,10.58,11.6,11.38,11.25
Operating Margin,19.0,17.44,17.59,20.58,21.93,21.71,22.01,21.25,21.54,21.25,21.67
Net Int Inc & Other,-1.84,-1.83,-1.49,-1.17,-1.29,-1.26,-1.49,-1.74,-1.49,-1.8,-1.42
EBT Margin,17.16,15.61,16.1,19.41,20.65,20.46,20.52,19.51,20.04,19.44,20.25
