Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,37.79,6.91,2.75,23.95,23.92,16.74,17.89,15.37,11.01,27.72,38.29
3-Year Average,18.05,13.64,14.82,10.83,16.43,21.49,19.47,16.66,14.72,17.82,
5-Year Average,30.41,19.89,12.56,13.32,18.38,14.52,16.78,19.52,16.91,17.62,
10-Year Average,,,94.12,49.94,26.32,22.2,18.32,15.99,15.1,18.0,
