Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,51.75,52.12,51.4,52.11,53.89,52.92,54.65,54.59,55.16,53.68,53.78
Gross Margin,48.25,47.88,48.6,47.89,46.11,47.08,45.35,45.41,44.84,46.32,46.22
SG&A,30.19,29.65,31.33,31.48,31.73,32.75,33.49,32.26,37.19,39.64,39.39
R&D,4.45,4.6,5.13,4.32,3.56,3.91,3.95,4.49,5.91,5.16,5.01
Other,2.19,4.0,2.75,2.65,3.1,3.38,6.45,2.57,3.32,4.39,4.37
Operating Margin,11.43,9.63,9.39,9.45,7.72,7.04,1.46,6.09,-1.58,-2.87,-2.55
Net Int Inc & Other,0.04,-0.94,2.05,-0.61,-1.41,-0.84,-1.05,-2.03,-1.74,-0.08,-0.79
EBT Margin,11.47,8.69,11.44,8.84,6.31,6.2,0.41,4.06,-3.32,-2.94,-3.35
