Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,76.01,-58.88,115.25,103.87,-16.08,-40.03,78.09,-4.72,33.85,
3-Year Average,,,,15.93,21.74,54.43,0.86,-3.58,0.59,31.45,
5-Year Average,10.99,,,,,21.66,-1.91,31.51,11.73,2.71,
10-Year Average,-3.49,-0.49,-9.3,-3.12,,16.2,,,,,
