Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-13.69,20.83,-13.97,1.37,4.94,3.34,7.41,5.23,3.71,4.78,1.45
3-Year Average,1.69,5.29,-3.55,1.76,-2.91,3.21,5.22,5.32,5.44,4.57,
5-Year Average,8.83,9.33,1.8,0.36,-0.93,2.71,0.31,4.44,4.92,4.89,
10-Year Average,14.94,14.41,11.22,9.59,8.66,5.72,4.73,3.11,2.61,1.94,
