Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,-1.55,-71.09,123.64,,,,
Free Cash Flow Growth % YOY,,,,,-13.85,-71.52,103.76,,,,
Cap Ex as a % of Sales,0.82,0.9,0.57,0.11,0.75,0.25,0.52,1.4,0.32,0.13,
Free Cash Flow/Sales %,-2.53,11.99,-12.69,5.65,4.53,1.36,1.75,-4.58,-12.56,-23.76,-16.3
Free Cash Flow/Net Income,-0.4,2.07,2.81,4.23,2.16,14.31,0.09,-1.71,0.5,0.33,0.25
