Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-18.6,-49.62,-34.97,21.8,-13.19,23.3,8.49,11.8,3.37,171.68,
3-Year Average,1.29,-22.12,-35.63,-26.38,-11.74,9.25,5.11,14.36,7.83,46.43,
5-Year Average,-2.49,-11.74,-19.38,-17.85,-22.37,-15.64,-1.66,9.6,6.06,33.25,
10-Year Average,4.49,-0.85,-8.36,-7.49,-8.85,-9.31,-6.83,-6.0,-6.65,1.71,
