Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,40.07,39.56,37.39,35.53,34.79,37.31,39.61,38.93,37.56,38.92,40.13
Gross Margin,59.93,60.44,62.61,64.47,65.21,62.69,60.39,61.07,62.44,61.08,59.87
SG&A,16.52,17.2,15.44,16.24,19.29,19.43,19.79,21.18,20.25,19.35,17.99
R&D,12.78,12.82,12.02,12.83,13.62,13.21,12.86,14.9,16.38,15.45,15.24
Other,,,,,1.32,,,,,,2.62
Operating Margin,30.64,30.43,35.14,35.4,30.98,30.05,27.74,24.99,25.82,26.27,24.02
Net Int Inc & Other,3.55,-3.57,0.29,1.42,1.54,1.38,0.89,1.16,0.39,0.48,0.87
EBT Margin,34.19,26.86,35.44,36.82,32.52,31.43,28.64,26.15,26.21,26.75,24.89
