Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.1,-5.87,17.45,3.71,3.07,-2.73,10.2,-1.16,-14.05,18.8,8.76
3-Year Average,11.8,10.33,4.12,4.67,7.88,1.31,3.38,1.95,-2.17,0.31,
5-Year Average,13.01,9.38,9.09,10.35,3.83,2.83,6.12,2.52,-1.26,1.59,
10-Year Average,9.63,9.38,10.65,10.2,10.61,7.8,7.74,5.76,4.38,2.7,
