Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.9,11.36,3.38,7.31,6.48,2.13,3.09,8.99,2.78,8.72,5.09
3-Year Average,9.96,11.45,8.48,7.3,5.71,5.28,3.88,4.69,4.91,6.79,
5-Year Average,11.57,11.34,8.89,8.96,7.84,6.08,4.46,5.57,4.66,5.1,
10-Year Average,6.14,7.73,9.36,9.49,9.38,8.79,7.84,7.21,6.79,6.46,
