Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,,,,-15.57,-34.13,
3-Year Average,22.43,,,,,,,64.87,,,
5-Year Average,,,,,,,,,,20.04,
10-Year Average,,,,,,,,16.7,4.55,,
