Key Financials AUD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue AUD Mil,,,,,3.0,,2.0,,,,
Gross Margin %,,,,,55.0,,,,,,
Operating Income AUD Mil,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,-0.0,-3.0,-3.0,-2.0,-2.0
Operating Margin %,,,,,-77.9,,-3.7,,,,
Net Income AUD Mil,-0.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,-2.0,-2.0,-1.0,-1.0
Earnings Per Share AUD,,,,,,,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,473.0,473.0,473.0,473.0,582.0,619.0,619.0,613.0,687.0,704.0,700.0
Book Value Per Share * AUD,,,,,,,,,,,-0.01
Operating Cash Flow AUD Mil,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,2.0,0.0,-0.0,1.0,-0.0
Cap Spending AUD Mil,-0.0,,-0.0,-0.0,-1.0,-0.0,-2.0,-0.0,-1.0,-1.0,-0.0
Free Cash Flow AUD Mil,-1.0,-1.0,0.0,-1.0,-2.0,-2.0,-0.0,0.0,-1.0,0.0,-0.0
Free Cash Flow Per Share * AUD,,,,,,,,,,,
Working Capital AUD Mil,2.0,1.0,1.0,0.0,0.0,-1.0,-3.0,-5.0,-6.0,-7.0,
