Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-26.34,-40.13,-72.16,9.27,-48.62,-109.07,-22.99,-63.74,-100.9,-140.76,-140.76
Financial Leverage (Average),1.01,1.07,1.09,1.02,2.1,,,,,,
Return on Equity %,-26.54,-41.39,-77.33,9.73,-67.16,,,,,,
Return on Invested Capital %,-31.86,-44.77,-78.07,9.69,-40.0,-106.8,,,,,
Interest Coverage,,,-441.54,,,-16.87,-305.31,,-11.05,-31.1,-31.1
