Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,238.41,-82.8,123.97,70.12,-34.75,5.62,17.43,
3-Year Average,,,-13.47,,,9.23,-13.15,35.47,5.45,-6.81,
5-Year Average,,,5.69,15.38,-17.72,,,7.67,-14.7,25.26,
10-Year Average,,,51.11,,,,,6.67,-0.8,1.52,
