Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,26.62,-26.81,-11.65,55.03,15.03,14.28,18.57,17.36,-0.54,-0.65,
3-Year Average,25.75,4.43,-6.45,0.08,16.36,26.78,15.94,16.72,11.44,5.06,
5-Year Average,28.12,16.62,5.15,9.3,7.86,5.67,16.38,23.18,12.72,9.46,
10-Year Average,16.6,10.92,6.12,9.59,14.72,16.36,16.5,13.81,10.99,8.66,
