Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,-6.55,-8.14,-11.94,-9.09,-77.76,-108.43,-35.17,-40.99,-11.76,-10.83,-10.83
Financial Leverage (Average),1.36,1.44,1.01,1.02,1.04,1.61,1.08,1.03,1.02,1.05,1.05
Return on Equity %,-8.2,-11.41,-14.61,-9.22,-80.11,-124.3,-42.53,-43.2,-12.06,-11.23,-11.23
Return on Invested Capital %,-8.39,-9.81,-14.84,-9.6,-78.76,-87.71,-42.47,-43.36,-12.22,-11.04,-11.04
Interest Coverage,,,,,-84.15,-31.85,-164.37,,,,
