Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,-222.0,,,,,-304.0,-904.0,,637.0,,
Free Cash Flow Growth % YOY,,,952.0,,,,,,,,
Cap Ex as a % of Sales,7.76,6.93,8.11,8.74,9.39,7.62,7.75,9.16,9.57,8.48,8.11
Free Cash Flow/Sales %,1.41,0.83,0.93,1.54,1.94,2.96,1.6,2.15,1.77,-0.31,-0.65
Free Cash Flow/Net Income,0.48,3.0,0.27,0.42,0.41,0.48,0.31,0.97,0.49,-0.06,-0.14
