Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,,66.05,10.32,49.32,6.3,54.33
3-Year Average,,,,,,,,,39.85,20.53,
5-Year Average,,,,,,,,,,,
10-Year Average,,,,,,,,64.88,25.97,,
