Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,2.36,-36.28,141.05,-25.38,-11.41,18.94,-32.7,10.57,55.49,23.67,
Free Cash Flow Growth % YOY,2.06,-75.56,690.91,-34.69,-33.44,22.12,-69.49,-1.29,277.12,20.8,
Cap Ex as a % of Sales,2.77,3.48,2.32,2.24,2.82,2.92,3.37,3.77,3.03,3.37,3.52
Free Cash Flow/Sales %,4.81,1.12,9.22,5.21,3.12,3.41,1.09,1.05,3.41,3.61,4.46
Free Cash Flow/Net Income,0.89,0.19,3.91,1.1,0.68,0.97,0.2,0.31,0.91,0.69,0.85
