Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,57.77,,,,,-42.75,360.76,41.48,17.86,6.26,7.87
3-Year Average,,,,,,,,55.11,97.33,21.01,
5-Year Average,,,,,-7.7,-24.64,,,,36.12,
10-Year Average,,,,,1.58,,,,12.93,12.09,
