Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-17.65,-82.14,20.0,-80.2,100.0,450.0,22.73,-37.5
3-Year Average,,,308.17,,35.72,-43.91,-65.12,-21.96,29.63,138.11,
5-Year Average,,,,,58.49,,-9.89,-41.27,-14.13,26.26,
10-Year Average,,,,,,,,,,41.46,
