Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,2.13,-1.55,42.83,-0.08,14.44,49.11,9.88,22.95,-2.59,6.52,
3-Year Average,38.68,40.01,12.83,12.0,17.77,19.47,23.31,26.29,9.58,8.45,
5-Year Average,,-4.7,30.26,31.4,10.43,19.11,21.76,18.16,17.56,15.89,
10-Year Average,,10.11,13.06,6.04,21.19,,7.72,24.06,24.29,13.13,
