Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,79.6,-30.19,56.83,3.02,-80.68,385.81,-3.55,-56.26,134.88,8.83,10.45
3-Year Average,,-3.52,25.28,4.09,-32.17,-1.12,-3.26,27.03,-0.3,3.8,
5-Year Average,8.83,,,7.73,-17.11,1.15,7.9,-16.42,-1.44,39.27,
10-Year Average,11.99,5.71,,2.43,-12.65,4.92,,,3.04,7.45,
