Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,,,,,,,77.78,80.74,81.05,80.98,80.98
Days Inventory,,,,,,,0.27,,,,
Payables Period,,,,,,,146.64,57.44,63.17,50.59,50.59
Cash Conversion Cycle,,,,,,,-68.58,,,,
Receivables Turnover,,,,,,,4.69,4.52,4.5,4.51,4.51
Inventory Turnover,,,,,,,1371.51,,,,
Fixed Assets Turnover,,,,,,,8.56,8.91,10.57,9.78,9.78
Asset Turnover,,,,,,,0.48,0.49,0.58,0.63,0.63
