Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-78.85,32.65,35.43,8.22,7.24,-14.3,
3-Year Average,,,,148.56,,,-27.57,24.81,16.27,-0.18,
5-Year Average,,,,,,33.93,,,-15.11,12.31,
10-Year Average,,,,,,,,,,,
