Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.47,41.8,35.52,11.36,7.25,6.8,7.55,8.52,10.4,7.86,5.35
3-Year Average,13.58,20.48,28.52,28.86,17.41,8.45,7.2,7.62,8.82,8.92,
5-Year Average,13.96,18.79,23.01,21.42,20.45,19.64,13.2,8.28,8.1,8.22,
10-Year Average,23.07,19.23,20.45,19.75,18.15,16.76,15.97,15.41,14.56,14.17,
