Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-32.62,-59.53,623.69,-1.42,-91.58,770.29,-19.88,136.56,4.16,4.24
3-Year Average,,-31.29,-55.95,21.56,37.54,-15.61,-10.26,-16.25,154.56,25.45,
5-Year Average,,-16.06,-32.56,-2.49,-10.53,-30.96,14.14,33.18,6.49,7.67,
10-Year Average,,-8.21,-19.58,-3.1,0.73,-19.71,-1.99,-5.5,1.87,-1.93,
