Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,890.41,16.04,24.0,20.83,18.6
Net Margin %,,,,,-8.96,-3.61,-0.95,4.46,9.58,12.02,14.81
Asset Turnover (Average),,,,,2.38,3.28,2.83,0.5,0.39,0.31,0.33
Return on Assets %,,,,,-21.33,-11.83,-2.69,2.21,3.74,3.78,4.94
Financial Leverage (Average),,,,,,,,1.08,1.6,1.59,1.55
Return on Equity %,,,,,,,,3.17,5.34,6.03,7.76
Return on Invested Capital %,,,,,,,,3.5,5.82,4.98,6.19
Interest Coverage,,,,,0.35,0.69,1.01,4.52,3.93,6.85,9.49
