Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,7.69,-33.29,105.12,-15.42,-35.56,88.48,8.55,-29.47,44.88,-19.02,
Free Cash Flow Growth % YOY,9.58,-58.85,288.99,-23.94,-66.67,250.13,2.53,-44.19,83.48,-16.75,
Cap Ex as a % of Sales,4.12,5.51,2.75,3.55,5.72,4.18,4.91,5.0,4.83,3.62,3.32
Free Cash Flow/Sales %,11.62,4.61,17.37,12.34,3.84,12.29,11.72,6.3,11.61,9.6,12.04
Free Cash Flow/Net Income,2.68,0.76,2.11,1.37,0.37,1.24,1.02,0.55,1.67,0.99,1.26
