Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,98.31,34.36,-4.58,-47.2,71.72,-20.29,49.82,-21.18,-12.19,-28.83,
3-Year Average,37.51,44.23,36.48,-12.2,-4.71,-10.26,27.04,-2.0,1.22,-21.02,
5-Year Average,23.33,32.15,27.23,8.61,18.18,-1.52,0.65,-3.12,7.25,-10.07,
10-Year Average,12.6,10.04,18.18,,39.14,10.21,15.33,11.02,7.93,3.09,
