Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-19.48,-9.2,-21.07,22.79,29.24,3.63,50.74,-29.34,49.55,-23.58,
3-Year Average,0.22,-9.28,-16.75,-4.17,7.8,18.04,26.39,3.35,16.78,-6.88,
5-Year Average,7.72,,-6.32,-6.26,-1.75,3.34,14.37,11.86,16.36,4.75,
10-Year Average,4.41,0.85,-3.32,-2.92,-1.06,5.51,,2.37,4.44,1.45,
