Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,223.22,-33.58,-36.47,-31.72,,121.35,3.17,13.57,10.96,-24.25,
3-Year Average,-2.51,-18.8,10.9,-33.95,-23.4,13.64,,37.39,9.14,-1.54,
5-Year Average,11.99,-4.2,-17.13,-25.32,-1.53,-8.48,-0.34,11.52,,16.87,
10-Year Average,28.47,21.45,10.68,-0.92,-5.35,1.07,-2.26,-3.63,-3.96,7.12,
