Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,-70.33,-512.45,-219.71,-300.34,-619.52,-764.73,,,,,
Asset Turnover (Average),0.31,0.17,0.19,0.13,0.06,0.04,,,,,
Return on Assets %,-21.6,-89.47,-41.46,-39.76,-37.55,-30.18,-111.1,-67.91,-19.2,-105.15,-105.15
Financial Leverage (Average),1.19,1.16,1.26,1.42,1.32,1.37,1.43,1.35,1.34,1.66,1.66
Return on Equity %,-24.86,-105.65,-49.58,-52.16,-51.24,-40.43,-153.67,-93.6,-25.78,-152.64,-152.64
Return on Invested Capital %,-21.43,-106.15,-51.34,-52.84,-51.41,-40.63,-154.57,-94.78,-25.96,-153.43,-153.43
Interest Coverage,-14.68,-154.39,,,,,,,,,
