Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,48.28,-32.86,32.23,19.82,-57.98,555.56
3-Year Average,,,,,,,,9.59,2.08,-12.69,
5-Year Average,,,,,,,,,,-7.9,
10-Year Average,,,,,,,,,,,
