Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,48.72,47.4,48.12,47.8,48.72,48.21,49.08,54.34,52.01,50.86,50.86
Gross Margin,51.28,52.6,51.88,52.2,51.28,51.79,50.92,45.66,47.99,49.14,49.14
SG&A,23.97,24.06,23.73,24.04,24.95,30.07,25.4,24.93,24.07,24.19,24.19
R&D,5.59,5.79,5.93,6.19,6.12,6.13,6.51,6.15,6.63,6.4,6.4
Other,,,,,,0.01,,4.14,5.83,6.32,6.32
Operating Margin,21.72,22.75,22.21,21.97,20.21,15.57,19.01,10.45,11.46,12.22,12.22
Net Int Inc & Other,0.02,-0.16,-0.22,-0.63,-1.12,-1.11,-0.99,-3.26,-2.85,-4.15,-4.15
EBT Margin,21.74,22.59,21.99,21.33,19.1,14.46,18.02,7.19,8.6,8.07,8.07
