Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,11.97,-19.85,26.67,-12.03,27.35,24.83,-19.89,17.45,20.57,-9.95,4.35
3-Year Average,14.62,5.67,4.37,-3.7,12.37,11.83,8.39,5.51,4.29,8.44,
5-Year Average,21.24,11.11,8.86,5.62,4.95,7.26,7.25,5.64,12.52,4.98,
10-Year Average,20.09,12.98,13.96,,19.54,14.04,9.16,7.24,9.02,4.97,
