Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,30.25,-79.58,,
Free Cash Flow Growth % YOY,,,,,,,,41.21,,,
Cap Ex as a % of Sales,,,,,,,3.67,4.32,4.53,3.4,3.4
Free Cash Flow/Sales %,,,,,,,8.59,13.63,-0.6,-3.74,-3.74
Free Cash Flow/Net Income,,,,,,,2.29,-0.32,-0.02,0.23,0.23
