Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,46.78,-33.19,-1.61,80.41,-3.61,10.59,5.46,-2.93,21.06,-8.22,11.07
3-Year Average,,,-1.19,5.85,19.6,24.36,3.98,4.22,7.41,2.55,
5-Year Average,,,,,10.9,4.8,14.82,14.51,5.73,4.7,
10-Year Average,,,,,,,,,,7.76,
