Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,28.74,43.26,0.97,39.55,16.59,-30.43,27.84,17.33,34.85,51.4,26.96
3-Year Average,33.8,31.97,23.03,26.38,18.0,4.21,1.21,1.43,26.47,33.8,
5-Year Average,27.52,31.28,28.22,26.5,24.82,10.36,7.88,11.17,10.41,16.33,
10-Year Average,32.78,34.52,19.88,,29.21,18.63,19.0,19.39,18.18,20.5,
