Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,,,1076.07,30.3
Days Inventory,,,,,,,,,,,
Payables Period,,,,8649.33,9256.45,5726.16,3902.57,4654.21,6913.01,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,,,,,,,,,,0.34,12.05
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,,,,,,,,,,0.21,0.63
Asset Turnover,,,,,,,,,,0.05,0.18
