Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,392.0,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,4.51,3.38,3.49,4.34,3.64
Free Cash Flow/Sales %,,,,,,,-0.91,3.03,4.32,-7.67,5.51
Free Cash Flow/Net Income,,,,,,,0.04,-1.55,-0.56,1.79,2.11
