Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,52.59,65.17,54.54,53.76,59.32,61.01,56.43,56.57,55.51,55.03,54.44
Gross Margin,47.41,34.83,45.46,46.24,40.68,38.99,43.57,43.43,44.49,44.97,45.56
SG&A,11.64,21.59,11.29,9.52,15.07,16.71,13.31,11.25,10.72,8.33,7.72
R&D,13.08,25.83,15.04,11.53,16.68,19.0,15.55,15.69,15.52,12.9,12.12
Other,2.11,12.61,-0.81,0.36,,,,1.51,,,
Operating Margin,20.58,-25.2,19.94,24.84,8.92,3.28,14.71,14.98,18.25,23.74,25.73
Net Int Inc & Other,2.73,1.63,0.22,-0.11,-1.25,-1.43,0.99,-0.9,-1.94,-1.13,-0.82
EBT Margin,23.31,-23.58,20.16,24.74,7.67,1.85,15.7,14.09,16.31,22.61,24.91
