Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,44.81,21.89,-21.98,25.79,88.33,-59.97,32.22,148.1,32.53,-24.16,-52.03
3-Year Average,33.46,82.66,11.25,6.15,22.72,-1.75,-0.11,9.51,63.21,35.61,
5-Year Average,,-40.69,17.72,43.01,26.68,-2.04,-0.44,25.48,26.8,5.71,
10-Year Average,,,,,-30.34,,-23.16,21.54,34.66,15.72,
