Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-9.89,-17.83,53.65,-21.74,-57.03,189.97,15.73,
3-Year Average,,,,,,4.39,-0.4,-19.75,-0.83,12.98,
5-Year Average,,,,,,,,-17.48,4.25,11.64,
10-Year Average,,,,,,,,,,,
