Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-83.7,,,,73.72,18.14,-0.36,-0.99,9.58,2.72,
3-Year Average,-42.67,,,60.77,,,26.93,5.24,2.63,3.68,
5-Year Average,-27.03,,,-5.39,3.3,53.52,,,17.28,5.58,
10-Year Average,-12.71,,,-0.5,11.76,5.84,5.54,4.72,5.33,4.44,
