Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,50.4,23.05,24.17,37.12,20.46,18.97,16.87,17.15,12.81,-4.35,
3-Year Average,51.73,37.35,31.96,27.96,27.05,25.26,18.76,17.66,15.59,8.12,
5-Year Average,58.9,49.67,39.78,34.56,30.57,24.59,23.32,21.89,17.22,11.94,
10-Year Average,,53.33,47.2,45.14,44.57,40.71,35.86,30.53,25.59,20.9,
