Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,36.9,-59.21,,,45.24,,,27.81,152.6,-49.27,
3-Year Average,13.99,-31.56,,-38.25,-5.71,,42.55,36.6,,17.87,
5-Year Average,6.26,-10.57,,-28.64,-14.08,,10.83,,56.38,26.71,
10-Year Average,13.54,0.29,,-12.9,-10.27,,-0.44,2.59,5.63,4.34,
